"","Overall","0","1","p","test","SMD","White","Black","Native American","Asian or PI","Hispanic","NH PI","NA.","p","test","SMD"
"COPD = 1 (%)"," 181198 ( 10.5) "," 170691 ( 10.1) ","10507 ( 27.1) ","<0.001",""," 0.448","  97805 ( 10.0) "," 63869 ( 12.6) "," 1045 (  9.6) "," 2002 (  7.3) ","  6456 (  7.0) ","  217 (  9.2) ","  9804 (  9.5) ","<0.001",""," 0.073"
"CVA = 1 (%)","  22295 (  1.3) ","  18260 (  1.1) "," 4035 ( 10.4) ","<0.001",""," 0.409","  11611 (  1.2) ","  8228 (  1.6) ","   86 (  0.8) ","  346 (  1.3) ","   397 (  0.4) ","   62 (  2.6) ","  1565 (  1.5) ","<0.001",""," 0.071"
"CVD_HOSP = 1 (%)","  17221 (  1.0) ","  15749 (  0.9) "," 1472 (  3.8) ","<0.001",""," 0.189","   8926 (  0.9) ","  4877 (  1.0) ","  110 (  1.0) ","  215 (  0.8) ","   791 (  0.9) ","   21 (  0.9) ","  2281 (  2.2) ","<0.001",""," 0.038"
"DIALYSIS = 1 (%)","   5714 (  0.3) ","     11 (  0.0) "," 5703 ( 14.7) ","<0.001",""," 0.588","   1973 (  0.2) ","  3076 (  0.6) ","   30 (  0.3) ","   86 (  0.3) ","   161 (  0.2) ","   23 (  1.0) ","   365 (  0.4) ","<0.001",""," 0.045"
"DM = 1 (%)"," 113849 (  6.6) ","  98564 (  5.9) ","15285 ( 39.5) ","<0.001",""," 0.877","  61772 (  6.3) "," 38686 (  7.6) ","  667 (  6.1) "," 2801 ( 10.3) ","  3761 (  4.1) ","  355 ( 15.1) ","  5807 (  5.6) ","<0.001",""," 0.148"
"DYSRHYTH = 1 (%)","  37367 (  2.2) ","  30458 (  1.8) "," 6909 ( 17.8) ","<0.001",""," 0.559","  21585 (  2.2) "," 11542 (  2.3) ","  195 (  1.8) ","  564 (  2.1) ","   858 (  0.9) ","   70 (  3.0) ","  2553 (  2.5) ","<0.001",""," 0.053"
"ED = 1 (%)"," 704184 ( 40.9) "," 680828 ( 40.4) ","23356 ( 60.3) ","<0.001",""," 0.406"," 366655 ( 37.4) ","248277 ( 49.0) "," 4469 ( 41.1) "," 6580 ( 24.1) "," 36430 ( 39.5) ","  689 ( 29.2) "," 41084 ( 40.0) ","<0.001",""," 0.204"
"GI = 1 (%)","  16021 (  0.9) ","  13184 (  0.8) "," 2837 (  7.3) ","<0.001",""," 0.337","   8768 (  0.9) ","  5224 (  1.0) ","  113 (  1.0) ","  235 (  0.9) ","   505 (  0.5) ","   30 (  1.3) ","  1146 (  1.1) ","<0.001",""," 0.028"
"HOMEHEALTH = 1 (%)","  14176 (  0.8) ","  10375 (  0.6) "," 3801 (  9.8) ","<0.001",""," 0.423","   6933 (  0.7) ","  4861 (  1.0) ","   74 (  0.7) ","  139 (  0.5) ","   396 (  0.4) ","   24 (  1.0) ","  1749 (  1.7) ","<0.001",""," 0.051"
"HTN = 1 (%)"," 173863 ( 10.1) "," 151113 (  9.0) ","22750 ( 58.8) ","<0.001",""," 1.237","  82427 (  8.4) "," 73750 ( 14.6) ","  760 (  7.0) "," 3236 ( 11.8) ","  3819 (  4.1) ","  385 ( 16.3) ","  9486 (  9.2) ","<0.001",""," 0.177"
"ICDCRTD = 1 (%)","    133 (  0.0) ","     70 (  0.0) ","   63 (  0.2) ","<0.001",""," 0.055","     68 (  0.0) ","    46 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","     4 (  0.0) ","    0 (  0.0) ","    15 (  0.0) "," 0.047",""," 0.009"
"INF_HOSP = 1 (%)"," 643115 ( 37.3) "," 619297 ( 36.8) ","23818 ( 61.5) ","<0.001",""," 0.511"," 366899 ( 37.4) ","188879 ( 37.3) "," 3960 ( 36.4) "," 8508 ( 31.1) "," 33171 ( 36.0) ","  723 ( 30.7) "," 40975 ( 39.9) ","<0.001",""," 0.083"
"LABXRAY = 1 (%)","1142733 ( 66.3) ","1111105 ( 66.0) ","31628 ( 81.7) ","<0.001",""," 0.364"," 637702 ( 65.0) ","351843 ( 69.4) "," 7127 ( 65.6) ","16659 ( 61.0) "," 61378 ( 66.6) "," 1413 ( 59.9) "," 66611 ( 64.8) ","<0.001",""," 0.081"
"LIVERDIS = 1 (%)","  11189 (  0.6) ","   9161 (  0.5) "," 2028 (  5.2) ","<0.001",""," 0.283","   6500 (  0.7) ","  3158 (  0.6) ","   79 (  0.7) ","  212 (  0.8) ","   424 (  0.5) ","   21 (  0.9) ","   795 (  0.8) ","<0.001",""," 0.020"
"NONKIDNEYTX = 1 (%)","    795 (  0.0) ","    557 (  0.0) ","  238 (  0.6) ","<0.001",""," 0.103","    444 (  0.0) ","   192 (  0.0) ","    5 (  0.0) ","   18 (  0.1) ","    25 (  0.0) ","    3 (  0.1) ","   108 (  0.1) ","<0.001",""," 0.016"
"NONPEDCONG = 1 (%)","  73529 (  4.3) ","  59731 (  3.5) ","13798 ( 35.6) ","<0.001",""," 0.884","  40573 (  4.1) "," 24992 (  4.9) ","  328 (  3.0) "," 1328 (  4.9) ","  1397 (  1.5) ","  193 (  8.2) ","  4718 (  4.6) ","<0.001",""," 0.115"
"OPHOSPITAL = 1 (%)"," 826873 ( 48.0) "," 800927 ( 47.6) ","25946 ( 67.0) ","<0.001",""," 0.401"," 434070 ( 44.3) ","283605 ( 56.0) "," 4962 ( 45.6) "," 9747 ( 35.7) "," 42874 ( 46.5) ","  876 ( 37.2) "," 50739 ( 49.4) ","<0.001",""," 0.169"
"OTHCARDIAC = 1 (%)","  51750 (  3.0) ","  45615 (  2.7) "," 6135 ( 15.8) ","<0.001",""," 0.465","  28435 (  2.9) "," 16464 (  3.2) ","  292 (  2.7) ","  724 (  2.6) ","  1792 (  1.9) ","  100 (  4.2) ","  3943 (  3.8) ","<0.001",""," 0.054"
"PAD = 1 (%)","    778 (  0.0) ","    408 (  0.0) ","  370 (  1.0) ","<0.001",""," 0.134","    419 (  0.0) ","   270 (  0.1) ","    4 (  0.0) ","    2 (  0.0) ","    11 (  0.0) ","    1 (  0.0) ","    71 (  0.1) ","<0.001",""," 0.014"
"PCI = 1 (%)","    977 (  0.1) ","    688 (  0.0) ","  289 (  0.7) ","<0.001",""," 0.113","    577 (  0.1) ","   266 (  0.1) ","    3 (  0.0) ","   35 (  0.1) ","    17 (  0.0) ","    2 (  0.1) ","    77 (  0.1) ","<0.001",""," 0.018"
"PEDCKD = 1 (%)","  54988 (  3.2) ","  24832 (  1.5) ","30156 ( 77.9) ","<0.001",""," 2.502","  30388 (  3.1) "," 18268 (  3.6) ","  262 (  2.4) ","  782 (  2.9) ","  1692 (  1.8) ","  118 (  5.0) ","  3478 (  3.4) ","<0.001",""," 0.067"
"PEDCONG = 1 (%)","   8707 (  0.5) ","   8128 (  0.5) ","  579 (  1.5) ","<0.001",""," 0.103","   4387 (  0.4) ","  2018 (  0.4) ","   41 (  0.4) ","  109 (  0.4) ","   389 (  0.4) ","    8 (  0.3) ","  1755 (  1.7) ","<0.001",""," 0.042"
"PHYSICIANF = 1 (%)","1535639 ( 89.1) ","1497447 ( 88.9) ","38192 ( 98.7) ","<0.001",""," 0.412"," 866365 ( 88.4) ","460717 ( 90.9) "," 8662 ( 79.7) ","25292 ( 92.6) "," 77916 ( 84.5) "," 2139 ( 90.8) "," 94548 ( 92.0) ","<0.001",""," 0.161"
"PSYCH = 0 (%)","1722837 (100.0) ","1684128 (100.0) ","38709 (100.0) "," NA","","<0.001"," 980465 (100.0) ","506849 (100.0) ","10871 (100.0) ","27323 (100.0) "," 92171 (100.0) "," 2357 (100.0) ","102801 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","  26663 (  1.5) ","  20867 (  1.2) "," 5796 ( 15.0) ","<0.001",""," 0.520","  14512 (  1.5) ","  9463 (  1.9) ","  129 (  1.2) ","  269 (  1.0) ","   475 (  0.5) ","   61 (  2.6) ","  1754 (  1.7) ","<0.001",""," 0.068"
"RCPNT_DLVRY = 1 (%)","  84355 (  4.9) ","  82857 (  4.9) "," 1498 (  3.9) ","<0.001",""," 0.051","  38966 (  4.0) "," 23756 (  4.7) ","  530 (  4.9) "," 1132 (  4.1) ","  4388 (  4.8) ","   72 (  3.1) "," 15511 ( 15.1) ","<0.001",""," 0.136"
"SNF = 0 (%)","1722837 (100.0) ","1684128 (100.0) ","38709 (100.0) "," NA","","<0.001"," 980465 (100.0) ","506849 (100.0) ","10871 (100.0) ","27323 (100.0) "," 92171 (100.0) "," 2357 (100.0) ","102801 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","   1276 (  0.1) ","    474 (  0.0) ","  802 (  2.1) ","<0.001",""," 0.202","    622 (  0.1) ","   518 (  0.1) ","    4 (  0.0) ","   22 (  0.1) ","    48 (  0.1) ","    8 (  0.3) ","    54 (  0.1) ","<0.001",""," 0.025"
"age (mean (sd))","  25.12 (21.49)","  24.53 (21.14)","50.90 (20.92)","<0.001",""," 1.254","  26.31 (21.71)"," 25.53 (20.65)","23.40 (19.52)","30.03 (26.10)"," 16.87 (16.51)","37.87 (27.30)"," 17.77 (22.81)","<0.001",""," 0.381"
"died = 1 (%)","  11048 (  0.6) ","   9040 (  0.5) "," 2008 (  5.2) ","<0.001",""," 0.282","   7797 (  0.8) ","  2517 (  0.5) ","   45 (  0.4) ","  122 (  0.4) ","   121 (  0.1) ","   21 (  0.9) ","   425 (  0.4) ","<0.001",""," 0.042"
