"","Overall","[0,22)","[22,120)","p","test","SMD","[0,22):0","[22,120):0","[0,22):1","[22,120):1","p","test","SMD"
"ANEMIA = 1 (%)","  90383 (  5.3) "," 32028 (  3.3) "," 58355 (  7.9) ","<0.001",""," 0.201"," 31562 (  3.3) "," 47522 (  6.7) ","  466 ( 11.8) ","10833 ( 40.4) ","<0.001",""," 0.536"
"ASHD = 1 (%)","  29852 (  1.8) ","   290 (  0.0) "," 29562 (  4.0) ","<0.001",""," 0.286","   278 (  0.0) "," 23715 (  3.3) ","   12 (  0.3) "," 5847 ( 21.8) ","<0.001",""," 0.435"
"CABG = 1 (%)","    333 (  0.0) ","     0 (  0.0) ","   333 (  0.0) ","<0.001",""," 0.030","     0 (  0.0) ","   209 (  0.0) ","    0 (  0.0) ","  124 (  0.5) ","<0.001",""," 0.055"
"CANCER = 1 (%)","  21226 (  1.2) ","  1670 (  0.2) "," 19556 (  2.7) ","<0.001",""," 0.211","  1501 (  0.2) "," 16965 (  2.4) ","  169 (  4.3) "," 2591 (  9.7) ","<0.001",""," 0.260"
"CASCEA = 1 (%)","    161 (  0.0) ","     0 (  0.0) ","   161 (  0.0) ","<0.001",""," 0.021","     0 (  0.0) ","   122 (  0.0) ","    0 (  0.0) ","   39 (  0.1) ","<0.001",""," 0.032"
"CHF = 1 (%)","  22918 (  1.3) ","   860 (  0.1) "," 22058 (  3.0) ","<0.001",""," 0.237","   767 (  0.1) "," 15864 (  2.2) ","   93 (  2.4) "," 6194 ( 23.1) ","<0.001",""," 0.417"
"CKD = 1 (%)","  30796 (  1.8) ","  3955 (  0.4) "," 26841 (  3.6) ","<0.001",""," 0.231","     0 (  0.0) ","     0 (  0.0) "," 3955 (100.0) ","26841 (100.0) ","<0.001",""," NaN"
"CKD_STAGE_1 = 1 (%)","    531 (  0.0) ","    77 (  0.0) ","   454 (  0.1) ","<0.001",""," 0.029","     0 (  0.0) ","     0 (  0.0) ","   77 (  1.9) ","  454 (  1.7) ","<0.001",""," 0.131"
"CKD_STAGE_2 = 1 (%)","   1216 (  0.1) ","    75 (  0.0) ","  1141 (  0.2) ","<0.001",""," 0.052","     0 (  0.0) ","     0 (  0.0) ","   75 (  1.9) "," 1141 (  4.3) ","<0.001",""," 0.188"
"CKD_STAGE_3 = 1 (%)","   4283 (  0.3) ","   113 (  0.0) ","  4170 (  0.6) ","<0.001",""," 0.103","     0 (  0.0) ","     0 (  0.0) ","  113 (  2.9) "," 4170 ( 15.5) ","<0.001",""," 0.358"
"CKD_STAGE_4 = 1 (%)","   1659 (  0.1) ","    45 (  0.0) ","  1614 (  0.2) ","<0.001",""," 0.064","     0 (  0.0) ","     0 (  0.0) ","   45 (  1.1) "," 1614 (  6.0) ","<0.001",""," 0.214"
"CKD_STAGE_5 = 1 (%)","   5243 (  0.3) ","   117 (  0.0) ","  5126 (  0.7) ","<0.001",""," 0.115","     0 (  0.0) ","     0 (  0.0) ","  117 (  3.0) "," 5126 ( 19.1) ","<0.001",""," 0.400"
"CLINIC = 1 (%)"," 370854 ( 21.8) ","231482 ( 24.0) ","139372 ( 18.9) ","<0.001",""," 0.124","230480 ( 24.0) ","135276 ( 19.1) "," 1002 ( 25.3) "," 4096 ( 15.3) ","<0.001",""," 0.146"
"COPD = 1 (%)"," 172420 ( 10.1) "," 80558 (  8.4) "," 91862 ( 12.5) ","<0.001",""," 0.135"," 80068 (  8.3) "," 84282 ( 11.9) ","  490 ( 12.4) "," 7580 ( 28.2) ","<0.001",""," 0.270"
"CVA = 1 (%)","  19562 (  1.2) ","  1167 (  0.1) "," 18395 (  2.5) ","<0.001",""," 0.210","  1106 (  0.1) "," 15204 (  2.1) ","   61 (  1.5) "," 3191 ( 11.9) ","<0.001",""," 0.286"
"CVD_HOSP = 1 (%)","  17094 (  1.0) "," 10913 (  1.1) ","  6181 (  0.8) ","<0.001",""," 0.030"," 10623 (  1.1) ","  5202 (  0.7) ","  290 (  7.3) ","  979 (  3.6) ","<0.001",""," 0.204"
"DIALYSIS = 1 (%)","   5067 (  0.3) ","   121 (  0.0) ","  4946 (  0.7) ","<0.001",""," 0.113","     5 (  0.0) ","    10 (  0.0) ","  116 (  2.9) "," 4936 ( 18.4) ","<0.001",""," 0.392"
"DM = 1 (%)","  98303 (  5.8) ","  7002 (  0.7) "," 91301 ( 12.4) ","<0.001",""," 0.485","  6809 (  0.7) "," 80295 ( 11.3) ","  193 (  4.9) ","11006 ( 41.0) ","<0.001",""," 0.627"
"DYSRHYTH = 1 (%)","  31588 (  1.9) ","  5600 (  0.6) "," 25988 (  3.5) ","<0.001",""," 0.209","  5397 (  0.6) "," 20899 (  2.9) ","  203 (  5.1) "," 5089 ( 19.0) ","<0.001",""," 0.365"
"ED = 1 (%)"," 699715 ( 41.2) ","388712 ( 40.3) ","311003 ( 42.2) ","<0.001",""," 0.038","386218 ( 40.2) ","293289 ( 41.3) "," 2494 ( 63.1) ","17714 ( 66.0) ","<0.001",""," 0.340"
"GI = 1 (%)","  14163 (  0.8) ","  2968 (  0.3) "," 11195 (  1.5) ","<0.001",""," 0.128","  2883 (  0.3) ","  9065 (  1.3) ","   85 (  2.1) "," 2130 (  7.9) ","<0.001",""," 0.221"
"HOMEHEALTH = 1 (%)","  14943 (  0.9) ","  3446 (  0.4) "," 11497 (  1.6) ","<0.001",""," 0.124","  3212 (  0.3) ","  8040 (  1.1) ","  234 (  5.9) "," 3457 ( 12.9) ","<0.001",""," 0.319"
"HTN = 1 (%)"," 140445 (  8.3) ","  5744 (  0.6) ","134701 ( 18.3) ","<0.001",""," 0.635","  5269 (  0.5) ","118057 ( 16.6) ","  475 ( 12.0) ","16644 ( 62.0) ","<0.001",""," 0.875"
"ICDCRTD = 1 (%)","    145 (  0.0) ","     4 (  0.0) ","   141 (  0.0) ","<0.001",""," 0.019","     3 (  0.0) ","    57 (  0.0) ","    1 (  0.0) ","   84 (  0.3) ","<0.001",""," 0.045"
"INF_HOSP = 1 (%)"," 636587 ( 37.4) ","375495 ( 39.0) ","261092 ( 35.5) ","<0.001",""," 0.073","372883 ( 38.9) ","244226 ( 34.4) "," 2612 ( 66.0) ","16866 ( 62.8) ","<0.001",""," 0.413"
"LABXRAY = 1 (%)","1140471 ( 67.1) ","621750 ( 64.5) ","518721 ( 70.4) ","<0.001",""," 0.126","617870 ( 64.4) ","494964 ( 69.7) "," 3880 ( 98.1) ","23757 ( 88.5) ","<0.001",""," 0.561"
"LIVERDIS = 1 (%)","  10688 (  0.6) ","  1057 (  0.1) ","  9631 (  1.3) ","<0.001",""," 0.143","   997 (  0.1) ","  7990 (  1.1) ","   60 (  1.5) "," 1641 (  6.1) ","<0.001",""," 0.198"
"NONKIDNEYTX = 1 (%)","    698 (  0.0) ","   254 (  0.0) ","   444 (  0.1) ","<0.001",""," 0.016","   198 (  0.0) ","   292 (  0.0) ","   56 (  1.4) ","  152 (  0.6) ","<0.001",""," 0.104"
"NONPEDCONG = 1 (%)","  60188 (  3.5) ","  3992 (  0.4) "," 56196 (  7.6) ","<0.001",""," 0.374","  3792 (  0.4) "," 46102 (  6.5) ","  200 (  5.1) ","10094 ( 37.6) ","<0.001",""," 0.574"
"OPHOSPITAL = 1 (%)"," 812266 ( 47.8) ","449850 ( 46.7) ","362416 ( 49.2) ","<0.001",""," 0.051","446713 ( 46.6) ","341822 ( 48.2) "," 3137 ( 79.3) ","20594 ( 76.7) ","<0.001",""," 0.462"
"OTHCARDIAC = 1 (%)","  48358 (  2.8) "," 15378 (  1.6) "," 32980 (  4.5) ","<0.001",""," 0.169"," 15055 (  1.6) "," 28239 (  4.0) ","  323 (  8.2) "," 4741 ( 17.7) ","<0.001",""," 0.323"
"PAD = 1 (%)","    766 (  0.0) ","    23 (  0.0) ","   743 (  0.1) ","<0.001",""," 0.043","    22 (  0.0) ","   400 (  0.1) ","    1 (  0.0) ","  343 (  1.3) ","<0.001",""," 0.089"
"PCI = 1 (%)","    944 (  0.1) ","     3 (  0.0) ","   941 (  0.1) ","<0.001",""," 0.050","     3 (  0.0) ","   651 (  0.1) ","    0 (  0.0) ","  290 (  1.1) ","<0.001",""," 0.086"
"PEDCKD = 1 (%)","  48477 (  2.9) ","  8639 (  0.9) "," 39838 (  5.4) ","<0.001",""," 0.260","  5075 (  0.5) "," 18968 (  2.7) "," 3564 ( 90.1) ","20870 ( 77.8) ","<0.001",""," 2.208"
"PEDCONG = 1 (%)","   8723 (  0.5) ","  6859 (  0.7) ","  1864 (  0.3) ","<0.001",""," 0.066","  6616 (  0.7) ","  1588 (  0.2) ","  243 (  6.1) ","  276 (  1.0) ","<0.001",""," 0.189"
"PHYSICIANF = 1 (%)","1484020 ( 87.3) ","854542 ( 88.7) ","629478 ( 85.5) ","<0.001",""," 0.096","850659 ( 88.6) ","603791 ( 85.1) "," 3883 ( 98.2) ","25687 ( 95.7) ","<0.001",""," 0.293"
"PSYCH = 0 (%)","1700044 (100.0) ","963558 (100.0) ","736486 (100.0) "," NA","","<0.001","959603 (100.0) ","709645 (100.0) "," 3955 (100.0) ","26841 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","  23017 (  1.4) ","  1071 (  0.1) "," 21946 (  3.0) ","<0.001",""," 0.234","   965 (  0.1) "," 17316 (  2.4) ","  106 (  2.7) "," 4630 ( 17.2) ","<0.001",""," 0.350"
"RCPNT_DLVRY = 1 (%)","  81826 (  4.8) "," 47966 (  5.0) "," 33860 (  4.6) ","<0.001",""," 0.018"," 47319 (  4.9) "," 33052 (  4.7) ","  647 ( 16.4) ","  808 (  3.0) ","<0.001",""," 0.238"
"SNF = 0 (%)","1700044 (100.0) ","963558 (100.0) ","736486 (100.0) "," NA","","<0.001","959603 (100.0) ","709645 (100.0) "," 3955 (100.0) ","26841 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","   1186 (  0.1) ","    97 (  0.0) ","  1089 (  0.1) ","<0.001",""," 0.049","    32 (  0.0) ","   564 (  0.1) ","   65 (  1.6) ","  525 (  2.0) ","<0.001",""," 0.133"
"age (mean (sd))","  24.54 (21.21)","  9.44 (5.95)"," 44.29 (17.42)","<0.001",""," 2.677","  9.44 (5.94)"," 43.97 (17.42)"," 9.34 (7.16)","52.88 (15.05)","<0.001",""," 2.218"
"died = 1 (%)","  11099 (  0.7) ","     0 (  0.0) "," 11099 (  1.5) ","<0.001",""," 0.175","     0 (  0.0) "," 10026 (  1.4) ","    0 (  0.0) "," 1073 (  4.0) ","<0.001",""," 0.179"
