"","Overall","[0,5)","[5,11)","[11,14)","[14,19)","[19,22)","p","test","SMD","[0,5):0","[5,11):0","[11,14):0","[14,19):0","[19,22):0","[0,5):1","[5,11):1","[11,14):1","[14,19):1","[19,22):1","p","test","SMD"
"total_elig_months (mean (sd))"," 11.03 (2.04)"," 10.40 (2.51)"," 11.34 (1.69)"," 11.39 (1.64)"," 11.33 (1.72)"," 10.50 (2.35)","<0.001",""," 0.272"," 10.40 (2.51)"," 11.34 (1.69)"," 11.39 (1.64)"," 11.33 (1.72)"," 10.49 (2.35)","9.93 (2.73)","11.59 (1.33)","11.58 (1.44)","11.52 (1.43)","10.87 (2.04)","<0.001",""," 0.326"
"elig_cat (%)","","","","","",""," NaN",""," 0.263","","","","","","","  ","  ","  ","  "," NaN",""," 0.312"
"   0 months","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   1-3 months","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   4-6 months"," 77025 (  8.0) "," 34398 ( 15.1) "," 14867 (  4.9) ","  5965 (  4.5) "," 10122 (  5.1) "," 11673 ( 11.4) ","","",""," 34112 ( 15.1) "," 14842 (  4.9) ","  5954 (  4.5) "," 10103 (  5.1) "," 11616 ( 11.5) "," 286 ( 21.2) ","   25 (  2.9) ","   11 (  3.7) ","   19 (  2.9) ","   57 (  7.4) ","","",""
"   7-9 months"," 74487 (  7.7) "," 24394 ( 10.7) "," 17665 (  5.8) ","  6960 (  5.3) "," 11505 (  5.8) "," 13963 ( 13.7) ","","",""," 24228 ( 10.7) "," 17631 (  5.8) ","  6951 (  5.3) "," 11473 (  5.8) "," 13879 ( 13.7) "," 166 ( 12.3) ","   34 (  3.9) ","    9 (  3.0) ","   32 (  4.9) ","   84 ( 10.9) ","","",""
"   9-12 months","812046 ( 84.3) ","168688 ( 74.2) ","272319 ( 89.3) ","118457 ( 90.2) ","176024 ( 89.1) "," 76558 ( 74.9) ","","","","167788 ( 74.2) ","271502 ( 89.3) ","118177 ( 90.2) ","175420 ( 89.0) "," 75927 ( 74.9) "," 900 ( 66.6) ","  817 ( 93.3) ","  280 ( 93.3) ","  604 ( 92.2) ","  631 ( 81.7) ","","",""
"AKI = 1 (%)","   341 (  0.0) ","    93 (  0.0) ","    38 (  0.0) ","    19 (  0.0) ","    72 (  0.0) ","   119 (  0.1) ","<0.001",""," 0.020","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","  93 (  6.9) ","   38 (  4.3) ","   19 (  6.3) ","   72 ( 11.0) ","  119 ( 15.4) ","<0.001",""," 0.281"
"ANEMIA = 1 (%)"," 32028 (  3.3) "," 10376 (  4.6) ","  8224 (  2.7) ","  2737 (  2.1) ","  5820 (  2.9) ","  4871 (  4.8) ","<0.001",""," 0.080"," 10237 (  4.5) ","  8150 (  2.7) ","  2700 (  2.1) ","  5750 (  2.9) ","  4725 (  4.7) "," 139 ( 10.3) ","   74 (  8.4) ","   37 ( 12.3) ","   70 ( 10.7) ","  146 ( 18.9) ","<0.001",""," 0.230"
"ASHD = 1 (%)","   290 (  0.0) ","    40 (  0.0) ","    25 (  0.0) ","    20 (  0.0) ","    88 (  0.0) ","   117 (  0.1) ","<0.001",""," 0.022","    36 (  0.0) ","    23 (  0.0) ","    20 (  0.0) ","    86 (  0.0) ","   113 (  0.1) ","   4 (  0.3) ","    2 (  0.2) ","    0 (  0.0) ","    2 (  0.3) ","    4 (  0.5) ","<0.001",""," 0.048"
"CABG = 0 (%)","963558 (100.0) ","227480 (100.0) ","304851 (100.0) ","131382 (100.0) ","197651 (100.0) ","102194 (100.0) "," NA","","<0.001","226128 (100.0) ","303975 (100.0) ","131082 (100.0) ","196996 (100.0) ","101422 (100.0) ","1352 (100.0) ","  876 (100.0) ","  300 (100.0) ","  655 (100.0) ","  772 (100.0) "," NA","","<0.001"
"CANCER = 1 (%)","  1670 (  0.2) ","   218 (  0.1) ","   525 (  0.2) ","   240 (  0.2) ","   398 (  0.2) ","   289 (  0.3) ","<0.001",""," 0.019","   182 (  0.1) ","   469 (  0.2) ","   215 (  0.2) ","   364 (  0.2) ","   271 (  0.3) ","  36 (  2.7) ","   56 (  6.4) ","   25 (  8.3) ","   34 (  5.2) ","   18 (  2.3) ","<0.001",""," 0.202"
"CASCEA = 0 (%)","963558 (100.0) ","227480 (100.0) ","304851 (100.0) ","131382 (100.0) ","197651 (100.0) ","102194 (100.0) "," NA","","<0.001","226128 (100.0) ","303975 (100.0) ","131082 (100.0) ","196996 (100.0) ","101422 (100.0) ","1352 (100.0) ","  876 (100.0) ","  300 (100.0) ","  655 (100.0) ","  772 (100.0) "," NA","","<0.001"
"CHF = 1 (%)","   860 (  0.1) ","   305 (  0.1) ","   138 (  0.0) ","    73 (  0.1) ","   179 (  0.1) ","   165 (  0.2) ","<0.001",""," 0.020","   269 (  0.1) ","   124 (  0.0) ","    67 (  0.1) ","   160 (  0.1) ","   147 (  0.1) ","  36 (  2.7) ","   14 (  1.6) ","    6 (  2.0) ","   19 (  2.9) ","   18 (  2.3) ","<0.001",""," 0.127"
"CKD = 1 (%)","  3955 (  0.4) ","  1352 (  0.6) ","   876 (  0.3) ","   300 (  0.2) ","   655 (  0.3) ","   772 (  0.8) ","<0.001",""," 0.040","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","1352 (100.0) ","  876 (100.0) ","  300 (100.0) ","  655 (100.0) ","  772 (100.0) ","<0.001",""," NaN"
"CKD_STAGE_1 = 1 (%)","    77 (  0.0) ","    19 (  0.0) ","    13 (  0.0) ","     9 (  0.0) ","    15 (  0.0) ","    21 (  0.0) ","<0.001",""," 0.006","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","  19 (  1.4) ","   13 (  1.5) ","    9 (  3.0) ","   15 (  2.3) ","   21 (  2.7) ","<0.001",""," 0.130"
"CKD_STAGE_2 = 1 (%)","    75 (  0.0) ","    11 (  0.0) ","    21 (  0.0) ","     8 (  0.0) ","    17 (  0.0) ","    18 (  0.0) "," 0.003",""," 0.006","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","  11 (  0.8) ","   21 (  2.4) ","    8 (  2.7) ","   17 (  2.6) ","   18 (  2.3) ","<0.001",""," 0.128"
"CKD_STAGE_3 = 1 (%)","   113 (  0.0) ","    20 (  0.0) ","    28 (  0.0) ","    15 (  0.0) ","    27 (  0.0) ","    23 (  0.0) "," 0.007",""," 0.005","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","  20 (  1.5) ","   28 (  3.2) ","   15 (  5.0) ","   27 (  4.1) ","   23 (  3.0) ","<0.001",""," 0.165"
"CKD_STAGE_4 = 1 (%)","    45 (  0.0) ","    11 (  0.0) ","     7 (  0.0) ","     4 (  0.0) ","    17 (  0.0) ","     6 (  0.0) "," 0.023",""," 0.004","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","  11 (  0.8) ","    7 (  0.8) ","    4 (  1.3) ","   17 (  2.6) ","    6 (  0.8) ","<0.001",""," 0.101"
"CKD_STAGE_5 = 1 (%)","   117 (  0.0) ","    16 (  0.0) ","    19 (  0.0) ","    11 (  0.0) ","    33 (  0.0) ","    38 (  0.0) ","<0.001",""," 0.010","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","  16 (  1.2) ","   19 (  2.2) ","   11 (  3.7) ","   33 (  5.0) ","   38 (  4.9) ","<0.001",""," 0.170"
"CLINIC = 1 (%)","231482 ( 24.0) "," 50776 ( 22.3) ","100062 ( 32.8) "," 24624 ( 18.7) "," 36657 ( 18.5) "," 19363 ( 18.9) ","<0.001",""," 0.150"," 50440 ( 22.3) "," 99766 ( 32.8) "," 24560 ( 18.7) "," 36529 ( 18.5) "," 19185 ( 18.9) "," 336 ( 24.9) ","  296 ( 33.8) ","   64 ( 21.3) ","  128 ( 19.5) ","  178 ( 23.1) ","<0.001",""," 0.143"
"COPD = 1 (%)"," 80558 (  8.4) "," 17943 (  7.9) "," 29311 (  9.6) "," 11173 (  8.5) "," 15061 (  7.6) ","  7070 (  6.9) ","<0.001",""," 0.046"," 17803 (  7.9) "," 29188 (  9.6) "," 11132 (  8.5) "," 14971 (  7.6) ","  6974 (  6.9) "," 140 ( 10.4) ","  123 ( 14.0) ","   41 ( 13.7) ","   90 ( 13.7) ","   96 ( 12.4) ","<0.001",""," 0.109"
"CVA = 1 (%)","  1167 (  0.1) ","   407 (  0.2) ","   253 (  0.1) ","   111 (  0.1) ","   224 (  0.1) ","   172 (  0.2) ","<0.001",""," 0.015","   370 (  0.2) ","   244 (  0.1) ","   110 (  0.1) ","   218 (  0.1) ","   164 (  0.2) ","  37 (  2.7) ","    9 (  1.0) ","    1 (  0.3) ","    6 (  0.9) ","    8 (  1.0) ","<0.001",""," 0.091"
"CVD_HOSP = 1 (%)"," 10913 (  1.1) ","  5217 (  2.3) ","  2582 (  0.8) ","   787 (  0.6) ","  1490 (  0.8) ","   837 (  0.8) ","<0.001",""," 0.060","  5033 (  2.2) ","  2543 (  0.8) ","   772 (  0.6) ","  1466 (  0.7) ","   809 (  0.8) "," 184 ( 13.6) ","   39 (  4.5) ","   15 (  5.0) ","   24 (  3.7) ","   28 (  3.6) ","<0.001",""," 0.193"
"DIALYSIS = 1 (%)","   121 (  0.0) ","    17 (  0.0) ","    18 (  0.0) ","    12 (  0.0) ","    36 (  0.0) ","    38 (  0.0) ","<0.001",""," 0.011","     1 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     2 (  0.0) ","     2 (  0.0) ","  16 (  1.2) ","   18 (  2.1) ","   12 (  4.0) ","   34 (  5.2) ","   36 (  4.7) ","<0.001",""," 0.172"
"DM = 1 (%)","  7002 (  0.7) ","   212 (  0.1) ","  1080 (  0.4) ","  1043 (  0.8) ","  2621 (  1.3) ","  2046 (  2.0) ","<0.001",""," 0.102","   198 (  0.1) ","  1068 (  0.4) ","  1026 (  0.8) ","  2568 (  1.3) ","  1949 (  1.9) ","  14 (  1.0) ","   12 (  1.4) ","   17 (  5.7) ","   53 (  8.1) ","   97 ( 12.6) ","<0.001",""," 0.219"
"DYSRHYTH = 1 (%)","  5600 (  0.6) ","  1203 (  0.5) ","  1003 (  0.3) ","   605 (  0.5) ","  1555 (  0.8) ","  1234 (  1.2) ","<0.001",""," 0.049","  1131 (  0.5) ","   983 (  0.3) ","   595 (  0.5) ","  1520 (  0.8) ","  1168 (  1.2) ","  72 (  5.3) ","   20 (  2.3) ","   10 (  3.3) ","   35 (  5.3) ","   66 (  8.5) ","<0.001",""," 0.182"
"ED = 1 (%)","388712 ( 40.3) ","115951 ( 51.0) ","111314 ( 36.5) "," 40588 ( 30.9) "," 70736 ( 35.8) "," 50123 ( 49.0) ","<0.001",""," 0.220","115112 ( 50.9) ","110841 ( 36.5) "," 40431 ( 30.8) "," 70308 ( 35.7) "," 49526 ( 48.8) "," 839 ( 62.1) ","  473 ( 54.0) ","  157 ( 52.3) ","  428 ( 65.3) ","  597 ( 77.3) ","<0.001",""," 0.362"
"GI = 1 (%)","  2968 (  0.3) ","   931 (  0.4) ","   451 (  0.1) ","   225 (  0.2) ","   623 (  0.3) ","   738 (  0.7) ","<0.001",""," 0.045","   897 (  0.4) ","   443 (  0.1) ","   221 (  0.2) ","   608 (  0.3) ","   714 (  0.7) ","  34 (  2.5) ","    8 (  0.9) ","    4 (  1.3) ","   15 (  2.3) ","   24 (  3.1) ","<0.001",""," 0.112"
"HOMEHEALTH = 1 (%)","  3446 (  0.4) ","  2308 (  1.0) ","   351 (  0.1) ","   166 (  0.1) ","   287 (  0.1) ","   334 (  0.3) ","<0.001",""," 0.058","  2169 (  1.0) ","   324 (  0.1) ","   152 (  0.1) ","   264 (  0.1) ","   303 (  0.3) "," 139 ( 10.3) ","   27 (  3.1) ","   14 (  4.7) ","   23 (  3.5) ","   31 (  4.0) ","<0.001",""," 0.202"
"HTN = 1 (%)","  5744 (  0.6) ","   329 (  0.1) ","   555 (  0.2) ","   557 (  0.4) ","  2022 (  1.0) ","  2281 (  2.2) ","<0.001",""," 0.104","   258 (  0.1) ","   489 (  0.2) ","   516 (  0.4) ","  1864 (  0.9) ","  2142 (  2.1) ","  71 (  5.3) ","   66 (  7.5) ","   41 ( 13.7) ","  158 ( 24.1) ","  139 ( 18.0) ","<0.001",""," 0.366"
"ICDCRTD = 1 (%)","     4 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     2 (  0.0) ","     2 (  0.0) "," 0.036",""," 0.003","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     2 (  0.0) ","     1 (  0.0) ","   0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    1 (  0.1) ","<0.001",""," 0.012"
"INF_HOSP = 1 (%)","375495 ( 39.0) ","112360 ( 49.4) ","120989 ( 39.7) "," 38941 ( 29.6) "," 63058 ( 31.9) "," 40147 ( 39.3) ","<0.001",""," 0.197","111460 ( 49.3) ","120417 ( 39.6) "," 38760 ( 29.6) "," 62639 ( 31.8) "," 39607 ( 39.1) "," 900 ( 66.6) ","  572 ( 65.3) ","  181 ( 60.3) ","  419 ( 64.0) ","  540 ( 69.9) ","<0.001",""," 0.384"
"LABXRAY = 1 (%)","621750 ( 64.5) ","153153 ( 67.3) ","180948 ( 59.4) "," 77103 ( 58.7) ","133027 ( 67.3) "," 77519 ( 75.9) ","<0.001",""," 0.182","151824 ( 67.1) ","180088 ( 59.2) "," 76808 ( 58.6) ","132386 ( 67.2) "," 76764 ( 75.7) ","1329 ( 98.3) ","  860 ( 98.2) ","  295 ( 98.3) ","  641 ( 97.9) ","  755 ( 97.8) ","<0.001",""," 0.563"
"LIVERDIS = 1 (%)","  1057 (  0.1) ","   116 (  0.1) ","   137 (  0.0) ","   113 (  0.1) ","   339 (  0.2) ","   352 (  0.3) ","<0.001",""," 0.035","   107 (  0.0) ","   127 (  0.0) ","   107 (  0.1) ","   324 (  0.2) ","   332 (  0.3) ","   9 (  0.7) ","   10 (  1.1) ","    6 (  2.0) ","   15 (  2.3) ","   20 (  2.6) ","<0.001",""," 0.115"
"NONKIDNEYTX = 1 (%)","   254 (  0.0) ","    34 (  0.0) ","    85 (  0.0) ","    48 (  0.0) ","    61 (  0.0) ","    26 (  0.0) "," 0.001",""," 0.006","    24 (  0.0) ","    65 (  0.0) ","    38 (  0.0) ","    50 (  0.0) ","    21 (  0.0) ","  10 (  0.7) ","   20 (  2.3) ","   10 (  3.3) ","   11 (  1.7) ","    5 (  0.6) ","<0.001",""," 0.122"
"NONPEDCONG = 1 (%)","  3992 (  0.4) ","  1097 (  0.5) ","   642 (  0.2) ","   295 (  0.2) ","   947 (  0.5) ","  1011 (  1.0) ","<0.001",""," 0.050","  1025 (  0.5) ","   623 (  0.2) ","   286 (  0.2) ","   911 (  0.5) ","   947 (  0.9) ","  72 (  5.3) ","   19 (  2.2) ","    9 (  3.0) ","   36 (  5.5) ","   64 (  8.3) ","<0.001",""," 0.190"
"OPHOSPITAL = 1 (%)","449850 ( 46.7) ","129634 ( 57.0) ","132852 ( 43.6) "," 49601 ( 37.8) "," 82782 ( 41.9) "," 54981 ( 53.8) ","<0.001",""," 0.204","128572 ( 56.9) ","132188 ( 43.5) "," 49383 ( 37.7) "," 82244 ( 41.7) "," 54326 ( 53.6) ","1062 ( 78.6) ","  664 ( 75.8) ","  218 ( 72.7) ","  538 ( 82.1) ","  655 ( 84.8) ","<0.001",""," 0.476"
"OTHCARDIAC = 1 (%)"," 15378 (  1.6) ","  5112 (  2.2) ","  3257 (  1.1) ","  1155 (  0.9) ","  3130 (  1.6) ","  2724 (  2.7) ","<0.001",""," 0.074","  4984 (  2.2) ","  3212 (  1.1) ","  1132 (  0.9) ","  3080 (  1.6) ","  2647 (  2.6) "," 128 (  9.5) ","   45 (  5.1) ","   23 (  7.7) ","   50 (  7.6) ","   77 ( 10.0) ","<0.001",""," 0.200"
"PAD = 1 (%)","    23 (  0.0) ","     7 (  0.0) ","     2 (  0.0) ","     3 (  0.0) ","     7 (  0.0) ","     4 (  0.0) "," 0.172",""," 0.003","     7 (  0.0) ","     2 (  0.0) ","     3 (  0.0) ","     6 (  0.0) ","     4 (  0.0) ","   0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    1 (  0.2) ","    0 (  0.0) ","<0.001",""," 0.015"
"PCI = 1 (%)","     3 (  0.0) ","     0 (  0.0) ","     3 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) "," 0.166",""," 0.002","     0 (  0.0) ","     3 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) "," 0.688",""," 0.001"
"PEDCKD = 1 (%)","  8639 (  0.9) ","  1994 (  0.9) ","  2046 (  0.7) ","   939 (  0.7) ","  2004 (  1.0) ","  1656 (  1.6) ","<0.001",""," 0.042","   710 (  0.3) ","  1217 (  0.4) ","   664 (  0.5) ","  1423 (  0.7) ","  1061 (  1.0) ","1284 ( 95.0) ","  829 ( 94.6) ","  275 ( 91.7) ","  581 ( 88.7) ","  595 ( 77.1) ","<0.001",""," 2.534"
"PEDCONG = 1 (%)","  6859 (  0.7) ","  3812 (  1.7) ","  1428 (  0.5) ","   540 (  0.4) ","   770 (  0.4) ","   309 (  0.3) ","<0.001",""," 0.059","  3638 (  1.6) ","  1396 (  0.5) ","   533 (  0.4) ","   749 (  0.4) ","   300 (  0.3) "," 174 ( 12.9) ","   32 (  3.7) ","    7 (  2.3) ","   21 (  3.2) ","    9 (  1.2) ","<0.001",""," 0.186"
"PHYSICIANF = 1 (%)","854542 ( 88.7) ","215529 ( 94.7) ","266311 ( 87.4) ","113479 ( 86.4) ","170797 ( 86.4) "," 88426 ( 86.5) ","<0.001",""," 0.121","214189 ( 94.7) ","265456 ( 87.3) ","113190 ( 86.4) ","170155 ( 86.4) "," 87669 ( 86.4) ","1340 ( 99.1) ","  855 ( 97.6) ","  289 ( 96.3) ","  642 ( 98.0) ","  757 ( 98.1) ","<0.001",""," 0.255"
"PSYCH = 0 (%)","963558 (100.0) ","227480 (100.0) ","304851 (100.0) ","131382 (100.0) ","197651 (100.0) ","102194 (100.0) "," NA","","<0.001","226128 (100.0) ","303975 (100.0) ","131082 (100.0) ","196996 (100.0) ","101422 (100.0) ","1352 (100.0) ","  876 (100.0) ","  300 (100.0) ","  655 (100.0) ","  772 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","  1071 (  0.1) ","   251 (  0.1) ","   152 (  0.0) ","    90 (  0.1) ","   294 (  0.1) ","   284 (  0.3) ","<0.001",""," 0.028","   213 (  0.1) ","   146 (  0.0) ","    83 (  0.1) ","   269 (  0.1) ","   254 (  0.3) ","  38 (  2.8) ","    6 (  0.7) ","    7 (  2.3) ","   25 (  3.8) ","   30 (  3.9) ","<0.001",""," 0.147"
"RCPNT_DLVRY = 1 (%)"," 47966 (  5.0) "," 40309 ( 17.7) ","     3 (  0.0) ","     3 (  0.0) ","  1166 (  0.6) ","  6485 (  6.3) ","<0.001",""," 0.356"," 39840 ( 17.6) ","     3 (  0.0) ","     3 (  0.0) ","  1145 (  0.6) ","  6328 (  6.2) "," 469 ( 34.7) ","    0 (  0.0) ","    0 (  0.0) ","   21 (  3.2) ","  157 ( 20.3) ","<0.001",""," 0.439"
"SNF = 0 (%)","963558 (100.0) ","227480 (100.0) ","304851 (100.0) ","131382 (100.0) ","197651 (100.0) ","102194 (100.0) "," NA","","<0.001","226128 (100.0) ","303975 (100.0) ","131082 (100.0) ","196996 (100.0) ","101422 (100.0) ","1352 (100.0) ","  876 (100.0) ","  300 (100.0) ","  655 (100.0) ","  772 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","    97 (  0.0) ","     6 (  0.0) ","    11 (  0.0) ","    12 (  0.0) ","    37 (  0.0) ","    31 (  0.0) ","<0.001",""," 0.012","     0 (  0.0) ","     6 (  0.0) ","     3 (  0.0) ","    10 (  0.0) ","    13 (  0.0) ","   6 (  0.4) ","    5 (  0.6) ","    9 (  3.0) ","   27 (  4.1) ","   18 (  2.3) ","<0.001",""," 0.139"
"age (mean (sd))","  9.44 (5.95)","  2.05 (1.08)","  6.84 (1.72)"," 11.51 (0.86)"," 15.46 (1.45)"," 19.41 (0.85)","<0.001",""," 7.535","  2.05 (1.08)","  6.84 (1.72)"," 11.51 (0.86)"," 15.45 (1.45)"," 19.41 (0.85)","1.58 (1.03)"," 6.73 (1.75)","11.50 (0.84)","15.80 (1.46)","19.56 (0.86)","<0.001",""," 6.880"
"died = 0 (%)","963558 (100.0) ","227480 (100.0) ","304851 (100.0) ","131382 (100.0) ","197651 (100.0) ","102194 (100.0) "," NA","","<0.001","226128 (100.0) ","303975 (100.0) ","131082 (100.0) ","196996 (100.0) ","101422 (100.0) ","1352 (100.0) ","  876 (100.0) ","  300 (100.0) ","  655 (100.0) ","  772 (100.0) "," NA","","<0.001"
