"","Overall","[0,5)","[5,10)","[10,14)","[14,18)","[18,22)","p","test","SMD","[0,5):0","[5,10):0","[10,14):0","[14,18):0","[18,22):0","[0,5):1","[5,10):1","[10,14):1","[14,18):1","[18,22):1","p","test","SMD"
"   9-12 months","835030 ( 85.4) ","178439 ( 76.5) ","229667 ( 90.3) ","160258 ( 90.8) ","144451 ( 90.0) ","122215 ( 79.9) ","","","","176852 ( 76.5) ","227885 ( 90.2) ","158918 ( 90.8) ","142622 ( 90.0) ","119986 ( 79.8) "," 1587 ( 72.9) "," 1782 ( 93.8) "," 1340 ( 94.0) "," 1829 ( 93.1) "," 2229 ( 84.4) ","","",""
"AKI = 1 (%)","   293 (  0.0) ","    96 (  0.0) ","    13 (  0.0) ","    23 (  0.0) ","    30 (  0.0) ","   131 (  0.1) ","<0.001",""," 0.020","    44 (  0.0) ","     4 (  0.0) ","    10 (  0.0) ","     7 (  0.0) ","    73 (  0.0) ","   52 (  2.4) ","    9 (  0.5) ","   13 (  0.9) ","   23 (  1.2) ","   58 (  2.2) ","<0.001",""," 0.112"
"ANEMIA = 1 (%)"," 36682 (  3.8) "," 11211 (  4.8) ","  8209 (  3.2) ","  4395 (  2.5) ","  5211 (  3.2) ","  7656 (  5.0) ","<0.001",""," 0.069"," 11004 (  4.8) ","  8087 (  3.2) ","  4295 (  2.5) ","  5023 (  3.2) ","  7219 (  4.8) ","  207 (  9.5) ","  122 (  6.4) ","  100 (  7.0) ","  188 (  9.6) ","  437 ( 16.5) ","<0.001",""," 0.181"
"ASHD = 1 (%)","   472 (  0.0) ","    34 (  0.0) ","    30 (  0.0) ","    38 (  0.0) ","   117 (  0.1) ","   253 (  0.2) ","<0.001",""," 0.027","    32 (  0.0) ","    30 (  0.0) ","    37 (  0.0) ","   113 (  0.1) ","   241 (  0.2) ","    2 (  0.1) ","    0 (  0.0) ","    1 (  0.1) ","    4 (  0.2) ","   12 (  0.5) ","<0.001",""," 0.039"
"CABG = 1 (%)","     1 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) "," 0.249",""," 0.001","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) "," 0.788",""," 0.001"
"CANCER = 1 (%)","  1708 (  0.2) ","   233 (  0.1) ","   409 (  0.2) ","   282 (  0.2) ","   307 (  0.2) ","   477 (  0.3) ","<0.001",""," 0.021","   181 (  0.1) ","   347 (  0.1) ","   237 (  0.1) ","   261 (  0.2) ","   424 (  0.3) ","   52 (  2.4) ","   62 (  3.3) ","   45 (  3.2) ","   46 (  2.3) ","   53 (  2.0) ","<0.001",""," 0.131"
"CASCEA = 1 (%)","     1 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","     0 (  0.0) "," 0.278",""," 0.001","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) "," 0.819",""," 0.001"
"CHF = 1 (%)","   857 (  0.1) ","   328 (  0.1) ","   122 (  0.0) ","    78 (  0.0) ","   105 (  0.1) ","   224 (  0.1) ","<0.001",""," 0.019","   278 (  0.1) ","   114 (  0.0) ","    70 (  0.0) ","    88 (  0.1) ","   185 (  0.1) ","   50 (  2.3) ","    8 (  0.4) ","    8 (  0.6) ","   17 (  0.9) ","   39 (  1.5) ","<0.001",""," 0.094"
"CKD = 1 (%)","  4132 (  0.4) ","  1392 (  0.6) ","   674 (  0.3) ","   418 (  0.2) ","   536 (  0.3) ","  1112 (  0.7) ","<0.001",""," 0.039","    69 (  0.0) ","    21 (  0.0) ","    28 (  0.0) ","    46 (  0.0) ","   197 (  0.1) "," 1323 ( 60.8) ","  653 ( 34.4) ","  390 ( 27.4) ","  490 ( 24.9) ","  915 ( 34.6) ","<0.001",""," 0.689"
"CKD_STAGE_1 = 1 (%)","    93 (  0.0) ","    15 (  0.0) ","    10 (  0.0) ","    14 (  0.0) ","    16 (  0.0) ","    38 (  0.0) ","<0.001",""," 0.008","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   15 (  0.7) ","   10 (  0.5) ","   14 (  1.0) ","   16 (  0.8) ","   38 (  1.4) ","<0.001",""," 0.083"
"CKD_STAGE_2 = 1 (%)","    73 (  0.0) ","     6 (  0.0) ","    13 (  0.0) ","    10 (  0.0) ","    12 (  0.0) ","    32 (  0.0) ","<0.001",""," 0.008","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    6 (  0.3) ","   13 (  0.7) ","   10 (  0.7) ","   12 (  0.6) ","   32 (  1.2) ","<0.001",""," 0.075"
"CKD_STAGE_3 = 1 (%)","    91 (  0.0) ","    17 (  0.0) ","    12 (  0.0) ","    13 (  0.0) ","    18 (  0.0) ","    31 (  0.0) ","<0.001",""," 0.007","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   17 (  0.8) ","   12 (  0.6) ","   13 (  0.9) ","   18 (  0.9) ","   31 (  1.2) ","<0.001",""," 0.080"
"CKD_STAGE_4 = 1 (%)","    46 (  0.0) ","    10 (  0.0) ","     5 (  0.0) ","     3 (  0.0) ","    14 (  0.0) ","    14 (  0.0) "," 0.001",""," 0.006","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   10 (  0.5) ","    5 (  0.3) ","    3 (  0.2) ","   14 (  0.7) ","   14 (  0.5) ","<0.001",""," 0.059"
"CKD_STAGE_5 = 1 (%)","   126 (  0.0) ","    21 (  0.0) ","    13 (  0.0) ","     9 (  0.0) ","    31 (  0.0) ","    52 (  0.0) ","<0.001",""," 0.011","     2 (  0.0) ","     3 (  0.0) ","     2 (  0.0) ","     2 (  0.0) ","     4 (  0.0) ","   19 (  0.9) ","   10 (  0.5) ","    7 (  0.5) ","   29 (  1.5) ","   48 (  1.8) ","<0.001",""," 0.094"
"CLINIC = 1 (%)","211184 ( 21.6) "," 49796 ( 21.3) "," 80938 ( 31.8) "," 26560 ( 15.1) "," 25398 ( 15.8) "," 28492 ( 18.6) ","<0.001",""," 0.190"," 49285 ( 21.3) "," 80303 ( 31.8) "," 26282 ( 15.0) "," 24966 ( 15.7) "," 27959 ( 18.6) ","  511 ( 23.5) ","  635 ( 33.4) ","  278 ( 19.5) ","  432 ( 22.0) ","  533 ( 20.2) ","<0.001",""," 0.165"
"COPD = 1 (%)"," 79517 (  8.1) "," 19524 (  8.4) "," 23765 (  9.3) "," 14781 (  8.4) "," 11459 (  7.1) ","  9988 (  6.5) ","<0.001",""," 0.051"," 19263 (  8.3) "," 23506 (  9.3) "," 14618 (  8.4) "," 11229 (  7.1) ","  9720 (  6.5) ","  261 ( 12.0) ","  259 ( 13.6) ","  163 ( 11.4) ","  230 ( 11.7) ","  268 ( 10.1) ","<0.001",""," 0.094"
"CVA = 1 (%)","  1383 (  0.1) ","   480 (  0.2) ","   235 (  0.1) ","   154 (  0.1) ","   184 (  0.1) ","   330 (  0.2) ","<0.001",""," 0.019","   434 (  0.2) ","   223 (  0.1) ","   142 (  0.1) ","   174 (  0.1) ","   292 (  0.2) ","   46 (  2.1) ","   12 (  0.6) ","   12 (  0.8) ","   10 (  0.5) ","   38 (  1.4) ","<0.001",""," 0.086"
"CVD_HOSP = 1 (%)"," 10897 (  1.1) ","  5257 (  2.3) ","  2326 (  0.9) ","  1105 (  0.6) ","  1054 (  0.7) ","  1155 (  0.8) ","<0.001",""," 0.061","  5019 (  2.2) ","  2270 (  0.9) ","  1076 (  0.6) ","  1023 (  0.6) ","  1091 (  0.7) ","  238 ( 10.9) ","   56 (  2.9) ","   29 (  2.0) ","   31 (  1.6) ","   64 (  2.4) ","<0.001",""," 0.146"
"DIALYSIS = 1 (%)","   130 (  0.0) ","    23 (  0.0) ","    15 (  0.0) ","    10 (  0.0) ","    31 (  0.0) ","    51 (  0.0) ","<0.001",""," 0.011","     3 (  0.0) ","     4 (  0.0) ","     2 (  0.0) ","     2 (  0.0) ","     4 (  0.0) ","   20 (  0.9) ","   11 (  0.6) ","    8 (  0.6) ","   29 (  1.5) ","   47 (  1.8) ","<0.001",""," 0.094"
"DM = 1 (%)","  7757 (  0.8) ","   267 (  0.1) ","   792 (  0.3) ","  1407 (  0.8) ","  2172 (  1.4) ","  3119 (  2.0) ","<0.001",""," 0.103","   254 (  0.1) ","   775 (  0.3) ","  1362 (  0.8) ","  2077 (  1.3) ","  2929 (  1.9) ","   13 (  0.6) ","   17 (  0.9) ","   45 (  3.2) ","   95 (  4.8) ","  190 (  7.2) ","<0.001",""," 0.162"
"DYSRHYTH = 1 (%)","  5578 (  0.6) ","  1248 (  0.5) ","   858 (  0.3) ","   774 (  0.4) ","  1041 (  0.6) ","  1657 (  1.1) ","<0.001",""," 0.042","  1150 (  0.5) ","   824 (  0.3) ","   743 (  0.4) ","   994 (  0.6) ","  1553 (  1.0) ","   98 (  4.5) ","   34 (  1.8) ","   31 (  2.2) ","   47 (  2.4) ","  104 (  3.9) ","<0.001",""," 0.126"
"ED = 1 (%)","383943 ( 39.3) ","114840 ( 49.2) "," 89856 ( 35.3) "," 53008 ( 30.0) "," 54206 ( 33.8) "," 72033 ( 47.1) ","<0.001",""," 0.214","113460 ( 49.1) "," 88893 ( 35.2) "," 52375 ( 29.9) "," 53293 ( 33.6) "," 70198 ( 46.7) "," 1380 ( 63.4) ","  963 ( 50.7) ","  633 ( 44.4) ","  913 ( 46.5) "," 1835 ( 69.5) ","<0.001",""," 0.304"
"GI = 1 (%)","  3043 (  0.3) ","   890 (  0.4) ","   420 (  0.2) ","   267 (  0.2) ","   446 (  0.3) ","  1020 (  0.7) ","<0.001",""," 0.041","   838 (  0.4) ","   407 (  0.2) ","   259 (  0.1) ","   432 (  0.3) ","   963 (  0.6) ","   52 (  2.4) ","   13 (  0.7) ","    8 (  0.6) ","   14 (  0.7) ","   57 (  2.2) ","<0.001",""," 0.084"
"HOMEHEALTH = 1 (%)","  3950 (  0.4) ","  2652 (  1.1) ","   331 (  0.1) ","   181 (  0.1) ","   252 (  0.2) ","   534 (  0.3) ","<0.001",""," 0.064","  2443 (  1.1) ","   309 (  0.1) ","   165 (  0.1) ","   229 (  0.1) ","   467 (  0.3) ","  209 (  9.6) ","   22 (  1.2) ","   16 (  1.1) ","   23 (  1.2) ","   67 (  2.5) ","<0.001",""," 0.155"
"HTN = 1 (%)","  6784 (  0.7) ","   355 (  0.2) ","   518 (  0.2) ","   789 (  0.4) ","  1677 (  1.0) ","  3445 (  2.3) ","<0.001",""," 0.103","   253 (  0.1) ","   430 (  0.2) ","   696 (  0.4) ","  1477 (  0.9) ","  3126 (  2.1) ","  102 (  4.7) ","   88 (  4.6) ","   93 (  6.5) ","  200 ( 10.2) ","  319 ( 12.1) ","<0.001",""," 0.247"
"ICDCRTD = 1 (%)","     5 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","     2 (  0.0) ","     2 (  0.0) "," 0.192",""," 0.003","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","     2 (  0.0) ","     2 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) "," 0.714",""," 0.002"
"INF_HOSP = 1 (%)","379529 ( 38.8) ","116144 ( 49.8) ","100485 ( 39.5) "," 52412 ( 29.7) "," 49196 ( 30.7) "," 61292 ( 40.1) ","<0.001",""," 0.206","114608 ( 49.6) "," 99213 ( 39.3) "," 51627 ( 29.5) "," 48174 ( 30.4) "," 59418 ( 39.5) "," 1536 ( 70.6) "," 1272 ( 66.9) ","  785 ( 55.1) "," 1022 ( 52.0) "," 1874 ( 71.0) ","<0.001",""," 0.395"
"LABXRAY = 1 (%)","632755 ( 64.7) ","154952 ( 66.4) ","152520 ( 59.9) ","102741 ( 58.2) ","106649 ( 66.4) ","115893 ( 75.8) ","<0.001",""," 0.178","152825 ( 66.1) ","150669 ( 59.7) ","101355 ( 57.9) ","104715 ( 66.1) ","113300 ( 75.4) "," 2127 ( 97.7) "," 1851 ( 97.4) "," 1386 ( 97.3) "," 1934 ( 98.4) "," 2593 ( 98.2) ","<0.001",""," 0.566"
"LIVERDIS = 1 (%)","  1251 (  0.1) ","   123 (  0.1) ","   121 (  0.0) ","   186 (  0.1) ","   270 (  0.2) ","   551 (  0.4) ","<0.001",""," 0.036","    94 (  0.0) ","   116 (  0.0) ","   175 (  0.1) ","   249 (  0.2) ","   500 (  0.3) ","   29 (  1.3) ","    5 (  0.3) ","   11 (  0.8) ","   21 (  1.1) ","   51 (  1.9) ","<0.001",""," 0.089"
"NONKIDNEYTX = 1 (%)","   235 (  0.0) ","    42 (  0.0) ","    67 (  0.0) ","    52 (  0.0) ","    38 (  0.0) ","    36 (  0.0) "," 0.178",""," 0.003","    27 (  0.0) ","    56 (  0.0) ","    44 (  0.0) ","    26 (  0.0) ","    25 (  0.0) ","   15 (  0.7) ","   11 (  0.6) ","    8 (  0.6) ","   12 (  0.6) ","   11 (  0.4) ","<0.001",""," 0.061"
"NONPEDCONG = 1 (%)","  4279 (  0.4) ","  1228 (  0.5) ","   537 (  0.2) ","   362 (  0.2) ","   698 (  0.4) ","  1454 (  1.0) ","<0.001",""," 0.051","  1110 (  0.5) ","   508 (  0.2) ","   341 (  0.2) ","   657 (  0.4) ","  1339 (  0.9) ","  118 (  5.4) ","   29 (  1.5) ","   21 (  1.5) ","   41 (  2.1) ","  115 (  4.4) ","<0.001",""," 0.141"
"OPHOSPITAL = 1 (%)","444363 ( 45.4) ","128020 ( 54.9) ","108240 ( 42.5) "," 64576 ( 36.6) "," 63759 ( 39.7) "," 79768 ( 52.2) ","<0.001",""," 0.199","126254 ( 54.6) ","106886 ( 42.3) "," 63714 ( 36.4) "," 62526 ( 39.4) "," 77679 ( 51.7) "," 1766 ( 81.2) "," 1354 ( 71.3) ","  862 ( 60.5) "," 1233 ( 62.7) "," 2089 ( 79.1) ","<0.001",""," 0.415"
"OTHCARDIAC = 1 (%)"," 13882 (  1.4) ","  4653 (  2.0) ","  2628 (  1.0) ","  1463 (  0.8) ","  1980 (  1.2) ","  3158 (  2.1) ","<0.001",""," 0.058","  4497 (  1.9) ","  2573 (  1.0) ","  1424 (  0.8) ","  1910 (  1.2) ","  3008 (  2.0) ","  156 (  7.2) ","   55 (  2.9) ","   39 (  2.7) ","   70 (  3.6) ","  150 (  5.7) ","<0.001",""," 0.133"
"PAD = 1 (%)","    32 (  0.0) ","    10 (  0.0) ","     3 (  0.0) ","     2 (  0.0) ","     6 (  0.0) ","    11 (  0.0) "," 0.008",""," 0.005","     8 (  0.0) ","     3 (  0.0) ","     1 (  0.0) ","     6 (  0.0) ","     8 (  0.0) ","    2 (  0.1) ","    0 (  0.0) ","    1 (  0.1) ","    0 (  0.0) ","    3 (  0.1) ","<0.001",""," 0.023"
"PCI = 1 (%)","     3 (  0.0) ","     1 (  0.0) ","     2 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) "," 0.475",""," 0.002","     1 (  0.0) ","     2 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) "," 0.937",""," 0.001"
"PEDCKD = 1 (%)"," 10107 (  1.0) ","  2176 (  0.9) ","  1900 (  0.7) ","  1425 (  0.8) ","  1965 (  1.2) ","  2641 (  1.7) ","<0.001",""," 0.044","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) "," 2176 (100.0) "," 1900 (100.0) "," 1425 (100.0) "," 1965 (100.0) "," 2641 (100.0) ","<0.001",""," NaN"
"PEDCONG = 1 (%)","  6953 (  0.7) ","  3900 (  1.7) ","  1280 (  0.5) ","   713 (  0.4) ","   573 (  0.4) ","   487 (  0.3) ","<0.001",""," 0.060","  3667 (  1.6) ","  1246 (  0.5) ","   697 (  0.4) ","   550 (  0.3) ","   452 (  0.3) ","  233 ( 10.7) ","   34 (  1.8) ","   16 (  1.1) ","   23 (  1.2) ","   35 (  1.3) ","<0.001",""," 0.142"
"PHYSICIANF = 1 (%)","876361 ( 89.6) ","221857 ( 95.1) ","225754 ( 88.7) ","154536 ( 87.6) ","140267 ( 87.4) ","133947 ( 87.6) ","<0.001",""," 0.117","219705 ( 95.0) ","223917 ( 88.7) ","153167 ( 87.5) ","138397 ( 87.3) ","131403 ( 87.4) "," 2152 ( 98.9) "," 1837 ( 96.7) "," 1369 ( 96.1) "," 1870 ( 95.2) "," 2544 ( 96.3) ","<0.001",""," 0.208"
"PSYCH = 0 (%)","977720 (100.0) ","233388 (100.0) ","254454 (100.0) ","176436 (100.0) ","160498 (100.0) ","152944 (100.0) "," NA","","<0.001","231212 (100.0) ","252554 (100.0) ","175011 (100.0) ","158533 (100.0) ","150303 (100.0) "," 2176 (100.0) "," 1900 (100.0) "," 1425 (100.0) "," 1965 (100.0) "," 2641 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","  1148 (  0.1) ","   264 (  0.1) ","   121 (  0.0) ","   121 (  0.1) ","   243 (  0.2) ","   399 (  0.3) ","<0.001",""," 0.028","   212 (  0.1) ","   112 (  0.0) ","   110 (  0.1) ","   218 (  0.1) ","   351 (  0.2) ","   52 (  2.4) ","    9 (  0.5) ","   11 (  0.8) ","   25 (  1.3) ","   48 (  1.8) ","<0.001",""," 0.101"
"RCPNT_DLVRY = 1 (%)"," 48626 (  5.0) "," 39480 ( 16.9) ","     1 (  0.0) ","     5 (  0.0) ","   544 (  0.3) ","  8596 (  5.6) ","<0.001",""," 0.343"," 38883 ( 16.8) ","     1 (  0.0) ","     5 (  0.0) ","   529 (  0.3) ","  8287 (  5.5) ","  597 ( 27.4) ","    0 (  0.0) ","    0 (  0.0) ","   15 (  0.8) ","  309 ( 11.7) ","<0.001",""," 0.373"
"SNF = 0 (%)","977720 (100.0) ","233388 (100.0) ","254454 (100.0) ","176436 (100.0) ","160498 (100.0) ","152944 (100.0) "," NA","","<0.001","231212 (100.0) ","252554 (100.0) ","175011 (100.0) ","158533 (100.0) ","150303 (100.0) "," 2176 (100.0) "," 1900 (100.0) "," 1425 (100.0) "," 1965 (100.0) "," 2641 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","   110 (  0.0) ","     5 (  0.0) ","    16 (  0.0) ","    13 (  0.0) ","    30 (  0.0) ","    46 (  0.0) ","<0.001",""," 0.012","     4 (  0.0) ","     5 (  0.0) ","     3 (  0.0) ","     4 (  0.0) ","     6 (  0.0) ","    1 (  0.0) ","   11 (  0.6) ","   10 (  0.7) ","   26 (  1.3) ","   40 (  1.5) ","<0.001",""," 0.085"
"age (mean (sd))","  9.55 (6.04)","  2.06 (1.08)","  6.37 (1.44)"," 10.98 (1.15)"," 14.99 (1.16)"," 18.94 (1.14)","<0.001",""," 7.185","  2.06 (1.07)","  6.37 (1.44)"," 10.98 (1.15)"," 14.99 (1.16)"," 18.94 (1.14)"," 1.77 (1.08)"," 6.27 (1.44)","11.06 (1.18)","15.06 (1.16)","19.13 (1.16)","<0.001",""," 6.461"
"died = 1 (%)","     3 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","     2 (  0.0) "," 0.109",""," 0.003","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    1 (  0.1) ","    1 (  0.0) ","<0.001",""," 0.011"
