"","Overall","(0,21]","(21,120]","p","test","SMD","(0,21]:0","(21,120]:0","(0,21]:1","(21,120]:1","p","test","SMD"
"CHF = 1 (%)","  23964 (  1.4) ","   663 (  0.1) "," 23301 (  2.9) ","<0.001",""," 0.233","   591 (  0.1) "," 17550 (  2.2) ","   72 (  2.2) "," 5751 ( 22.7) ","<0.001",""," 0.412"
"CKD = 1 (%)","  28574 (  1.7) ","  3229 (  0.4) "," 25345 (  3.1) ","<0.001",""," 0.210","     0 (  0.0) ","     0 (  0.0) "," 3229 (100.0) ","25345 (100.0) ","<0.001",""," NaN"
"CKD_STAGE_1 = 1 (%)","    478 (  0.0) ","    62 (  0.0) ","   416 (  0.1) ","<0.001",""," 0.026","     0 (  0.0) ","     0 (  0.0) ","   62 (  1.9) ","  416 (  1.6) ","<0.001",""," 0.130"
"CKD_STAGE_2 = 1 (%)","    916 (  0.1) ","    44 (  0.0) ","   872 (  0.1) ","<0.001",""," 0.043","     0 (  0.0) ","     0 (  0.0) ","   44 (  1.4) ","  872 (  3.4) ","<0.001",""," 0.167"
"CKD_STAGE_3 = 1 (%)","   3356 (  0.2) ","    65 (  0.0) ","  3291 (  0.4) ","<0.001",""," 0.087","     0 (  0.0) ","     0 (  0.0) ","   65 (  2.0) "," 3291 ( 13.0) ","<0.001",""," 0.321"
"CKD_STAGE_4 = 1 (%)","   1601 (  0.1) ","    36 (  0.0) ","  1565 (  0.2) ","<0.001",""," 0.060","     0 (  0.0) ","     0 (  0.0) ","   36 (  1.1) "," 1565 (  6.2) ","<0.001",""," 0.216"
"CKD_STAGE_5 = 1 (%)","   5850 (  0.3) ","    81 (  0.0) ","  5769 (  0.7) ","<0.001",""," 0.117","     0 (  0.0) ","     0 (  0.0) ","   81 (  2.5) "," 5769 ( 22.8) ","<0.001",""," 0.438"
"CLINIC = 1 (%)"," 336486 ( 20.0) ","189626 ( 21.9) ","146860 ( 18.0) ","<0.001",""," 0.099","188820 ( 21.9) ","142936 ( 18.1) ","  806 ( 25.0) "," 3924 ( 15.5) ","<0.001",""," 0.135"
"COPD = 1 (%)"," 159628 (  9.5) "," 72179 (  8.3) "," 87449 ( 10.7) ","<0.001",""," 0.081"," 71761 (  8.3) "," 81135 ( 10.3) ","  418 ( 12.9) "," 6314 ( 24.9) ","<0.001",""," 0.243"
"CVA = 1 (%)","  18991 (  1.1) ","  1119 (  0.1) "," 17872 (  2.2) ","<0.001",""," 0.193","  1051 (  0.1) "," 15045 (  1.9) ","   68 (  2.1) "," 2827 ( 11.2) ","<0.001",""," 0.271"
"CVD_HOSP = 1 (%)","  16982 (  1.0) "," 10015 (  1.2) ","  6967 (  0.9) ","<0.001",""," 0.031","  9763 (  1.1) ","  6028 (  0.8) ","  252 (  7.8) ","  939 (  3.7) ","<0.001",""," 0.211"
"DIALYSIS = 1 (%)","   5712 (  0.3) ","    86 (  0.0) ","  5626 (  0.7) ","<0.001",""," 0.115","     2 (  0.0) ","     9 (  0.0) ","   84 (  2.6) "," 5617 ( 22.2) ","<0.001",""," 0.433"
"DM = 1 (%)","  92501 (  5.5) ","  5303 (  0.6) "," 87198 ( 10.7) ","<0.001",""," 0.447","  5196 (  0.6) "," 77467 (  9.8) ","  107 (  3.3) "," 9731 ( 38.4) ","<0.001",""," 0.606"
"DYSRHYTH = 1 (%)","  29434 (  1.8) ","  4294 (  0.5) "," 25140 (  3.1) ","<0.001",""," 0.196","  4153 (  0.5) "," 20706 (  2.6) ","  141 (  4.4) "," 4434 ( 17.5) ","<0.001",""," 0.348"
"ED = 1 (%)"," 680020 ( 40.4) ","327772 ( 37.9) ","352247 ( 43.1) ","<0.001",""," 0.107","325855 ( 37.8) ","336179 ( 42.5) "," 1917 ( 59.4) ","16068 ( 63.4) ","<0.001",""," 0.320"
"GI = 1 (%)","  14008 (  0.8) ","  2237 (  0.3) "," 11771 (  1.4) ","<0.001",""," 0.129","  2174 (  0.3) ","  9828 (  1.2) ","   63 (  2.0) "," 1943 (  7.7) ","<0.001",""," 0.218"
"HOMEHEALTH = 1 (%)","  15475 (  0.9) ","  3513 (  0.4) "," 11961 (  1.5) ","<0.001",""," 0.110","  3296 (  0.4) ","  8708 (  1.1) ","  217 (  6.7) "," 3253 ( 12.8) ","<0.001",""," 0.320"
"HTN = 1 (%)"," 128349 (  7.6) ","  4019 (  0.5) ","124330 ( 15.2) ","<0.001",""," 0.571","  3617 (  0.4) ","110129 ( 13.9) ","  402 ( 12.4) ","14201 ( 56.0) ","<0.001",""," 0.780"
"ICDCRTD = 1 (%)","    157 (  0.0) ","     3 (  0.0) ","   154 (  0.0) ","<0.001",""," 0.019","     3 (  0.0) ","    90 (  0.0) ","    0 (  0.0) ","   64 (  0.3) ","<0.001",""," 0.040"
"INF_HOSP = 1 (%)"," 626808 ( 37.3) ","333027 ( 38.5) ","293780 ( 36.0) ","<0.001",""," 0.052","330880 ( 38.4) ","279663 ( 35.3) "," 2147 ( 66.5) ","14117 ( 55.7) ","<0.001",""," 0.383"
"LABXRAY = 1 (%)","1137445 ( 67.6) ","545977 ( 63.1) ","591465 ( 72.4) ","<0.001",""," 0.200","542797 ( 63.0) ","569903 ( 72.0) "," 3180 ( 98.5) ","21562 ( 85.1) ","<0.001",""," 0.559"
"LIVERDIS = 1 (%)","  10668 (  0.6) ","   813 (  0.1) ","  9855 (  1.2) ","<0.001",""," 0.139","   757 (  0.1) ","  8364 (  1.1) ","   56 (  1.7) "," 1491 (  5.9) ","<0.001",""," 0.198"
"NONKIDNEYTX = 1 (%)","    608 (  0.0) ","   205 (  0.0) ","   403 (  0.0) ","<0.001",""," 0.013","   166 (  0.0) ","   264 (  0.0) ","   39 (  1.2) ","  139 (  0.5) ","<0.001",""," 0.096"
"NONPEDCONG = 1 (%)","  56445 (  3.4) ","  3118 (  0.4) "," 53327 (  6.5) ","<0.001",""," 0.343","  2944 (  0.3) "," 44551 (  5.6) ","  174 (  5.4) "," 8776 ( 34.6) ","<0.001",""," 0.534"
"OPHOSPITAL = 1 (%)"," 803990 ( 47.8) ","382769 ( 44.3) ","421220 ( 51.6) ","<0.001",""," 0.147","380208 ( 44.1) ","401083 ( 50.7) "," 2561 ( 79.3) ","20137 ( 79.5) ","<0.001",""," 0.492"
"OTHCARDIAC = 1 (%)","  42265 (  2.5) "," 11364 (  1.3) "," 30900 (  3.8) ","<0.001",""," 0.157"," 11155 (  1.3) "," 26833 (  3.4) ","  209 (  6.5) "," 4067 ( 16.0) ","<0.001",""," 0.307"
"PAD = 1 (%)","    594 (  0.0) ","    25 (  0.0) ","   569 (  0.1) ","<0.001",""," 0.035","    22 (  0.0) ","   311 (  0.0) ","    3 (  0.1) ","  258 (  1.0) ","<0.001",""," 0.082"
"PCI = 1 (%)","    827 (  0.0) ","     3 (  0.0) ","   824 (  0.1) ","<0.001",""," 0.045","     3 (  0.0) ","   621 (  0.1) ","    0 (  0.0) ","  203 (  0.8) ","<0.001",""," 0.074"
"PEDCKD = 1 (%)","  49076 (  2.9) ","  8031 (  0.9) "," 41045 (  5.0) ","<0.001",""," 0.243","  4994 (  0.6) "," 20467 (  2.6) "," 3037 ( 94.1) ","20578 ( 81.2) ","<0.001",""," 2.654"
"PEDCONG = 1 (%)","   8807 (  0.5) ","  6600 (  0.8) ","  2207 (  0.3) ","<0.001",""," 0.069","  6347 (  0.7) ","  1931 (  0.2) ","  253 (  7.8) ","  276 (  1.1) ","<0.001",""," 0.215"
"PHYSICIANF = 1 (%)","1470132 ( 87.4) ","777676 ( 89.9) ","692453 ( 84.8) ","<0.001",""," 0.155","774500 ( 89.9) ","668902 ( 84.5) "," 3176 ( 98.4) ","23551 ( 92.9) ","<0.001",""," 0.280"
"PSYCH = 0 (%)","1681448 (100.0) ","864827 (100.0) ","816618 (100.0) "," NA","","<0.001","861598 (100.0) ","791273 (100.0) "," 3229 (100.0) ","25345 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","  20423 (  1.2) ","   835 (  0.1) "," 19588 (  2.4) ","<0.001",""," 0.209","   751 (  0.1) "," 15593 (  2.0) ","   84 (  2.6) "," 3995 ( 15.8) ","<0.001",""," 0.337"
"RCPNT_DLVRY = 1 (%)","  79379 (  4.7) "," 40899 (  4.7) "," 38479 (  4.7) "," 0.603",""," 0.001"," 40389 (  4.7) "," 37462 (  4.7) ","  510 ( 15.8) "," 1017 (  4.0) ","<0.001",""," 0.203"
"SNF = 0 (%)","1681448 (100.0) ","864827 (100.0) ","816618 (100.0) "," NA","","<0.001","861598 (100.0) ","791273 (100.0) "," 3229 (100.0) ","25345 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","    973 (  0.1) ","    68 (  0.0) ","   905 (  0.1) ","<0.001",""," 0.042","    17 (  0.0) ","   340 (  0.0) ","   51 (  1.6) ","  565 (  2.2) ","<0.001",""," 0.141"
"age (mean (sd))","  23.74 (20.68)","  8.26 (5.17)"," 40.12 (18.17)","<0.001",""," 2.385","  8.27 (5.17)"," 39.77 (18.10)"," 7.05 (5.84)","51.26 (16.57)","<0.001",""," 2.124"
"died = 1 (%)","   9009 (  0.5) ","     1 (  0.0) ","  9008 (  1.1) ","<0.001",""," 0.149","     0 (  0.0) ","  8054 (  1.0) ","    1 (  0.0) ","  954 (  3.8) ","<0.001",""," 0.174"
