"","Overall","[0,5)","[5,11)","[11,14)","[14,19)","[19,22)","p","test","SMD","[0,5):0","[5,11):0","[11,14):0","[14,19):0","[19,22):0","[0,5):1","[5,11):1","[11,14):1","[14,19):1","[19,22):1","p","test","SMD"
"total_elig_months (mean (sd))"," 11.12 (1.93)"," 10.57 (2.38)"," 11.41 (1.59)"," 11.44 (1.55)"," 11.38 (1.63)"," 10.61 (2.26)","<0.001",""," 0.257"," 10.58 (2.38)"," 11.41 (1.59)"," 11.44 (1.55)"," 11.38 (1.64)"," 10.61 (2.26)","10.06 (2.66)","11.60 (1.35)","11.71 (1.18)","11.52 (1.45)","10.84 (2.07)","<0.001",""," 0.326"
"elig_cat (%)","","","","","",""," NaN",""," 0.239","","","","",""," ","  ","  ","  ","  "," NaN",""," 0.317"
"   0 months","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   1-3 months","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   4-6 months"," 59672 (  6.1) "," 25617 ( 11.0) "," 10983 (  3.7) ","  4576 (  3.5) ","  7943 (  4.0) "," 10553 (  9.3) ","","",""," 25397 ( 10.9) "," 10961 (  3.7) ","  4568 (  3.5) ","  7918 (  4.0) "," 10485 (  9.4) ","  220 ( 15.8) ","   22 (  2.8) ","    8 (  2.7) ","   25 (  3.4) ","   68 (  7.5) ","","",""
"   7-9 months"," 83018 (  8.5) "," 29332 ( 12.6) "," 17837 (  6.0) ","  7569 (  5.7) "," 12692 (  6.3) "," 15588 ( 13.8) ","","",""," 29100 ( 12.5) "," 17808 (  6.0) ","  7565 (  5.8) "," 12662 (  6.3) "," 15479 ( 13.8) ","  232 ( 16.7) ","   29 (  3.7) ","    4 (  1.3) ","   30 (  4.0) ","  109 ( 12.1) ","","",""
"   9-12 months","835030 ( 85.4) ","178439 ( 76.5) ","270277 ( 90.4) ","119648 ( 90.8) ","179914 ( 89.7) "," 86752 ( 76.8) ","","","","177499 ( 76.5) ","269537 ( 90.4) ","119359 ( 90.8) ","179224 ( 89.7) "," 86026 ( 76.8) ","  940 ( 67.5) ","  740 ( 93.6) ","  289 ( 96.0) ","  690 ( 92.6) ","  726 ( 80.4) ","","",""
"AKI = 1 (%)","   293 (  0.0) ","    96 (  0.0) ","    20 (  0.0) ","    16 (  0.0) ","    48 (  0.0) ","   113 (  0.1) ","<0.001",""," 0.021","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   96 (  6.9) ","   20 (  2.5) ","   16 (  5.3) ","   48 (  6.4) ","  113 ( 12.5) ","<0.001",""," 0.244"
"ANEMIA = 1 (%)"," 36682 (  3.8) "," 11211 (  4.8) ","  9257 (  3.1) ","  3347 (  2.5) ","  6794 (  3.4) ","  6073 (  5.4) ","<0.001",""," 0.076"," 11078 (  4.8) ","  9187 (  3.1) ","  3320 (  2.5) ","  6677 (  3.3) ","  5865 (  5.2) ","  133 (  9.6) ","   70 (  8.8) ","   27 (  9.0) ","  117 ( 15.7) ","  208 ( 23.0) ","<0.001",""," 0.246"
"ASHD = 1 (%)","   472 (  0.0) ","    34 (  0.0) ","    38 (  0.0) ","    30 (  0.0) ","   170 (  0.1) ","   200 (  0.2) ","<0.001",""," 0.029","    32 (  0.0) ","    37 (  0.0) ","    29 (  0.0) ","   168 (  0.1) ","   188 (  0.2) ","    2 (  0.1) ","    1 (  0.1) ","    1 (  0.3) ","    2 (  0.3) ","   12 (  1.3) ","<0.001",""," 0.058"
"CABG = 1 (%)","     1 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) "," 0.105",""," 0.002","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) "," 0.562",""," 0.001"
"CANCER = 1 (%)","  1708 (  0.2) ","   233 (  0.1) ","   481 (  0.2) ","   210 (  0.2) ","   389 (  0.2) ","   395 (  0.3) ","<0.001",""," 0.023","   198 (  0.1) ","   430 (  0.1) ","   191 (  0.1) ","   359 (  0.2) ","   367 (  0.3) ","   35 (  2.5) ","   51 (  6.4) ","   19 (  6.3) ","   30 (  4.0) ","   28 (  3.1) ","<0.001",""," 0.186"
"CASCEA = 1 (%)","     1 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","     0 (  0.0) "," 0.423",""," 0.001","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) "," 0.918",""," 0.001"
"CHF = 1 (%)","   857 (  0.1) ","   328 (  0.1) ","   146 (  0.0) ","    54 (  0.0) ","   135 (  0.1) ","   194 (  0.2) ","<0.001",""," 0.022","   282 (  0.1) ","   139 (  0.0) ","    50 (  0.0) ","   120 (  0.1) ","   163 (  0.1) ","   46 (  3.3) ","    7 (  0.9) ","    4 (  1.3) ","   15 (  2.0) ","   31 (  3.4) ","<0.001",""," 0.133"
"CKD = 1 (%)","  4132 (  0.4) ","  1392 (  0.6) ","   791 (  0.3) ","   301 (  0.2) ","   745 (  0.4) ","   903 (  0.8) ","<0.001",""," 0.043","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) "," 1392 (100.0) ","  791 (100.0) ","  301 (100.0) ","  745 (100.0) ","  903 (100.0) ","<0.001",""," NaN"
"CKD_STAGE_1 = 1 (%)","    93 (  0.0) ","    15 (  0.0) ","    14 (  0.0) ","    10 (  0.0) ","    23 (  0.0) ","    31 (  0.0) ","<0.001",""," 0.008","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   15 (  1.1) ","   14 (  1.8) ","   10 (  3.3) ","   23 (  3.1) ","   31 (  3.4) ","<0.001",""," 0.143"
"CKD_STAGE_2 = 1 (%)","    73 (  0.0) ","     6 (  0.0) ","    15 (  0.0) ","     8 (  0.0) ","    15 (  0.0) ","    29 (  0.0) ","<0.001",""," 0.009","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    6 (  0.4) ","   15 (  1.9) ","    8 (  2.7) ","   15 (  2.0) ","   29 (  3.2) ","<0.001",""," 0.131"
"CKD_STAGE_3 = 1 (%)","    91 (  0.0) ","    17 (  0.0) ","    16 (  0.0) ","     9 (  0.0) ","    23 (  0.0) ","    26 (  0.0) ","<0.001",""," 0.007","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   17 (  1.2) ","   16 (  2.0) ","    9 (  3.0) ","   23 (  3.1) ","   26 (  2.9) ","<0.001",""," 0.137"
"CKD_STAGE_4 = 1 (%)","    46 (  0.0) ","    10 (  0.0) ","     5 (  0.0) ","     3 (  0.0) ","    18 (  0.0) ","    10 (  0.0) "," 0.001",""," 0.006","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   10 (  0.7) ","    5 (  0.6) ","    3 (  1.0) ","   18 (  2.4) ","   10 (  1.1) ","<0.001",""," 0.098"
"CKD_STAGE_5 = 1 (%)","   126 (  0.0) ","    21 (  0.0) ","    15 (  0.0) ","     7 (  0.0) ","    38 (  0.0) ","    45 (  0.0) ","<0.001",""," 0.012","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   21 (  1.5) ","   15 (  1.9) ","    7 (  2.3) ","   38 (  5.1) ","   45 (  5.0) ","<0.001",""," 0.164"
"CLINIC = 1 (%)","211184 ( 21.6) "," 49796 ( 21.3) "," 87344 ( 29.2) "," 20154 ( 15.3) "," 32332 ( 16.1) "," 21558 ( 19.1) ","<0.001",""," 0.162"," 49463 ( 21.3) "," 87083 ( 29.2) "," 20096 ( 15.3) "," 32178 ( 16.1) "," 21374 ( 19.1) ","  333 ( 23.9) ","  261 ( 33.0) ","   58 ( 19.3) ","  154 ( 20.7) ","  184 ( 20.4) ","<0.001",""," 0.150"
"COPD = 1 (%)"," 79517 (  8.1) "," 19524 (  8.4) "," 27672 (  9.3) "," 10874 (  8.3) "," 14109 (  7.0) ","  7338 (  6.5) ","<0.001",""," 0.051"," 19364 (  8.3) "," 27556 (  9.2) "," 10829 (  8.2) "," 14012 (  7.0) ","  7243 (  6.5) ","  160 ( 11.5) ","  116 ( 14.7) ","   45 ( 15.0) ","   97 ( 13.0) ","   95 ( 10.5) ","<0.001",""," 0.120"
"CVA = 1 (%)","  1383 (  0.1) ","   480 (  0.2) ","   272 (  0.1) ","   117 (  0.1) ","   250 (  0.1) ","   264 (  0.2) ","<0.001",""," 0.021","   433 (  0.2) ","   265 (  0.1) ","   110 (  0.1) ","   243 (  0.1) ","   242 (  0.2) ","   47 (  3.4) ","    7 (  0.9) ","    7 (  2.3) ","    7 (  0.9) ","   22 (  2.4) ","<0.001",""," 0.121"
"CVD_HOSP = 1 (%)"," 10897 (  1.1) ","  5257 (  2.3) ","  2610 (  0.9) ","   821 (  0.6) ","  1327 (  0.7) ","   882 (  0.8) ","<0.001",""," 0.060","  5059 (  2.2) ","  2582 (  0.9) ","   809 (  0.6) ","  1313 (  0.7) ","   847 (  0.8) ","  198 ( 14.2) ","   28 (  3.5) ","   12 (  4.0) ","   14 (  1.9) ","   35 (  3.9) ","<0.001",""," 0.185"
"DIALYSIS = 1 (%)","   130 (  0.0) ","    23 (  0.0) ","    17 (  0.0) ","     8 (  0.0) ","    38 (  0.0) ","    44 (  0.0) ","<0.001",""," 0.012","     1 (  0.0) ","     1 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   22 (  1.6) ","   16 (  2.0) ","    8 (  2.7) ","   38 (  5.1) ","   44 (  4.9) ","<0.001",""," 0.166"
"DM = 1 (%)","  7757 (  0.8) ","   267 (  0.1) ","  1071 (  0.4) ","  1128 (  0.9) ","  2837 (  1.4) ","  2454 (  2.2) ","<0.001",""," 0.106","   261 (  0.1) ","  1056 (  0.4) ","  1111 (  0.8) ","  2768 (  1.4) ","  2350 (  2.1) ","    6 (  0.4) ","   15 (  1.9) ","   17 (  5.6) ","   69 (  9.3) ","  104 ( 11.5) ","<0.001",""," 0.224"
"DYSRHYTH = 1 (%)","  5578 (  0.6) ","  1248 (  0.5) ","  1077 (  0.4) ","   555 (  0.4) ","  1414 (  0.7) ","  1284 (  1.1) ","<0.001",""," 0.044","  1160 (  0.5) ","  1057 (  0.4) ","   548 (  0.4) ","  1388 (  0.7) ","  1227 (  1.1) ","   88 (  6.3) ","   20 (  2.5) ","    7 (  2.3) ","   26 (  3.5) ","   57 (  6.3) ","<0.001",""," 0.162"
"ED = 1 (%)","383943 ( 39.3) ","114840 ( 49.2) ","103709 ( 34.7) "," 39155 ( 29.7) "," 70068 ( 34.9) "," 56171 ( 49.8) ","<0.001",""," 0.226","113972 ( 49.1) ","103288 ( 34.6) "," 38988 ( 29.7) "," 69607 ( 34.8) "," 55476 ( 49.5) ","  868 ( 62.4) ","  421 ( 53.2) ","  167 ( 55.5) ","  461 ( 61.9) ","  695 ( 77.0) ","<0.001",""," 0.366"
"GI = 1 (%)","  3043 (  0.3) ","   890 (  0.4) ","   497 (  0.2) ","   190 (  0.1) ","   660 (  0.3) ","   806 (  0.7) ","<0.001",""," 0.044","   849 (  0.4) ","   488 (  0.2) ","   187 (  0.1) ","   650 (  0.3) ","   782 (  0.7) ","   41 (  2.9) ","    9 (  1.1) ","    3 (  1.0) ","   10 (  1.3) ","   24 (  2.7) ","<0.001",""," 0.104"
"HOMEHEALTH = 1 (%)","  3950 (  0.4) ","  2652 (  1.1) ","   373 (  0.1) ","   139 (  0.1) ","   349 (  0.2) ","   437 (  0.4) ","<0.001",""," 0.065","  2479 (  1.1) ","   361 (  0.1) ","   131 (  0.1) ","   325 (  0.2) ","   394 (  0.4) ","  173 ( 12.4) ","   12 (  1.5) ","    8 (  2.7) ","   24 (  3.2) ","   43 (  4.8) ","<0.001",""," 0.207"
"HTN = 1 (%)","  6784 (  0.7) ","   355 (  0.2) ","   656 (  0.2) ","   651 (  0.5) ","  2357 (  1.2) ","  2765 (  2.4) ","<0.001",""," 0.110","   258 (  0.1) ","   585 (  0.2) ","   588 (  0.4) ","  2186 (  1.1) ","  2585 (  2.3) ","   97 (  7.0) ","   71 (  9.0) ","   63 ( 20.9) ","  171 ( 23.0) ","  180 ( 19.9) ","<0.001",""," 0.390"
"ICDCRTD = 1 (%)","     5 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","     0 (  0.0) ","     2 (  0.0) ","     2 (  0.0) "," 0.166",""," 0.004","     0 (  0.0) ","     1 (  0.0) ","     0 (  0.0) ","     2 (  0.0) ","     2 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) "," 0.683",""," 0.002"
"INF_HOSP = 1 (%)","379529 ( 38.8) ","116144 ( 49.8) ","114865 ( 38.4) "," 38032 ( 28.9) "," 63986 ( 31.9) "," 46502 ( 41.2) ","<0.001",""," 0.213","115205 ( 49.7) ","114315 ( 38.3) "," 37847 ( 28.8) "," 63513 ( 31.8) "," 45873 ( 41.0) ","  939 ( 67.5) ","  550 ( 69.5) ","  185 ( 61.5) ","  473 ( 63.5) ","  629 ( 69.7) ","<0.001",""," 0.402"
"LABXRAY = 1 (%)","632755 ( 64.7) ","154952 ( 66.4) ","177883 ( 59.5) "," 77378 ( 58.7) ","135764 ( 67.7) "," 86778 ( 76.9) ","<0.001",""," 0.192","153585 ( 66.2) ","177104 ( 59.4) "," 77081 ( 58.6) ","135027 ( 67.6) "," 85890 ( 76.7) "," 1367 ( 98.2) ","  779 ( 98.5) ","  297 ( 98.7) ","  737 ( 98.9) ","  888 ( 98.3) ","<0.001",""," 0.577"
"LIVERDIS = 1 (%)","  1251 (  0.1) ","   123 (  0.1) ","   156 (  0.1) ","   151 (  0.1) ","   383 (  0.2) ","   438 (  0.4) ","<0.001",""," 0.038","    98 (  0.0) ","   150 (  0.1) ","   145 (  0.1) ","   364 (  0.2) ","   420 (  0.4) ","   25 (  1.8) ","    6 (  0.8) ","    6 (  2.0) ","   19 (  2.6) ","   18 (  2.0) ","<0.001",""," 0.114"
"NONKIDNEYTX = 1 (%)","   235 (  0.0) ","    42 (  0.0) ","    75 (  0.0) ","    44 (  0.0) ","    44 (  0.0) ","    30 (  0.0) "," 0.058",""," 0.004","    29 (  0.0) ","    66 (  0.0) ","    38 (  0.0) ","    33 (  0.0) ","    20 (  0.0) ","   13 (  0.9) ","    9 (  1.1) ","    6 (  2.0) ","   11 (  1.5) ","   10 (  1.1) ","<0.001",""," 0.099"
"NONPEDCONG = 1 (%)","  4279 (  0.4) ","  1228 (  0.5) ","   629 (  0.2) ","   270 (  0.2) ","   991 (  0.5) ","  1161 (  1.0) ","<0.001",""," 0.054","  1126 (  0.5) ","   610 (  0.2) ","   258 (  0.2) ","   950 (  0.5) ","  1087 (  1.0) ","  102 (  7.3) ","   19 (  2.4) ","   12 (  4.0) ","   41 (  5.5) ","   74 (  8.2) ","<0.001",""," 0.203"
"OPHOSPITAL = 1 (%)","444363 ( 45.4) ","128020 ( 54.9) ","125146 ( 41.8) "," 47670 ( 36.2) "," 81933 ( 40.9) "," 61594 ( 54.6) ","<0.001",""," 0.208","126906 ( 54.7) ","124548 ( 41.8) "," 47438 ( 36.1) "," 81316 ( 40.7) "," 60803 ( 54.3) "," 1114 ( 80.0) ","  598 ( 75.6) ","  232 ( 77.1) ","  617 ( 82.8) ","  791 ( 87.6) ","<0.001",""," 0.522"
"OTHCARDIAC = 1 (%)"," 13882 (  1.4) ","  4653 (  2.0) ","  3003 (  1.0) ","  1088 (  0.8) ","  2620 (  1.3) ","  2518 (  2.2) ","<0.001",""," 0.063","  4532 (  2.0) ","  2980 (  1.0) ","  1069 (  0.8) ","  2574 (  1.3) ","  2436 (  2.2) ","  121 (  8.7) ","   23 (  2.9) ","   19 (  6.3) ","   46 (  6.2) ","   82 (  9.1) ","<0.001",""," 0.185"
"PAD = 1 (%)","    32 (  0.0) ","    10 (  0.0) ","     4 (  0.0) ","     1 (  0.0) ","    10 (  0.0) ","     7 (  0.0) "," 0.022",""," 0.005","     9 (  0.0) ","     4 (  0.0) ","     1 (  0.0) ","     8 (  0.0) ","     7 (  0.0) ","    1 (  0.1) ","    0 (  0.0) ","    0 (  0.0) ","    2 (  0.3) ","    0 (  0.0) ","<0.001",""," 0.024"
"PCI = 1 (%)","     3 (  0.0) ","     1 (  0.0) ","     2 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) "," 0.600",""," 0.002","     1 (  0.0) ","     2 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) "," 0.973",""," 0.001"
"PEDCKD = 1 (%)"," 10107 (  1.0) ","  2176 (  0.9) ","  2241 (  0.7) ","  1084 (  0.8) ","  2530 (  1.3) ","  2076 (  1.8) ","<0.001",""," 0.048","   853 (  0.4) ","  1481 (  0.5) ","   801 (  0.6) ","  1859 (  0.9) ","  1342 (  1.2) "," 1323 ( 95.0) ","  760 ( 96.1) ","  283 ( 94.0) ","  671 ( 90.1) ","  734 ( 81.3) ","<0.001",""," 2.761"
"PEDCONG = 1 (%)","  6953 (  0.7) ","  3900 (  1.7) ","  1478 (  0.5) ","   515 (  0.4) ","   707 (  0.4) ","   353 (  0.3) ","<0.001",""," 0.060","  3698 (  1.6) ","  1452 (  0.5) ","   508 (  0.4) ","   689 (  0.3) ","   331 (  0.3) ","  202 ( 14.5) ","   26 (  3.3) ","    7 (  2.3) ","   18 (  2.4) ","   22 (  2.4) ","<0.001",""," 0.188"
"PHYSICIANF = 1 (%)","876361 ( 89.6) ","221857 ( 95.1) ","264840 ( 88.5) ","115450 ( 87.6) ","175529 ( 87.5) "," 98685 ( 87.4) ","<0.001",""," 0.116","220478 ( 95.0) ","264072 ( 88.5) ","115152 ( 87.6) ","174798 ( 87.5) "," 97803 ( 87.3) "," 1379 ( 99.1) ","  768 ( 97.1) ","  298 ( 99.0) ","  731 ( 98.1) ","  882 ( 97.7) ","<0.001",""," 0.250"
"PSYCH = 0 (%)","977720 (100.0) ","233388 (100.0) ","299097 (100.0) ","131793 (100.0) ","200549 (100.0) ","112893 (100.0) "," NA","","<0.001","231996 (100.0) ","298306 (100.0) ","131492 (100.0) ","199804 (100.0) ","111990 (100.0) "," 1392 (100.0) ","  791 (100.0) ","  301 (100.0) ","  745 (100.0) ","  903 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","  1148 (  0.1) ","   264 (  0.1) ","   147 (  0.0) ","    95 (  0.1) ","   329 (  0.2) ","   313 (  0.3) ","<0.001",""," 0.029","   214 (  0.1) ","   139 (  0.0) ","    89 (  0.1) ","   309 (  0.2) ","   295 (  0.3) ","   50 (  3.6) ","    8 (  1.0) ","    6 (  2.0) ","   20 (  2.7) ","   18 (  2.0) ","<0.001",""," 0.131"
"RCPNT_DLVRY = 1 (%)"," 48626 (  5.0) "," 39480 ( 16.9) ","     1 (  0.0) ","     5 (  0.0) ","  1413 (  0.7) ","  7727 (  6.8) ","<0.001",""," 0.353"," 39007 ( 16.8) ","     1 (  0.0) ","     5 (  0.0) ","  1376 (  0.7) ","  7523 (  6.7) ","  473 ( 34.0) ","    0 (  0.0) ","    0 (  0.0) ","   37 (  5.0) ","  204 ( 22.6) ","<0.001",""," 0.443"
"SNF = 0 (%)","977720 (100.0) ","233388 (100.0) ","299097 (100.0) ","131793 (100.0) ","200549 (100.0) ","112893 (100.0) "," NA","","<0.001","231996 (100.0) ","298306 (100.0) ","131492 (100.0) ","199804 (100.0) ","111990 (100.0) "," 1392 (100.0) ","  791 (100.0) ","  301 (100.0) ","  745 (100.0) ","  903 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","   110 (  0.0) ","     5 (  0.0) ","    19 (  0.0) ","    10 (  0.0) ","    34 (  0.0) ","    42 (  0.0) ","<0.001",""," 0.013","     4 (  0.0) ","     6 (  0.0) ","     3 (  0.0) ","     4 (  0.0) ","     9 (  0.0) ","    1 (  0.1) ","   13 (  1.6) ","    7 (  2.3) ","   30 (  4.0) ","   33 (  3.7) ","<0.001",""," 0.144"
"age (mean (sd))","  9.55 (6.04)","  2.06 (1.08)","  6.84 (1.73)"," 11.49 (0.86)"," 15.49 (1.45)"," 19.45 (0.86)","<0.001",""," 7.531","  2.06 (1.07)","  6.84 (1.73)"," 11.49 (0.86)"," 15.49 (1.45)"," 19.45 (0.86)"," 1.60 (1.05)"," 6.71 (1.75)","11.45 (0.90)","15.81 (1.47)","19.63 (0.86)","<0.001",""," 6.836"
"died = 1 (%)","     3 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","     2 (  0.0) "," 0.038",""," 0.003","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    1 (  0.1) ","    1 (  0.1) ","<0.001",""," 0.018"
