"","Overall","[0,5)","[5,11)","[11,14)","[14,19)","[19,22)","p","test","SMD","[0,5):0","[5,11):0","[11,14):0","[14,19):0","[19,22):0","[0,5):1","[5,11):1","[11,14):1","[14,19):1","[19,22):1","p","test","SMD"
"elig_cat (%)","   ","   ","   ","   ","   ","   "," NaN",""," 0.245","   ","   ","   ","   ","    ","     ","      ","      ","      ","      "," NaN",""," 0.274"
"   0 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   1-3 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   4-6 months","    51844 (  5.7) ","    19027 (  8.7) ","    10417 (  3.7) ","     4052 (  3.4) ","     7750 (  4.1) ","    10598 ( 10.6) ","","","","    18898 (  8.7) ","    10406 (  3.7) ","     4047 (  3.4) ","     7722 (  4.1) ","    10534 ( 10.6) ","      129 ( 11.8) ","       11 (  1.5) ","        5 (  1.8) ","       28 (  4.4) ","       64 (  8.2) ","","",""
"   7-9 months","    77239 (  8.5) ","    27982 ( 12.8) ","    16417 (  5.8) ","     6507 (  5.5) ","    11748 (  6.2) ","    14585 ( 14.5) ","","","","    27826 ( 12.8) ","    16388 (  5.8) ","     6496 (  5.5) ","    11718 (  6.3) ","    14491 ( 14.6) ","      156 ( 14.2) ","       29 (  3.9) ","       11 (  4.0) ","       30 (  4.8) ","       94 ( 12.1) ","","",""
"   9-12 months","   779013 ( 85.8) ","   171861 ( 78.5) ","   255242 ( 90.5) ","   108163 ( 91.1) ","   168589 ( 89.6) ","    75158 ( 74.9) ","","","","   171049 ( 78.5) ","   254540 ( 90.5) ","   107906 ( 91.1) ","   168016 ( 89.6) ","    74536 ( 74.9) ","      812 ( 74.0) ","      702 ( 94.6) ","      257 ( 94.1) ","      573 ( 90.8) ","      622 ( 79.7) ","","",""
"AKI = 1 (%)","      213 (  0.0) ","       56 (  0.0) ","       37 (  0.0) ","       10 (  0.0) ","       36 (  0.0) ","       74 (  0.1) ","<0.001",""," 0.015","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","       56 (  5.1) ","       37 (  5.0) ","       10 (  3.7) ","       36 (  5.7) ","       74 (  9.5) ","<0.001",""," 0.215"
"ANEMIA = 1 (%)","    35834 (  3.9) ","    11453 (  5.2) ","     9426 (  3.3) ","     3205 (  2.7) ","     6724 (  3.6) ","     5026 (  5.0) ","<0.001",""," 0.069","    11332 (  5.2) ","     9345 (  3.3) ","     3181 (  2.7) ","     6623 (  3.5) ","     4857 (  4.9) ","      121 ( 11.0) ","       81 ( 10.9) ","       24 (  8.8) ","      101 ( 16.0) ","      169 ( 21.7) ","<0.001",""," 0.244"
"ASHD = 1 (%)","      430 (  0.0) ","       21 (  0.0) ","       38 (  0.0) ","       26 (  0.0) ","      157 (  0.1) ","      188 (  0.2) ","<0.001",""," 0.030","       20 (  0.0) ","       38 (  0.0) ","       25 (  0.0) ","      154 (  0.1) ","      177 (  0.2) ","        1 (  0.1) ","        0 (  0.0) ","        1 (  0.4) ","        3 (  0.5) ","       11 (  1.4) ","<0.001",""," 0.067"
"CABG = 1 (%)","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) "," 0.430",""," 0.001","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.921",""," 0.001"
"CANCER = 1 (%)","     1539 (  0.2) ","      208 (  0.1) ","      403 (  0.1) ","      174 (  0.1) ","      367 (  0.2) ","      387 (  0.4) ","<0.001",""," 0.027","      180 (  0.1) ","      352 (  0.1) ","      158 (  0.1) ","      337 (  0.2) ","      361 (  0.4) ","       28 (  2.6) ","       51 (  6.9) ","       16 (  5.9) ","       30 (  4.8) ","       26 (  3.3) ","<0.001",""," 0.191"
"CASCEA = 1 (%)","        1 (  0.0) ","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.695",""," 0.001","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.1) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","<0.001",""," 0.010"
"CHF = 1 (%)","      820 (  0.1) ","      283 (  0.1) ","      146 (  0.1) ","       68 (  0.1) ","      154 (  0.1) ","      169 (  0.2) ","<0.001",""," 0.019","      247 (  0.1) ","      134 (  0.0) ","       64 (  0.1) ","      139 (  0.1) ","      144 (  0.1) ","       36 (  3.3) ","       12 (  1.6) ","        4 (  1.5) ","       15 (  2.4) ","       25 (  3.2) ","<0.001",""," 0.134"
"CKD = 1 (%)","     3523 (  0.4) ","     1097 (  0.5) ","      742 (  0.3) ","      273 (  0.2) ","      631 (  0.3) ","      780 (  0.8) ","<0.001",""," 0.039","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","     1097 (100.0) ","      742 (100.0) ","      273 (100.0) ","      631 (100.0) ","      780 (100.0) ","<0.001",""," NaN"
"CKD_STAGE_1 = 1 (%)","       60 (  0.0) ","        9 (  0.0) ","       13 (  0.0) ","        3 (  0.0) ","       17 (  0.0) ","       18 (  0.0) ","<0.001",""," 0.008","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        9 (  0.8) ","       13 (  1.8) ","        3 (  1.1) ","       17 (  2.7) ","       18 (  2.3) ","<0.001",""," 0.119"
"CKD_STAGE_2 = 1 (%)","       71 (  0.0) ","        6 (  0.0) ","       17 (  0.0) ","        5 (  0.0) ","       19 (  0.0) ","       24 (  0.0) ","<0.001",""," 0.009","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        6 (  0.5) ","       17 (  2.3) ","        5 (  1.8) ","       19 (  3.0) ","       24 (  3.1) ","<0.001",""," 0.134"
"CKD_STAGE_3 = 1 (%)","       77 (  0.0) ","       10 (  0.0) ","       12 (  0.0) ","        6 (  0.0) ","       18 (  0.0) ","       31 (  0.0) ","<0.001",""," 0.009","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","       10 (  0.9) ","       12 (  1.6) ","        6 (  2.2) ","       18 (  2.9) ","       31 (  4.0) ","<0.001",""," 0.140"
"CKD_STAGE_4 = 1 (%)","       32 (  0.0) ","        5 (  0.0) ","        5 (  0.0) ","        2 (  0.0) ","       12 (  0.0) ","        8 (  0.0) "," 0.006",""," 0.005","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        5 (  0.5) ","        5 (  0.7) ","        2 (  0.7) ","       12 (  1.9) ","        8 (  1.0) ","<0.001",""," 0.089"
"CKD_STAGE_5 = 1 (%)","      121 (  0.0) ","        6 (  0.0) ","       18 (  0.0) ","       11 (  0.0) ","       41 (  0.0) ","       45 (  0.0) ","<0.001",""," 0.014","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        6 (  0.5) ","       18 (  2.4) ","       11 (  4.0) ","       41 (  6.5) ","       45 (  5.8) ","<0.001",""," 0.187"
"CLINIC = 1 (%)","   206656 ( 22.8) ","    56586 ( 25.9) ","    78201 ( 27.7) ","    17534 ( 14.8) ","    31533 ( 16.8) ","    22802 ( 22.7) ","<0.001",""," 0.173","    56204 ( 25.8) ","    77997 ( 27.7) ","    17482 ( 14.8) ","    31394 ( 16.7) ","    22566 ( 22.7) ","      382 ( 34.8) ","      204 ( 27.5) ","       52 ( 19.0) ","      139 ( 22.0) ","      236 ( 30.3) ","<0.001",""," 0.178"
"COPD = 1 (%)","    73181 (  8.1) ","    18457 (  8.4) ","    25372 (  9.0) ","    10007 (  8.4) ","    13049 (  6.9) ","     6296 (  6.3) ","<0.001",""," 0.052","    18317 (  8.4) ","    25265 (  9.0) ","     9977 (  8.4) ","    12957 (  6.9) ","     6208 (  6.2) ","      140 ( 12.8) ","      107 ( 14.4) ","       30 ( 11.0) ","       92 ( 14.6) ","       88 ( 11.3) ","<0.001",""," 0.117"
"CVA = 1 (%)","     1172 (  0.1) ","      350 (  0.2) ","      230 (  0.1) ","      104 (  0.1) ","      263 (  0.1) ","      225 (  0.2) ","<0.001",""," 0.019","      333 (  0.2) ","      217 (  0.1) ","       99 (  0.1) ","      250 (  0.1) ","      211 (  0.2) ","       17 (  1.5) ","       13 (  1.8) ","        5 (  1.8) ","       13 (  2.1) ","       14 (  1.8) ","<0.001",""," 0.103"
"CVD_HOSP = 1 (%)","     9811 (  1.1) ","     4609 (  2.1) ","     2395 (  0.8) ","      720 (  0.6) ","     1281 (  0.7) ","      806 (  0.8) ","<0.001",""," 0.056","     4459 (  2.0) ","     2365 (  0.8) ","      710 (  0.6) ","     1256 (  0.7) ","      773 (  0.8) ","      150 ( 13.7) ","       30 (  4.0) ","       10 (  3.7) ","       25 (  4.0) ","       33 (  4.2) ","<0.001",""," 0.188"
"DIALYSIS = 1 (%)","      123 (  0.0) ","        8 (  0.0) ","       18 (  0.0) ","       12 (  0.0) ","       41 (  0.0) ","       44 (  0.0) ","<0.001",""," 0.014","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.0) ","        7 (  0.6) ","       18 (  2.4) ","       12 (  4.4) ","       41 (  6.5) ","       43 (  5.5) ","<0.001",""," 0.187"
"DM = 1 (%)","     7273 (  0.8) ","      237 (  0.1) ","     1106 (  0.4) ","     1092 (  0.9) ","     2680 (  1.4) ","     2158 (  2.2) ","<0.001",""," 0.105","      232 (  0.1) ","     1092 (  0.4) ","     1076 (  0.9) ","     2627 (  1.4) ","     2059 (  2.1) ","        5 (  0.5) ","       14 (  1.9) ","       16 (  5.9) ","       53 (  8.4) ","       99 ( 12.7) ","<0.001",""," 0.226"
"DYSRHYTH = 1 (%)","     4916 (  0.5) ","     1056 (  0.5) ","      974 (  0.3) ","      483 (  0.4) ","     1287 (  0.7) ","     1116 (  1.1) ","<0.001",""," 0.044","      999 (  0.5) ","      949 (  0.3) ","      478 (  0.4) ","     1264 (  0.7) ","     1068 (  1.1) ","       57 (  5.2) ","       25 (  3.4) ","        5 (  1.8) ","       23 (  3.6) ","       48 (  6.2) ","<0.001",""," 0.158"
"ED = 1 (%)","   375526 ( 41.4) ","   112592 ( 51.4) ","   105183 ( 37.3) ","    38658 ( 32.6) ","    68780 ( 36.6) ","    50313 ( 50.1) ","<0.001",""," 0.211","   111898 ( 51.4) ","   104757 ( 37.2) ","    38508 ( 32.5) ","    68358 ( 36.5) ","    49714 ( 49.9) ","      694 ( 63.3) ","      426 ( 57.4) ","      150 ( 54.9) ","      422 ( 66.9) ","      599 ( 76.8) ","<0.001",""," 0.360"
"GI = 1 (%)","     2762 (  0.3) ","      818 (  0.4) ","      438 (  0.2) ","      211 (  0.2) ","      557 (  0.3) ","      738 (  0.7) ","<0.001",""," 0.043","      796 (  0.4) ","      425 (  0.2) ","      208 (  0.2) ","      541 (  0.3) ","      710 (  0.7) ","       22 (  2.0) ","       13 (  1.8) ","        3 (  1.1) ","       16 (  2.5) ","       28 (  3.6) ","<0.001",""," 0.117"
"HOMEHEALTH = 1 (%)","     3850 (  0.4) ","     2422 (  1.1) ","      409 (  0.1) ","      191 (  0.2) ","      350 (  0.2) ","      478 (  0.5) ","<0.001",""," 0.061","     2312 (  1.1) ","      370 (  0.1) ","      181 (  0.2) ","      322 (  0.2) ","      442 (  0.4) ","      110 ( 10.0) ","       39 (  5.3) ","       10 (  3.7) ","       28 (  4.4) ","       36 (  4.6) ","<0.001",""," 0.207"
"HTN = 1 (%)","     6392 (  0.7) ","      309 (  0.1) ","      716 (  0.3) ","      668 (  0.6) ","     2284 (  1.2) ","     2415 (  2.4) ","<0.001",""," 0.109","      252 (  0.1) ","      635 (  0.2) ","      607 (  0.5) ","     2112 (  1.1) ","     2270 (  2.3) ","       57 (  5.2) ","       81 ( 10.9) ","       61 ( 22.3) ","      172 ( 27.3) ","      145 ( 18.6) ","<0.001",""," 0.412"
"ICDCRTD = 1 (%)","        2 (  0.0) ","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) "," 0.731",""," 0.002","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.991",""," 0.001"
"INF_HOSP = 1 (%)","   382562 ( 42.1) ","   113504 ( 51.9) ","   118409 ( 42.0) ","    40396 ( 34.0) ","    66835 ( 35.5) ","    43418 ( 43.3) ","<0.001",""," 0.178","   112725 ( 51.8) ","   117884 ( 41.9) ","    40234 ( 34.0) ","    66414 ( 35.4) ","    42865 ( 43.1) ","      779 ( 71.0) ","      525 ( 70.8) ","      162 ( 59.3) ","      421 ( 66.7) ","      553 ( 70.9) ","<0.001",""," 0.376"
"LABXRAY = 1 (%)","   605368 ( 66.7) ","   154291 ( 70.5) ","   170959 ( 60.6) ","    72287 ( 60.9) ","   129584 ( 68.9) ","    78247 ( 78.0) ","<0.001",""," 0.194","   153204 ( 70.4) ","   170234 ( 60.5) ","    72017 ( 60.8) ","   128961 ( 68.8) ","    77481 ( 77.8) ","     1087 ( 99.1) ","      725 ( 97.7) ","      270 ( 98.9) ","      623 ( 98.7) ","      766 ( 98.2) ","<0.001",""," 0.559"
"LIVERDIS = 1 (%)","     1273 (  0.1) ","      118 (  0.1) ","      169 (  0.1) ","      133 (  0.1) ","      414 (  0.2) ","      439 (  0.4) ","<0.001",""," 0.041","      104 (  0.0) ","      156 (  0.1) ","      126 (  0.1) ","      401 (  0.2) ","      421 (  0.4) ","       14 (  1.3) ","       13 (  1.8) ","        7 (  2.6) ","       13 (  2.1) ","       18 (  2.3) ","<0.001",""," 0.117"
"NONKIDNEYTX = 1 (%)","      226 (  0.0) ","       41 (  0.0) ","       79 (  0.0) ","       36 (  0.0) ","       37 (  0.0) ","       33 (  0.0) "," 0.033",""," 0.005","       33 (  0.0) ","       65 (  0.0) ","       33 (  0.0) ","       33 (  0.0) ","       24 (  0.0) ","        8 (  0.7) ","       14 (  1.9) ","        3 (  1.1) ","        4 (  0.6) ","        9 (  1.2) ","<0.001",""," 0.092"
"NONPEDCONG = 1 (%)","     3632 (  0.4) ","      919 (  0.4) ","      552 (  0.2) ","      249 (  0.2) ","      947 (  0.5) ","      965 (  1.0) ","<0.001",""," 0.051","      857 (  0.4) ","      525 (  0.2) ","      236 (  0.2) ","      908 (  0.5) ","      913 (  0.9) ","       62 (  5.7) ","       27 (  3.6) ","       13 (  4.8) ","       39 (  6.2) ","       52 (  6.7) ","<0.001",""," 0.191"
"OPHOSPITAL = 1 (%)","   425597 ( 46.9) ","   122877 ( 56.1) ","   122632 ( 43.5) ","    45628 ( 38.4) ","    78797 ( 41.9) ","    55663 ( 55.5) ","<0.001",""," 0.199","   121954 ( 56.0) ","   122044 ( 43.4) ","    45404 ( 38.3) ","    78251 ( 41.7) ","    54978 ( 55.2) ","      923 ( 84.1) ","      588 ( 79.2) ","      224 ( 82.1) ","      546 ( 86.5) ","      685 ( 87.8) ","<0.001",""," 0.546"
"OTHCARDIAC = 1 (%)","    12408 (  1.4) ","     4006 (  1.8) ","     2732 (  1.0) ","      983 (  0.8) ","     2533 (  1.3) ","     2154 (  2.1) ","<0.001",""," 0.059","     3902 (  1.8) ","     2700 (  1.0) ","      966 (  0.8) ","     2488 (  1.3) ","     2085 (  2.1) ","      104 (  9.5) ","       32 (  4.3) ","       17 (  6.2) ","       45 (  7.1) ","       69 (  8.8) ","<0.001",""," 0.194"
"PAD = 1 (%)","       20 (  0.0) ","        7 (  0.0) ","        3 (  0.0) ","        0 (  0.0) ","        4 (  0.0) ","        6 (  0.0) "," 0.019",""," 0.006","        7 (  0.0) ","        2 (  0.0) ","        0 (  0.0) ","        3 (  0.0) ","        5 (  0.0) ","        0 (  0.0) ","        1 (  0.1) ","        0 (  0.0) ","        1 (  0.2) ","        1 (  0.1) ","<0.001",""," 0.027"
"PCI = 1 (%)","        3 (  0.0) ","        3 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.051",""," 0.002","        3 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.392",""," 0.001"
"PEDCKD = 1 (%)","     8900 (  1.0) ","     1860 (  0.8) ","     2152 (  0.8) ","      928 (  0.8) ","     2175 (  1.2) ","     1785 (  1.8) ","<0.001",""," 0.044","      804 (  0.4) ","     1445 (  0.5) ","      678 (  0.6) ","     1602 (  0.9) ","     1164 (  1.2) ","     1056 ( 96.3) ","      707 ( 95.3) ","      250 ( 91.6) ","      573 ( 90.8) ","      621 ( 79.6) ","<0.001",""," 2.711"
"PEDCONG = 1 (%)","     5615 (  0.6) ","     3053 (  1.4) ","     1231 (  0.4) ","      425 (  0.4) ","      601 (  0.3) ","      305 (  0.3) ","<0.001",""," 0.052","     2910 (  1.3) ","     1211 (  0.4) ","      419 (  0.4) ","      578 (  0.3) ","      286 (  0.3) ","      143 ( 13.0) ","       20 (  2.7) ","        6 (  2.2) ","       23 (  3.6) ","       19 (  2.4) ","<0.001",""," 0.187"
"PHYSICIANF = 1 (%)","   820181 ( 90.3) ","   208723 ( 95.4) ","   252210 ( 89.4) ","   104975 ( 88.4) ","   166113 ( 88.3) ","    88160 ( 87.9) ","<0.001",""," 0.117","   207632 ( 95.3) ","   251484 ( 89.4) ","   104711 ( 88.4) ","   165493 ( 88.3) ","    87391 ( 87.8) ","     1091 ( 99.5) ","      726 ( 97.8) ","      264 ( 96.7) ","      620 ( 98.3) ","      769 ( 98.6) ","<0.001",""," 0.242"
"PSYCH = 0 (%)","   908096 (100.0) ","   218870 (100.0) ","   282076 (100.0) ","   118722 (100.0) ","   188087 (100.0) ","   100341 (100.0) "," NA","","<0.001","   217773 (100.0) ","   281334 (100.0) ","   118449 (100.0) ","   187456 (100.0) ","    99561 (100.0) ","     1097 (100.0) ","      742 (100.0) ","      273 (100.0) ","      631 (100.0) ","      780 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","      918 (  0.1) ","      205 (  0.1) ","       94 (  0.0) ","       85 (  0.1) ","      266 (  0.1) ","      268 (  0.3) ","<0.001",""," 0.030","      174 (  0.1) ","       85 (  0.0) ","       79 (  0.1) ","      247 (  0.1) ","      245 (  0.2) ","       31 (  2.8) ","        9 (  1.2) ","        6 (  2.2) ","       19 (  3.0) ","       23 (  2.9) ","<0.001",""," 0.134"
"RCPNT_DLVRY = 1 (%)","    21818 (  2.4) ","    18581 (  8.5) ","        1 (  0.0) ","        3 (  0.0) ","      456 (  0.2) ","     2777 (  2.8) ","<0.001",""," 0.235","    18386 (  8.4) ","        1 (  0.0) ","        3 (  0.0) ","      447 (  0.2) ","     2720 (  2.7) ","      195 ( 17.8) ","        0 (  0.0) ","        0 (  0.0) ","        9 (  1.4) ","       57 (  7.3) ","<0.001",""," 0.279"
"SNF = 0 (%)","   908096 (100.0) ","   218870 (100.0) ","   282076 (100.0) ","   118722 (100.0) ","   188087 (100.0) ","   100341 (100.0) "," NA","","<0.001","   217773 (100.0) ","   281334 (100.0) ","   118449 (100.0) ","   187456 (100.0) ","    99561 (100.0) ","     1097 (100.0) ","      742 (100.0) ","      273 (100.0) ","      631 (100.0) ","      780 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","      109 (  0.0) ","        3 (  0.0) ","       20 (  0.0) ","       15 (  0.0) ","       34 (  0.0) ","       37 (  0.0) ","<0.001",""," 0.013","        1 (  0.0) ","       10 (  0.0) ","        6 (  0.0) ","        5 (  0.0) ","        8 (  0.0) ","        2 (  0.2) ","       10 (  1.3) ","        9 (  3.3) ","       29 (  4.6) ","       29 (  3.7) ","<0.001",""," 0.154"
"age (mean (sd))","-54709.07 (164.34)","-54912.08 (28.89)","-54780.96 (46.75)","-54654.54 (22.37)","-54544.33 (38.69)","-54437.49 (22.18)","<0.001",""," 7.752","-54912.02 (28.88)","-54780.95 (46.75)","-54654.54 (22.37)","-54544.36 (38.69)","-54437.53 (22.18)","-54923.07 (27.95)","-54785.00 (46.68)","-54653.47 (23.01)","-54536.01 (38.11)","-54432.53 (22.27)","<0.001",""," 7.065"
"died = 0 (%)","   908096 (100.0) ","   218870 (100.0) ","   282076 (100.0) ","   118722 (100.0) ","   188087 (100.0) ","   100341 (100.0) "," NA","","<0.001","   217773 (100.0) ","   281334 (100.0) ","   118449 (100.0) ","   187456 (100.0) ","    99561 (100.0) ","     1097 (100.0) ","      742 (100.0) ","      273 (100.0) ","      631 (100.0) ","      780 (100.0) "," NA","","<0.001"
