"","Overall","0","1","p","test","SMD","White","Black","Native American","Asian or PI","Hispanic","NA.","p","test","SMD"
"elig_cat (%)","  ","  ","    "," NaN",""," 0.088","  ","   ","    ","    ","   ","    "," NaN",""," 0.091"
"   0 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   1-3 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   4-6 months","   198738 ( 10.2) ","   114525 (  7.3) ","     2501 (  9.8) ","","","","   123373 ( 10.8) ","    51447 (  8.4) ","     1263 ( 11.5) ","     3211 ( 10.6) ","    13826 ( 12.9) ","     5618 ( 13.9) ","","",""
"   7-9 months","   236813 ( 12.2) ","   168190 ( 10.8) ","     2736 ( 10.7) ","","","","   144969 ( 12.7) ","    66937 ( 11.0) ","     1388 ( 12.7) ","     3745 ( 12.4) ","    13822 ( 12.9) ","     5952 ( 14.7) ","","",""
"   9-12 months","  1508166 ( 77.6) ","  1276428 ( 81.9) ","    20311 ( 79.5) ","","","","   877239 ( 76.6) ","   490954 ( 80.6) ","     8301 ( 75.8) ","    23321 ( 77.0) ","    79404 ( 74.2) ","    28947 ( 71.4) ","","",""
"AKI = 1 (%)","     3341 (  0.2) ","        0 (  0.0) ","     3341 ( 13.1) ","<0.001",""," 0.549","     1685 (  0.2) ","     1409 (  0.3) ","       17 (  0.2) ","       41 (  0.2) ","       77 (  0.1) ","      112 (  0.4) ","<0.001",""," 0.024"
"ANEMIA = 1 (%)","    90080 (  5.7) ","    79409 (  5.1) ","    10671 ( 41.8) ","<0.001",""," 0.961","    41896 (  4.4) ","    39669 (  8.0) ","      323 (  3.6) ","     1868 (  7.9) ","     4547 (  5.5) ","     1777 (  5.6) ","<0.001",""," 0.094"
"ASHD = 1 (%)","    31179 (  2.0) ","    26547 (  1.7) ","     4632 ( 18.1) ","<0.001",""," 0.572","    18801 (  2.0) ","    10418 (  2.1) ","      151 (  1.7) ","      651 (  2.8) ","      552 (  0.7) ","      606 (  1.9) ","<0.001",""," 0.062"
"CABG = 1 (%)","      192 (  0.0) ","      128 (  0.0) ","       64 (  0.3) ","<0.001",""," 0.067","      144 (  0.0) ","       29 (  0.0) ","        2 (  0.0) ","        3 (  0.0) ","        4 (  0.0) ","       10 (  0.0) ","<0.001",""," 0.010"
"CANCER = 1 (%)","    19949 (  1.3) ","    17749 (  1.1) ","     2200 (  8.6) ","<0.001",""," 0.352","    12335 (  1.3) ","     6288 (  1.3) ","       82 (  0.9) ","      328 (  1.4) ","      428 (  0.5) ","      488 (  1.5) ","<0.001",""," 0.043"
"CASCEA = 1 (%)","       96 (  0.0) ","       75 (  0.0) ","       21 (  0.1) ","<0.001",""," 0.037","       75 (  0.0) ","       11 (  0.0) ","        2 (  0.0) ","        0 (  0.0) ","        2 (  0.0) ","        6 (  0.0) ","<0.001",""," 0.012"
"CHF = 1 (%)","    20922 (  1.3) ","    15926 (  1.0) ","     4996 ( 19.6) ","<0.001",""," 0.641","    11630 (  1.2) ","     8101 (  1.6) ","       85 (  0.9) ","      275 (  1.2) ","      352 (  0.4) ","      479 (  1.5) ","<0.001",""," 0.052"
"CKD = 1 (%)","    25548 (  1.6) ","        0 (  0.0) ","    25548 (100.0) ","<0.001",""," NaN","    13062 (  1.4) ","    10615 (  2.2) ","       99 (  1.1) ","      354 (  1.5) ","      824 (  1.0) ","      594 (  1.9) ","<0.001",""," 0.045"
"CKD_STAGE_1 = 1 (%)","      377 (  0.0) ","        0 (  0.0) ","      377 (  1.5) ","<0.001",""," 0.173","      166 (  0.0) ","      186 (  0.0) ","        2 (  0.0) ","        3 (  0.0) ","        7 (  0.0) ","       13 (  0.0) ","<0.001",""," 0.010"
"CKD_STAGE_2 = 1 (%)","      716 (  0.0) ","        0 (  0.0) ","      716 (  2.8) ","<0.001",""," 0.240","      286 (  0.0) ","      384 (  0.1) ","        1 (  0.0) ","       16 (  0.1) ","       13 (  0.0) ","       16 (  0.1) ","<0.001",""," 0.017"
"CKD_STAGE_3 = 1 (%)","     2825 (  0.2) ","        0 (  0.0) ","     2825 ( 11.1) ","<0.001",""," 0.499","     1349 (  0.1) ","     1291 (  0.3) ","        9 (  0.1) ","       49 (  0.2) ","       59 (  0.1) ","       68 (  0.2) ","<0.001",""," 0.023"
"CKD_STAGE_4 = 1 (%)","     1396 (  0.1) ","        0 (  0.0) ","     1396 (  5.5) ","<0.001",""," 0.340","      657 (  0.1) ","      634 (  0.1) ","        4 (  0.0) ","       23 (  0.1) ","       44 (  0.1) ","       34 (  0.1) ","<0.001",""," 0.014"
"CKD_STAGE_5 = 1 (%)","     5694 (  0.4) ","        0 (  0.0) ","     5694 ( 22.3) ","<0.001",""," 0.757","     1951 (  0.2) ","     3366 (  0.7) ","       21 (  0.2) ","       98 (  0.4) ","      167 (  0.2) ","       91 (  0.3) ","<0.001",""," 0.033"
"CLINIC = 1 (%)","   328530 ( 20.7) ","   323639 ( 20.8) ","     4891 ( 19.1) ","<0.001",""," 0.040","   208003 ( 22.0) ","    81437 ( 16.5) ","     4130 ( 45.7) ","     2974 ( 12.6) ","    24380 ( 29.3) ","     7606 ( 23.8) ","<0.001",""," 0.321"
"COPD = 1 (%)","   147407 (  9.3) ","   141887 (  9.1) ","     5520 ( 21.6) ","<0.001",""," 0.352","    83680 (  8.9) ","    53048 ( 10.8) ","      762 (  8.4) ","     1646 (  7.0) ","     5354 (  6.4) ","     2917 (  9.1) ","<0.001",""," 0.068"
"CVA = 1 (%)","    18388 (  1.2) ","    15803 (  1.0) ","     2585 ( 10.1) ","<0.001",""," 0.405","     9903 (  1.0) ","     7311 (  1.5) ","       81 (  0.9) ","      295 (  1.3) ","      327 (  0.4) ","      471 (  1.5) ","<0.001",""," 0.050"
"CVD_HOSP = 1 (%)","    15752 (  1.0) ","    14672 (  0.9) ","     1080 (  4.2) ","<0.001",""," 0.208","     9002 (  1.0) ","     5115 (  1.0) ","       90 (  1.0) ","      177 (  0.8) ","      737 (  0.9) ","      631 (  2.0) ","<0.001",""," 0.039"
"DIALYSIS = 1 (%)","     5550 (  0.4) ","       14 (  0.0) ","     5536 ( 21.7) ","<0.001",""," 0.744","     1903 (  0.2) ","     3289 (  0.7) ","       21 (  0.2) ","       94 (  0.4) ","      158 (  0.2) ","       85 (  0.3) ","<0.001",""," 0.032"
"DM = 1 (%)","    90499 (  5.7) ","    81555 (  5.2) ","     8944 ( 35.0) ","<0.001",""," 0.800","    50476 (  5.3) ","    32764 (  6.6) ","      515 (  5.7) ","     1975 (  8.4) ","     3219 (  3.9) ","     1550 (  4.8) ","<0.001",""," 0.080"
"DYSRHYTH = 1 (%)","    26443 (  1.7) ","    22583 (  1.4) ","     3860 ( 15.1) ","<0.001",""," 0.512","    15864 (  1.7) ","     8772 (  1.8) ","      129 (  1.4) ","      376 (  1.6) ","      585 (  0.7) ","      717 (  2.2) ","<0.001",""," 0.049"
"ED = 1 (%)","   655274 ( 41.4) ","   639232 ( 41.0) ","    16042 ( 62.8) ","<0.001",""," 0.447","   357082 ( 37.8) ","   243286 ( 49.3) ","     3940 ( 43.6) ","     5534 ( 23.5) ","    34338 ( 41.3) ","    11094 ( 34.7) ","<0.001",""," 0.225"
"GI = 1 (%)","    12915 (  0.8) ","    11142 (  0.7) ","     1773 (  6.9) ","<0.001",""," 0.329","     7583 (  0.8) ","     4362 (  0.9) ","       75 (  0.8) ","      245 (  1.0) ","      362 (  0.4) ","      288 (  0.9) ","<0.001",""," 0.026"
"HOMEHEALTH = 1 (%)","    14169 (  0.9) ","    11199 (  0.7) ","     2970 ( 11.6) ","<0.001",""," 0.465","     7372 (  0.8) ","     5298 (  1.1) ","       59 (  0.7) ","      167 (  0.7) ","      603 (  0.7) ","      670 (  2.1) ","<0.001",""," 0.050"
"HTN = 1 (%)","   123084 (  7.8) ","   110315 (  7.1) ","    12769 ( 50.0) ","<0.001",""," 1.080","    58776 (  6.2) ","    56398 ( 11.4) ","      482 (  5.3) ","     2255 (  9.6) ","     2927 (  3.5) ","     2246 (  7.0) ","<0.001",""," 0.137"
"ICDCRTD = 1 (%)","      103 (  0.0) ","       56 (  0.0) ","       47 (  0.2) ","<0.001",""," 0.059","       53 (  0.0) ","       43 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        2 (  0.0) ","        5 (  0.0) "," 0.021",""," 0.010"
"INF_HOSP = 1 (%)","   622828 ( 39.3) ","   608152 ( 39.0) ","    14676 ( 57.4) ","<0.001",""," 0.375","   373884 ( 39.6) ","   192152 ( 39.0) ","     3533 ( 39.1) ","     8126 ( 34.5) ","    33625 ( 40.5) ","    11508 ( 36.0) ","<0.001",""," 0.056"
"LABXRAY = 1 (%)","  1086071 ( 68.5) ","  1063677 ( 68.2) ","    22394 ( 87.7) ","<0.001",""," 0.482","   634029 ( 67.2) ","   351929 ( 71.4) ","     6179 ( 68.4) ","    14754 ( 62.6) ","    58394 ( 70.2) ","    20786 ( 65.0) ","<0.001",""," 0.086"
"LIVERDIS = 1 (%)","    10363 (  0.7) ","     9043 (  0.6) ","     1320 (  5.2) ","<0.001",""," 0.277","     6081 (  0.6) ","     3330 (  0.7) ","       79 (  0.9) ","      221 (  0.9) ","      423 (  0.5) ","      229 (  0.7) ","<0.001",""," 0.023"
"NONKIDNEYTX = 1 (%)","      602 (  0.0) ","      439 (  0.0) ","      163 (  0.6) ","<0.001",""," 0.106","      377 (  0.0) ","      167 (  0.0) ","        3 (  0.0) ","        7 (  0.0) ","       25 (  0.0) ","       23 (  0.1) "," 0.012",""," 0.007"
"NONPEDCONG = 1 (%)","    55430 (  3.5) ","    47524 (  3.0) ","     7906 ( 30.9) ","<0.001",""," 0.800","    32028 (  3.4) ","    19860 (  4.0) ","      262 (  2.9) ","      992 (  4.2) ","     1039 (  1.2) ","     1249 (  3.9) ","<0.001",""," 0.076"
"OPHOSPITAL = 1 (%)","   764501 ( 48.2) ","   744089 ( 47.7) ","    20412 ( 79.9) ","<0.001",""," 0.710","   428038 ( 45.3) ","   271261 ( 55.0) ","     4546 ( 50.3) ","     7965 ( 33.8) ","    38915 ( 46.8) ","    13776 ( 43.1) ","<0.001",""," 0.175"
"OTHCARDIAC = 1 (%)","    38232 (  2.4) ","    34552 (  2.2) ","     3680 ( 14.4) ","<0.001",""," 0.453","    22195 (  2.4) ","    13063 (  2.6) ","      177 (  2.0) ","      534 (  2.3) ","     1352 (  1.6) ","      911 (  2.8) ","<0.001",""," 0.037"
"PAD = 1 (%)","      342 (  0.0) ","      219 (  0.0) ","      123 (  0.5) ","<0.001",""," 0.094","      205 (  0.0) ","      113 (  0.0) ","        5 (  0.1) ","        2 (  0.0) ","        8 (  0.0) ","        9 (  0.0) "," 0.022",""," 0.012"
"PCI = 1 (%)","      485 (  0.0) ","      381 (  0.0) ","      104 (  0.4) ","<0.001",""," 0.083","      344 (  0.0) ","       96 (  0.0) ","        4 (  0.0) ","       13 (  0.1) ","        7 (  0.0) ","       21 (  0.1) ","<0.001",""," 0.014"
"PEDCKD = 1 (%)","    44242 (  2.8) ","    23287 (  1.5) ","    20955 ( 82.0) ","<0.001",""," 2.828","    25900 (  2.7) ","    15092 (  3.1) ","      204 (  2.3) ","      619 (  2.6) ","     1458 (  1.8) ","      969 (  3.0) ","<0.001",""," 0.039"
"PEDCONG = 1 (%)","     7215 (  0.5) ","     6795 (  0.4) ","      420 (  1.6) ","<0.001",""," 0.119","     4454 (  0.5) ","     1797 (  0.4) ","       41 (  0.5) ","       83 (  0.4) ","      361 (  0.4) ","      479 (  1.5) ","<0.001",""," 0.044"
"PHYSICIANF = 1 (%)","  1402133 ( 88.5) ","  1377777 ( 88.4) ","    24356 ( 95.3) ","<0.001",""," 0.257","   827526 ( 87.7) ","   446734 ( 90.6) ","     7427 ( 82.2) ","    21492 ( 91.2) ","    72153 ( 86.8) ","    26801 ( 83.8) ","<0.001",""," 0.132"
"PSYCH = 0 (%)","  1584691 (100.0) ","  1559143 (100.0) ","    25548 (100.0) "," NA","","<0.001","   943944 (100.0) ","   493047 (100.0) ","     9038 (100.0) ","    23561 (100.0) ","    83126 (100.0) ","    31975 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","    19906 (  1.3) ","    16324 (  1.0) ","     3582 ( 14.0) ","<0.001",""," 0.507","    11315 (  1.2) ","     7482 (  1.5) ","       82 (  0.9) ","      249 (  1.1) ","      336 (  0.4) ","      442 (  1.4) ","<0.001",""," 0.049"
"RCPNT_DLVRY = 1 (%)","    33561 (  2.1) ","    33029 (  2.1) ","      532 (  2.1) "," 0.708",""," 0.003","    20353 (  2.2) ","     8000 (  1.6) ","      365 (  4.0) ","      559 (  2.4) ","     2960 (  3.6) ","     1324 (  4.1) ","<0.001",""," 0.077"
"SNF = 0 (%)","  1584691 (100.0) ","  1559143 (100.0) ","    25548 (100.0) "," NA","","<0.001","   943944 (100.0) ","   493047 (100.0) ","     9038 (100.0) ","    23561 (100.0) ","    83126 (100.0) ","    31975 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","     1077 (  0.1) ","      460 (  0.0) ","      617 (  2.4) ","<0.001",""," 0.218","      585 (  0.1) ","      415 (  0.1) ","        1 (  0.0) ","       27 (  0.1) ","       38 (  0.0) ","       11 (  0.0) ","<0.001",""," 0.019"
"age (mean (sd))","-54303.91 (584.08)","-54313.88 (579.02)","-53695.88 (569.83)","<0.001",""," 1.076","-54284.94 (593.96)","-54305.89 (563.41)","-54376.40 (499.63)","-54152.44 (723.35)","-54517.44 (440.84)","-54369.36 (696.51)","<0.001",""," 0.247"
"died = 0 (%)","  1584691 (100.0) ","  1559143 (100.0) ","    25548 (100.0) "," NA","","<0.001","   943944 (100.0) ","   493047 (100.0) ","     9038 (100.0) ","    23561 (100.0) ","    83126 (100.0) ","    31975 (100.0) "," NA","","<0.001"
