"","Overall","[0,22)","[22,120)","p","test","SMD","[0,22):0","[22,120):0","[0,22):1","[22,120):1","p","test","SMD"
"CKD_STAGE_1 = 1 (%)","      211 (  0.0) ","       41 (  0.0) ","      170 (  0.0) ","<0.001",""," 0.019","        0 (  0.0) ","        0 (  0.0) ","       41 (  1.8) ","      170 (  1.2) ","<0.001",""," 0.125"
"CKD_STAGE_2 = 1 (%)","      347 (  0.0) ","       31 (  0.0) ","      316 (  0.1) ","<0.001",""," 0.031","        0 (  0.0) ","        0 (  0.0) ","       31 (  1.4) ","      316 (  2.3) ","<0.001",""," 0.138"
"CKD_STAGE_3 = 1 (%)","     1332 (  0.1) ","       48 (  0.0) ","     1284 (  0.2) ","<0.001",""," 0.067","        0 (  0.0) ","        0 (  0.0) ","       48 (  2.2) ","     1284 (  9.2) ","<0.001",""," 0.271"
"CKD_STAGE_4 = 1 (%)","      772 (  0.1) ","       24 (  0.0) ","      748 (  0.1) ","<0.001",""," 0.051","        0 (  0.0) ","        0 (  0.0) ","       24 (  1.1) ","      748 (  5.3) ","<0.001",""," 0.202"
"CKD_STAGE_5 = 1 (%)","     5089 (  0.4) ","      107 (  0.0) ","     4982 (  0.9) ","<0.001",""," 0.135","        0 (  0.0) ","        0 (  0.0) ","      107 (  4.8) ","     4982 ( 35.5) ","<0.001",""," 0.594"
"CLINIC = 1 (%)","   250739 ( 20.7) ","   185907 ( 27.0) ","    64832 ( 12.3) ","<0.001",""," 0.376","   185221 ( 27.0) ","    62443 ( 12.2) ","      686 ( 30.8) ","     2389 ( 17.0) ","<0.001",""," 0.272"
"COPD = 1 (%)","    84645 (  7.0) ","    37892 (  5.5) ","    46753 (  8.9) ","<0.001",""," 0.131","    37684 (  5.5) ","    44047 (  8.6) ","      208 (  9.3) ","     2706 ( 19.3) ","<0.001",""," 0.220"
"CVA = 1 (%)","    12259 (  1.0) ","      659 (  0.1) ","    11600 (  2.2) ","<0.001",""," 0.199","      617 (  0.1) ","    10305 (  2.0) ","       42 (  1.9) ","     1295 (  9.2) ","<0.001",""," 0.245"
"CVD_HOSP = 1 (%)","     9302 (  0.8) ","     6232 (  0.9) ","     3070 (  0.6) ","<0.001",""," 0.038","     6062 (  0.9) ","     2683 (  0.5) ","      170 (  7.6) ","      387 (  2.8) ","<0.001",""," 0.214"
"DIALYSIS = 1 (%)","     4981 (  0.4) ","      107 (  0.0) ","     4874 (  0.9) ","<0.001",""," 0.133","        2 (  0.0) ","       10 (  0.0) ","      105 (  4.7) ","     4864 ( 34.7) ","<0.001",""," 0.585"
"DM = 1 (%)","    54975 (  4.5) ","     4053 (  0.6) ","    50922 (  9.7) ","<0.001",""," 0.421","     3951 (  0.6) ","    45877 (  9.0) ","      102 (  4.6) ","     5045 ( 36.0) ","<0.001",""," 0.566"
"DYSRHYTH = 1 (%)","    13819 (  1.1) ","     2464 (  0.4) ","    11355 (  2.2) ","<0.001",""," 0.162","     2366 (  0.3) ","     9470 (  1.8) ","       98 (  4.4) ","     1885 ( 13.4) ","<0.001",""," 0.311"
"ED = 1 (%)","   400402 ( 33.0) ","   229819 ( 33.4) ","   170583 ( 32.4) ","<0.001",""," 0.021","   228530 ( 33.3) ","   163516 ( 31.9) ","     1289 ( 57.9) ","     7067 ( 50.4) ","<0.001",""," 0.327"
"GI = 1 (%)","     6295 (  0.5) ","     1181 (  0.2) ","     5114 (  1.0) ","<0.001",""," 0.106","     1135 (  0.2) ","     4273 (  0.8) ","       46 (  2.1) ","      841 (  6.0) ","<0.001",""," 0.202"
"HOMEHEALTH = 1 (%)","     9840 (  0.8) ","     3367 (  0.5) ","     6473 (  1.2) ","<0.001",""," 0.080","     3166 (  0.5) ","     5137 (  1.0) ","      201 (  9.0) ","     1336 (  9.5) ","<0.001",""," 0.280"
"HTN = 1 (%)","    60067 (  4.9) ","     2589 (  0.4) ","    57478 ( 10.9) ","<0.001",""," 0.469","     2232 (  0.3) ","    51160 ( 10.0) ","      357 ( 16.0) ","     6318 ( 45.0) ","<0.001",""," 0.668"
"ICDCRTD = 1 (%)","      103 (  0.0) ","        1 (  0.0) ","      102 (  0.0) ","<0.001",""," 0.019","        1 (  0.0) ","       71 (  0.0) ","        0 (  0.0) ","       31 (  0.2) ","<0.001",""," 0.038"
"INF_HOSP = 1 (%)","   322213 ( 26.5) ","   188547 ( 27.4) ","   133666 ( 25.4) ","<0.001",""," 0.045","   187141 ( 27.3) ","   127295 ( 24.9) ","     1406 ( 63.1) ","     6371 ( 45.4) ","<0.001",""," 0.474"
"LABXRAY = 1 (%)","   639962 ( 52.7) ","   342574 ( 49.8) ","   297388 ( 56.5) ","<0.001",""," 0.135","   340442 ( 49.7) ","   287114 ( 56.1) ","     2132 ( 95.7) ","    10274 ( 73.3) ","<0.001",""," 0.649"
"LIVERDIS = 1 (%)","     4917 (  0.4) ","      672 (  0.1) ","     4245 (  0.8) ","<0.001",""," 0.106","      637 (  0.1) ","     3590 (  0.7) ","       35 (  1.6) ","      655 (  4.7) ","<0.001",""," 0.179"
"NONKIDNEYTX = 1 (%)","      458 (  0.0) ","      187 (  0.0) ","      271 (  0.1) ","<0.001",""," 0.012","      151 (  0.0) ","      200 (  0.0) ","       36 (  1.6) ","       71 (  0.5) ","<0.001",""," 0.109"
"NONPEDCONG = 1 (%)","    33465 (  2.8) ","     1752 (  0.3) ","    31713 (  6.0) ","<0.001",""," 0.336","     1606 (  0.2) ","    27459 (  5.4) ","      146 (  6.6) ","     4254 ( 30.3) ","<0.001",""," 0.496"
"OPHOSPITAL = 1 (%)","   498265 ( 41.1) ","   265182 ( 38.6) ","   233083 ( 44.3) ","<0.001",""," 0.117","   263296 ( 38.4) ","   222413 ( 43.4) ","     1886 ( 84.6) ","    10670 ( 76.1) ","<0.001",""," 0.647"
"OTHCARDIAC = 1 (%)","    20002 (  1.6) ","     6470 (  0.9) ","    13532 (  2.6) ","<0.001",""," 0.124","     6300 (  0.9) ","    11732 (  2.3) ","      170 (  7.6) ","     1800 ( 12.8) ","<0.001",""," 0.293"
"PAD = 1 (%)","      318 (  0.0) ","       18 (  0.0) ","      300 (  0.1) ","<0.001",""," 0.032","       17 (  0.0) ","      176 (  0.0) ","        1 (  0.0) ","      124 (  0.9) ","<0.001",""," 0.073"
"PCI = 1 (%)","      541 (  0.0) ","        2 (  0.0) ","      539 (  0.1) ","<0.001",""," 0.045","        1 (  0.0) ","      439 (  0.1) ","        1 (  0.0) ","      100 (  0.7) ","<0.001",""," 0.069"
"PEDCKD = 1 (%)","    25573 (  2.1) ","     4699 (  0.7) ","    20874 (  4.0) ","<0.001",""," 0.219","     2662 (  0.4) ","     9547 (  1.9) ","     2037 ( 91.4) ","    11327 ( 80.8) ","<0.001",""," 2.424"
"PEDCONG = 1 (%)","     4621 (  0.4) ","     3745 (  0.5) ","      876 (  0.2) ","<0.001",""," 0.064","     3595 (  0.5) ","      794 (  0.2) ","      150 (  6.7) ","       82 (  0.6) ","<0.001",""," 0.196"
"PHYSICIANF = 1 (%)","   964602 ( 79.5) ","   551399 ( 80.2) ","   413203 ( 78.6) ","<0.001",""," 0.040","   549234 ( 80.1) ","   400439 ( 78.2) ","     2165 ( 97.2) ","    12764 ( 91.0) ","<0.001",""," 0.358"
"PSYCH = 0 (%)","  1213765 (100.0) ","   687771 (100.0) ","   525994 (100.0) "," NA","","<0.001","   685543 (100.0) ","   511969 (100.0) ","     2228 (100.0) ","    14025 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","    10860 (  0.9) ","      486 (  0.1) ","    10374 (  2.0) ","<0.001",""," 0.190","      430 (  0.1) ","     8638 (  1.7) ","       56 (  2.5) ","     1736 ( 12.4) ","<0.001",""," 0.298"
"RCPNT_DLVRY = 1 (%)","    52627 (  4.3) ","    34203 (  5.0) ","    18424 (  3.5) ","<0.001",""," 0.073","    33783 (  4.9) ","    18055 (  3.5) ","      420 ( 18.9) ","      369 (  2.6) ","<0.001",""," 0.288"
"SNF = 0 (%)","  1213765 (100.0) ","   687771 (100.0) ","   525994 (100.0) "," NA","","<0.001","   685543 (100.0) ","   511969 (100.0) ","     2228 (100.0) ","    14025 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","      811 (  0.1) ","       95 (  0.0) ","      716 (  0.1) ","<0.001",""," 0.045","       34 (  0.0) ","      384 (  0.1) ","       61 (  2.7) ","      332 (  2.4) ","<0.001",""," 0.159"
"age (mean (sd))","-54234.00 (611.46)","-54668.58 (166.23)","-53665.77 (506.75)","<0.001",""," 2.659","-54668.62 (166.09)","-53671.73 (507.28)","-54654.97 (204.24)","-53448.34 (434.46)","<0.001",""," 2.166"
"died = 0 (%)","  1213765 (100.0) ","   687771 (100.0) ","   525994 (100.0) "," NA","","<0.001","   685543 (100.0) ","   511969 (100.0) ","     2228 (100.0) ","    14025 (100.0) "," NA","","<0.001"
