"","Overall","[0,5)","[5,11)","[11,14)","[14,19)","[19,22)","p","test","SMD","[0,5):0","[5,11):0","[11,14):0","[14,19):0","[19,22):0","[0,5):1","[5,11):1","[11,14):1","[14,19):1","[19,22):1","p","test","SMD"
"AKI = 1 (%)","      159 (  0.0) ","       53 (  0.0) ","       23 (  0.0) ","        9 (  0.0) ","       27 (  0.0) ","       47 (  0.1) ","<0.001",""," 0.015","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","       53 (  6.6) ","       23 (  5.8) ","        9 (  6.0) ","       27 (  6.6) ","       47 ( 10.0) ","<0.001",""," 0.230"
"ANEMIA = 1 (%)","    13763 (  2.0) ","     4419 (  2.4) ","     3277 (  1.6) ","     1185 (  1.4) ","     2767 (  1.9) ","     2115 (  3.2) ","<0.001",""," 0.060","     4358 (  2.3) ","     3239 (  1.6) ","     1163 (  1.4) ","     2698 (  1.9) ","     2012 (  3.1) ","       61 (  7.6) ","       38 (  9.5) ","       22 ( 14.7) ","       69 ( 16.9) ","      103 ( 22.0) ","<0.001",""," 0.307"
"ASHD = 1 (%)","      240 (  0.0) ","       23 (  0.0) ","       14 (  0.0) ","       23 (  0.0) ","       90 (  0.1) ","       90 (  0.1) ","<0.001",""," 0.026","       18 (  0.0) ","       14 (  0.0) ","       23 (  0.0) ","       88 (  0.1) ","       84 (  0.1) ","        5 (  0.6) ","        0 (  0.0) ","        0 (  0.0) ","        2 (  0.5) ","        6 (  1.3) ","<0.001",""," 0.070"
"CABG = 1 (%)","        1 (  0.0) ","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.681",""," 0.001","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.986",""," 0.001"
"CANCER = 1 (%)","     1104 (  0.2) ","      152 (  0.1) ","      277 (  0.1) ","      139 (  0.2) ","      282 (  0.2) ","      254 (  0.4) ","<0.001",""," 0.029","      133 (  0.1) ","      239 (  0.1) ","      126 (  0.2) ","      249 (  0.2) ","      236 (  0.4) ","       19 (  2.4) ","       38 (  9.5) ","       13 (  8.7) ","       33 (  8.1) ","       18 (  3.8) ","<0.001",""," 0.236"
"CASCEA = 0 (%)","   687771 (100.0) ","   187638 (100.0) ","   208460 (100.0) ","    82804 (100.0) ","   143716 (100.0) ","    65153 (100.0) "," NA","","<0.001","   186834 (100.0) ","   208062 (100.0) ","    82654 (100.0) ","   143308 (100.0) ","    64685 (100.0) ","      804 (100.0) ","      398 (100.0) ","      150 (100.0) ","      408 (100.0) ","      468 (100.0) "," NA","","<0.001"
"CHF = 1 (%)","      571 (  0.1) ","      220 (  0.1) ","       98 (  0.0) ","       53 (  0.1) ","      101 (  0.1) ","       99 (  0.2) ","<0.001",""," 0.017","      194 (  0.1) ","       87 (  0.0) ","       46 (  0.1) ","       91 (  0.1) ","       89 (  0.1) ","       26 (  3.2) ","       11 (  2.8) ","        7 (  4.7) ","       10 (  2.5) ","       10 (  2.1) ","<0.001",""," 0.151"
"CKD = 1 (%)","     2228 (  0.3) ","      804 (  0.4) ","      398 (  0.2) ","      150 (  0.2) ","      408 (  0.3) ","      468 (  0.7) ","<0.001",""," 0.041","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","      804 (100.0) ","      398 (100.0) ","      150 (100.0) ","      408 (100.0) ","      468 (100.0) ","<0.001",""," NaN"
"CKD_STAGE_1 = 1 (%)","       41 (  0.0) ","        1 (  0.0) ","       10 (  0.0) ","        6 (  0.0) ","       11 (  0.0) ","       13 (  0.0) ","<0.001",""," 0.009","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.1) ","       10 (  2.5) ","        6 (  4.0) ","       11 (  2.7) ","       13 (  2.8) ","<0.001",""," 0.142"
"CKD_STAGE_2 = 1 (%)","       31 (  0.0) ","        3 (  0.0) ","        6 (  0.0) ","        3 (  0.0) ","        9 (  0.0) ","       10 (  0.0) ","<0.001",""," 0.007","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        3 (  0.4) ","        6 (  1.5) ","        3 (  2.0) ","        9 (  2.2) ","       10 (  2.1) ","<0.001",""," 0.115"
"CKD_STAGE_3 = 1 (%)","       48 (  0.0) ","        5 (  0.0) ","        8 (  0.0) ","       10 (  0.0) ","       15 (  0.0) ","       10 (  0.0) ","<0.001",""," 0.007","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        5 (  0.6) ","        8 (  2.0) ","       10 (  6.7) ","       15 (  3.7) ","       10 (  2.1) ","<0.001",""," 0.166"
"CKD_STAGE_4 = 1 (%)","       24 (  0.0) ","        2 (  0.0) ","        2 (  0.0) ","        5 (  0.0) ","        8 (  0.0) ","        7 (  0.0) ","<0.001",""," 0.007","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        2 (  0.2) ","        2 (  0.5) ","        5 (  3.3) ","        8 (  2.0) ","        7 (  1.5) ","<0.001",""," 0.118"
"CKD_STAGE_5 = 1 (%)","      107 (  0.0) ","       10 (  0.0) ","       10 (  0.0) ","       11 (  0.0) ","       38 (  0.0) ","       38 (  0.1) ","<0.001",""," 0.016","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","       10 (  1.2) ","       10 (  2.5) ","       11 (  7.3) ","       38 (  9.3) ","       38 (  8.1) ","<0.001",""," 0.229"
"CLINIC = 1 (%)","   185907 ( 27.0) ","    38362 ( 20.4) ","    72624 ( 34.8) ","    22755 ( 27.5) ","    36566 ( 25.4) ","    15600 ( 23.9) ","<0.001",""," 0.146","    38098 ( 20.4) ","    72462 ( 34.8) ","    22718 ( 27.5) ","    36444 ( 25.4) ","    15499 ( 24.0) ","      264 ( 32.8) ","      162 ( 40.7) ","       37 ( 24.7) ","      122 ( 29.9) ","      101 ( 21.6) ","<0.001",""," 0.167"
"COPD = 1 (%)","    37892 (  5.5) ","    10905 (  5.8) ","    12952 (  6.2) ","     4421 (  5.3) ","     6729 (  4.7) ","     2885 (  4.4) ","<0.001",""," 0.042","    10846 (  5.8) ","    12911 (  6.2) ","     4398 (  5.3) ","     6690 (  4.7) ","     2839 (  4.4) ","       59 (  7.3) ","       41 ( 10.3) ","       23 ( 15.3) ","       39 (  9.6) ","       46 (  9.8) ","<0.001",""," 0.139"
"CVA = 1 (%)","      659 (  0.1) ","      245 (  0.1) ","      121 (  0.1) ","       54 (  0.1) ","      130 (  0.1) ","      109 (  0.2) ","<0.001",""," 0.017","      226 (  0.1) ","      117 (  0.1) ","       54 (  0.1) ","      118 (  0.1) ","      102 (  0.2) ","       19 (  2.4) ","        4 (  1.0) ","        0 (  0.0) ","       12 (  2.9) ","        7 (  1.5) ","<0.001",""," 0.117"
"CVD_HOSP = 1 (%)","     6232 (  0.9) ","     3383 (  1.8) ","     1317 (  0.6) ","      363 (  0.4) ","      782 (  0.5) ","      387 (  0.6) ","<0.001",""," 0.055","     3264 (  1.7) ","     1303 (  0.6) ","      358 (  0.4) ","      768 (  0.5) ","      369 (  0.6) ","      119 ( 14.8) ","       14 (  3.5) ","        5 (  3.3) ","       14 (  3.4) ","       18 (  3.8) ","<0.001",""," 0.195"
"DIALYSIS = 1 (%)","      107 (  0.0) ","       10 (  0.0) ","       11 (  0.0) ","       10 (  0.0) ","       38 (  0.0) ","       38 (  0.1) ","<0.001",""," 0.016","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.0) ","        1 (  0.0) ","       10 (  1.2) ","       11 (  2.8) ","       10 (  6.7) ","       37 (  9.1) ","       37 (  7.9) ","<0.001",""," 0.225"
"DM = 1 (%)","     4053 (  0.6) ","      177 (  0.1) ","      646 (  0.3) ","      594 (  0.7) ","     1625 (  1.1) ","     1011 (  1.6) ","<0.001",""," 0.088","      173 (  0.1) ","      639 (  0.3) ","      588 (  0.7) ","     1580 (  1.1) ","      971 (  1.5) ","        4 (  0.5) ","        7 (  1.8) ","        6 (  4.0) ","       45 ( 11.0) ","       40 (  8.5) ","<0.001",""," 0.211"
"DYSRHYTH = 1 (%)","     2464 (  0.4) ","      638 (  0.3) ","      455 (  0.2) ","      267 (  0.3) ","      631 (  0.4) ","      473 (  0.7) ","<0.001",""," 0.034","      599 (  0.3) ","      443 (  0.2) ","      260 (  0.3) ","      615 (  0.4) ","      449 (  0.7) ","       39 (  4.9) ","       12 (  3.0) ","        7 (  4.7) ","       16 (  3.9) ","       24 (  5.1) ","<0.001",""," 0.163"
"ED = 1 (%)","   229819 ( 33.4) ","    76774 ( 40.9) ","    58798 ( 28.2) ","    21405 ( 25.9) ","    43916 ( 30.6) ","    28926 ( 44.4) ","<0.001",""," 0.212","    76340 ( 40.9) ","    58598 ( 28.2) ","    21324 ( 25.8) ","    43685 ( 30.5) ","    28583 ( 44.2) ","      434 ( 54.0) ","      200 ( 50.3) ","       81 ( 54.0) ","      231 ( 56.6) ","      343 ( 73.3) ","<0.001",""," 0.373"
"GI = 1 (%)","     1181 (  0.2) ","      382 (  0.2) ","      136 (  0.1) ","       88 (  0.1) ","      299 (  0.2) ","      276 (  0.4) ","<0.001",""," 0.035","      362 (  0.2) ","      130 (  0.1) ","       88 (  0.1) ","      287 (  0.2) ","      268 (  0.4) ","       20 (  2.5) ","        6 (  1.5) ","        0 (  0.0) ","       12 (  2.9) ","        8 (  1.7) ","<0.001",""," 0.121"
"HOMEHEALTH = 1 (%)","     3367 (  0.5) ","     2256 (  1.2) ","      328 (  0.2) ","      125 (  0.2) ","      344 (  0.2) ","      314 (  0.5) ","<0.001",""," 0.065","     2149 (  1.2) ","      303 (  0.1) ","      115 (  0.1) ","      311 (  0.2) ","      288 (  0.4) ","      107 ( 13.3) ","       25 (  6.3) ","       10 (  6.7) ","       33 (  8.1) ","       26 (  5.6) ","<0.001",""," 0.252"
"HTN = 1 (%)","     2589 (  0.4) ","      216 (  0.1) ","      295 (  0.1) ","      220 (  0.3) ","     1016 (  0.7) ","      842 (  1.3) ","<0.001",""," 0.077","      165 (  0.1) ","      243 (  0.1) ","      179 (  0.2) ","      882 (  0.6) ","      763 (  1.2) ","       51 (  6.3) ","       52 ( 13.1) ","       41 ( 27.3) ","      134 ( 32.8) ","       79 ( 16.9) ","<0.001",""," 0.459"
"ICDCRTD = 1 (%)","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) "," 0.436",""," 0.001","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.924",""," 0.001"
"INF_HOSP = 1 (%)","   188547 ( 27.4) ","    66045 ( 35.2) ","    52314 ( 25.1) ","    15979 ( 19.3) ","    32772 ( 22.8) ","    21437 ( 32.9) ","<0.001",""," 0.190","    65552 ( 35.1) ","    52056 ( 25.0) ","    15891 ( 19.2) ","    32535 ( 22.7) ","    21107 ( 32.6) ","      493 ( 61.3) ","      258 ( 64.8) ","       88 ( 58.7) ","      237 ( 58.1) ","      330 ( 70.5) ","<0.001",""," 0.506"
"LABXRAY = 1 (%)","   342574 ( 49.8) ","    95672 ( 51.0) ","    90278 ( 43.3) ","    36249 ( 43.8) ","    77035 ( 53.6) ","    43340 ( 66.5) ","<0.001",""," 0.230","    94887 ( 50.8) ","    89909 ( 43.2) ","    36104 ( 43.7) ","    76650 ( 53.5) ","    42892 ( 66.3) ","      785 ( 97.6) ","      369 ( 92.7) ","      145 ( 96.7) ","      385 ( 94.4) ","      448 ( 95.7) ","<0.001",""," 0.722"
"LIVERDIS = 1 (%)","      672 (  0.1) ","       84 (  0.0) ","      117 (  0.1) ","       65 (  0.1) ","      219 (  0.2) ","      187 (  0.3) ","<0.001",""," 0.031","       74 (  0.0) ","      108 (  0.1) ","       61 (  0.1) ","      214 (  0.1) ","      180 (  0.3) ","       10 (  1.2) ","        9 (  2.3) ","        4 (  2.7) ","        5 (  1.2) ","        7 (  1.5) ","<0.001",""," 0.114"
"NONKIDNEYTX = 1 (%)","      187 (  0.0) ","       29 (  0.0) ","       75 (  0.0) ","       23 (  0.0) ","       37 (  0.0) ","       23 (  0.0) "," 0.002",""," 0.006","       22 (  0.0) ","       67 (  0.0) ","       17 (  0.0) ","       28 (  0.0) ","       17 (  0.0) ","        7 (  0.9) ","        8 (  2.0) ","        6 (  4.0) ","        9 (  2.2) ","        6 (  1.3) ","<0.001",""," 0.132"
"NONPEDCONG = 1 (%)","     1752 (  0.3) ","      518 (  0.3) ","      245 (  0.1) ","      132 (  0.2) ","      437 (  0.3) ","      420 (  0.6) ","<0.001",""," 0.041","      467 (  0.2) ","      230 (  0.1) ","      124 (  0.2) ","      403 (  0.3) ","      382 (  0.6) ","       51 (  6.3) ","       15 (  3.8) ","        8 (  5.3) ","       34 (  8.3) ","       38 (  8.1) ","<0.001",""," 0.221"
"OPHOSPITAL = 1 (%)","   265182 ( 38.6) ","    85504 ( 45.6) ","    68112 ( 32.7) ","    25120 ( 30.3) ","    51467 ( 35.8) ","    34979 ( 53.7) ","<0.001",""," 0.247","    84842 ( 45.4) ","    67788 ( 32.6) ","    24993 ( 30.2) ","    51114 ( 35.7) ","    34559 ( 53.4) ","      662 ( 82.3) ","      324 ( 81.4) ","      127 ( 84.7) ","      353 ( 86.5) ","      420 ( 89.7) ","<0.001",""," 0.682"
"OTHCARDIAC = 1 (%)","     6470 (  0.9) ","     2545 (  1.4) ","     1279 (  0.6) ","      461 (  0.6) ","     1237 (  0.9) ","      948 (  1.5) ","<0.001",""," 0.051","     2472 (  1.3) ","     1259 (  0.6) ","      449 (  0.5) ","     1215 (  0.8) ","      905 (  1.4) ","       73 (  9.1) ","       20 (  5.0) ","       12 (  8.0) ","       22 (  5.4) ","       43 (  9.2) ","<0.001",""," 0.211"
"PAD = 1 (%)","       18 (  0.0) ","        3 (  0.0) ","        2 (  0.0) ","        1 (  0.0) ","        3 (  0.0) ","        9 (  0.0) ","<0.001",""," 0.007","        3 (  0.0) ","        2 (  0.0) ","        1 (  0.0) ","        3 (  0.0) ","        8 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.2) ","<0.001",""," 0.018"
"PCI = 1 (%)","        2 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.0) "," 0.276",""," 0.003","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.0) ","        1 (  0.1) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","<0.001",""," 0.011"
"PEDCKD = 1 (%)","     4699 (  0.7) ","     1264 (  0.7) ","     1034 (  0.5) ","      435 (  0.5) ","     1062 (  0.7) ","      904 (  1.4) ","<0.001",""," 0.043","      509 (  0.3) ","      654 (  0.3) ","      292 (  0.4) ","      685 (  0.5) ","      522 (  0.8) ","      755 ( 93.9) ","      380 ( 95.5) ","      143 ( 95.3) ","      377 ( 92.4) ","      382 ( 81.6) ","<0.001",""," 2.858"
"PEDCONG = 1 (%)","     3745 (  0.5) ","     2298 (  1.2) ","      746 (  0.4) ","      196 (  0.2) ","      356 (  0.2) ","      149 (  0.2) ","<0.001",""," 0.052","     2183 (  1.2) ","      728 (  0.3) ","      194 (  0.2) ","      347 (  0.2) ","      143 (  0.2) ","      115 ( 14.3) ","       18 (  4.5) ","        2 (  1.3) ","        9 (  2.2) ","        6 (  1.3) ","<0.001",""," 0.195"
"PHYSICIANF = 1 (%)","   551399 ( 80.2) ","   167951 ( 89.5) ","   160830 ( 77.2) ","    62034 ( 74.9) ","   110245 ( 76.7) ","    50339 ( 77.3) ","<0.001",""," 0.158","   167160 ( 89.5) ","   160447 ( 77.1) ","    61894 ( 74.9) ","   109848 ( 76.7) ","    49885 ( 77.1) ","      791 ( 98.4) ","      383 ( 96.2) ","      140 ( 93.3) ","      397 ( 97.3) ","      454 ( 97.0) ","<0.001",""," 0.365"
"PSYCH = 0 (%)","   687771 (100.0) ","   187638 (100.0) ","   208460 (100.0) ","    82804 (100.0) ","   143716 (100.0) ","    65153 (100.0) "," NA","","<0.001","   186834 (100.0) ","   208062 (100.0) ","    82654 (100.0) ","   143308 (100.0) ","    64685 (100.0) ","      804 (100.0) ","      398 (100.0) ","      150 (100.0) ","      408 (100.0) ","      468 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","      486 (  0.1) ","      117 (  0.1) ","       58 (  0.0) ","       45 (  0.1) ","      133 (  0.1) ","      133 (  0.2) ","<0.001",""," 0.025","      100 (  0.1) ","       55 (  0.0) ","       39 (  0.0) ","      119 (  0.1) ","      117 (  0.2) ","       17 (  2.1) ","        3 (  0.8) ","        6 (  4.0) ","       14 (  3.4) ","       16 (  3.4) ","<0.001",""," 0.150"
"RCPNT_DLVRY = 1 (%)","    34203 (  5.0) ","    28427 ( 15.1) ","        0 (  0.0) ","        0 (  0.0) ","      798 (  0.6) ","     4978 (  7.6) ","<0.001",""," 0.338","    28133 ( 15.1) ","        0 (  0.0) ","        0 (  0.0) ","      781 (  0.5) ","     4869 (  7.5) ","      294 ( 36.6) ","        0 (  0.0) ","        0 (  0.0) ","       17 (  4.2) ","      109 ( 23.3) ","<0.001",""," 0.453"
"SNF = 0 (%)","   687771 (100.0) ","   187638 (100.0) ","   208460 (100.0) ","    82804 (100.0) ","   143716 (100.0) ","    65153 (100.0) "," NA","","<0.001","   186834 (100.0) ","   208062 (100.0) ","    82654 (100.0) ","   143308 (100.0) ","    64685 (100.0) ","      804 (100.0) ","      398 (100.0) ","      150 (100.0) ","      408 (100.0) ","      468 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","       95 (  0.0) ","        2 (  0.0) ","       24 (  0.0) ","       17 (  0.0) ","       34 (  0.0) ","       18 (  0.0) ","<0.001",""," 0.011","        1 (  0.0) ","       12 (  0.0) ","        5 (  0.0) ","        8 (  0.0) ","        8 (  0.0) ","        1 (  0.1) ","       12 (  3.0) ","       12 (  8.0) ","       26 (  6.4) ","       10 (  2.1) ","<0.001",""," 0.193"
"age (mean (sd))","-54668.58 (166.23)","-54863.78 (29.68)","-54730.61 (46.39)","-54601.46 (22.43)","-54491.13 (38.62)","-54384.66 (22.73)","<0.001",""," 7.742","-54863.71 (29.67)","-54730.62 (46.39)","-54601.46 (22.43)","-54491.17 (38.62)","-54384.70 (22.73)","-54878.49 (28.01)","-54726.29 (46.08)","-54601.40 (21.24)","-54480.30 (38.48)","-54379.74 (22.06)","<0.001",""," 7.150"
"died = 0 (%)","   687771 (100.0) ","   187638 (100.0) ","   208460 (100.0) ","    82804 (100.0) ","   143716 (100.0) ","    65153 (100.0) "," NA","","<0.001","   186834 (100.0) ","   208062 (100.0) ","    82654 (100.0) ","   143308 (100.0) ","    64685 (100.0) ","      804 (100.0) ","      398 (100.0) ","      150 (100.0) ","      408 (100.0) ","      468 (100.0) "," NA","","<0.001"
