"","Overall","[0,5)","[5,10)","[10,14)","[14,18)","[18,22)","p","test","SMD","[0,5):0","[5,10):0","[10,14):0","[14,18):0","[18,22):0","[0,5):1","[5,10):1","[10,14):1","[14,18):1","[18,22):1","p","test","SMD"
"   4-6 months","    44846 (  6.5) ","    22911 ( 12.2) ","     6571 (  3.7) ","     3769 (  3.4) ","     3960 (  3.5) ","     7635 (  8.1) ","","","","    22695 ( 12.2) ","     6547 (  3.7) ","     3760 (  3.4) ","     3942 (  3.5) ","     7543 (  8.1) ","      216 ( 17.1) ","       24 (  2.7) ","        9 (  1.5) ","       18 (  2.3) ","       92 (  7.7) ","","",""
"   7-9 months","    54428 (  7.9) ","    23074 ( 12.3) ","     9418 (  5.2) ","     5542 (  5.0) ","     5851 (  5.1) ","    10543 ( 11.2) ","","","","    22870 ( 12.3) ","     9389 (  5.3) ","     5516 (  5.0) ","     5808 (  5.1) ","    10410 ( 11.2) ","      204 ( 16.1) ","       29 (  3.3) ","       26 (  4.5) ","       43 (  5.5) ","      133 ( 11.2) ","","",""
"   9-12 months","   588497 ( 85.6) ","   141653 ( 75.5) ","   163642 ( 91.1) ","   102322 ( 91.7) ","   104883 ( 91.4) ","    75997 ( 80.7) ","","","","   140809 ( 75.6) ","   162810 ( 91.1) ","   101773 ( 91.6) ","   104167 ( 91.4) ","    75033 ( 80.7) ","      844 ( 66.8) ","      832 ( 94.0) ","      549 ( 94.0) ","      716 ( 92.1) ","      964 ( 81.1) ","","",""
"AKI = 1 (%)","      159 (  0.0) ","       53 (  0.0) ","       17 (  0.0) ","       15 (  0.0) ","       18 (  0.0) ","       56 (  0.1) ","<0.001",""," 0.013","       30 (  0.0) ","        7 (  0.0) ","        3 (  0.0) ","        6 (  0.0) ","       25 (  0.0) ","       23 (  1.8) ","       10 (  1.1) ","       12 (  2.1) ","       12 (  1.5) ","       31 (  2.6) ","<0.001",""," 0.119"
"ANEMIA = 1 (%)","    13763 (  2.0) ","     4419 (  2.4) ","     2905 (  1.6) ","     1557 (  1.4) ","     2109 (  1.8) ","     2773 (  2.9) ","<0.001",""," 0.053","     4344 (  2.3) ","     2840 (  1.6) ","     1509 (  1.4) ","     2037 (  1.8) ","     2590 (  2.8) ","       75 (  5.9) ","       65 (  7.3) ","       48 (  8.2) ","       72 (  9.3) ","      183 ( 15.4) ","<0.001",""," 0.216"
"ASHD = 1 (%)","      240 (  0.0) ","       23 (  0.0) ","       10 (  0.0) ","       27 (  0.0) ","       58 (  0.1) ","      122 (  0.1) ","<0.001",""," 0.025","       21 (  0.0) ","       10 (  0.0) ","       25 (  0.0) ","       54 (  0.0) ","      115 (  0.1) ","        2 (  0.2) ","        0 (  0.0) ","        2 (  0.3) ","        4 (  0.5) ","        7 (  0.6) ","<0.001",""," 0.054"
"CABG = 1 (%)","        1 (  0.0) ","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.587",""," 0.001","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.970",""," 0.001"
"CANCER = 1 (%)","     1104 (  0.2) ","      152 (  0.1) ","      237 (  0.1) ","      179 (  0.2) ","      213 (  0.2) ","      323 (  0.3) ","<0.001",""," 0.026","      124 (  0.1) ","      189 (  0.1) ","      154 (  0.1) ","      181 (  0.2) ","      280 (  0.3) ","       28 (  2.2) ","       48 (  5.4) ","       25 (  4.3) ","       32 (  4.1) ","       43 (  3.6) ","<0.001",""," 0.170"
"CASCEA = 0 (%)","   687771 (100.0) ","   187638 (100.0) ","   179631 (100.0) ","   111633 (100.0) ","   114694 (100.0) ","    94175 (100.0) "," NA","","<0.001","   186374 (100.0) ","   178746 (100.0) ","   111049 (100.0) ","   113917 (100.0) ","    92986 (100.0) ","     1264 (100.0) ","      885 (100.0) ","      584 (100.0) ","      777 (100.0) ","     1189 (100.0) "," NA","","<0.001"
"CHF = 1 (%)","      571 (  0.1) ","      220 (  0.1) ","       84 (  0.0) ","       67 (  0.1) ","       76 (  0.1) ","      124 (  0.1) ","<0.001",""," 0.015","      196 (  0.1) ","       74 (  0.0) ","       55 (  0.0) ","       67 (  0.1) ","      110 (  0.1) ","       24 (  1.9) ","       10 (  1.1) ","       12 (  2.1) ","        9 (  1.2) ","       14 (  1.2) ","<0.001",""," 0.101"
"CKD = 1 (%)","     2228 (  0.3) ","      804 (  0.4) ","      345 (  0.2) ","      203 (  0.2) ","      283 (  0.2) ","      593 (  0.6) ","<0.001",""," 0.037","       49 (  0.0) ","       16 (  0.0) ","        9 (  0.0) ","       17 (  0.0) ","      100 (  0.1) ","      755 ( 59.7) ","      329 ( 37.2) ","      194 ( 33.2) ","      266 ( 34.2) ","      493 ( 41.5) ","<0.001",""," 0.727"
"CKD_STAGE_1 = 1 (%)","       41 (  0.0) ","        1 (  0.0) ","        9 (  0.0) ","        7 (  0.0) ","        8 (  0.0) ","       16 (  0.0) ","<0.001",""," 0.008","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.1) ","        9 (  1.0) ","        7 (  1.2) ","        8 (  1.0) ","       16 (  1.3) ","<0.001",""," 0.087"
"CKD_STAGE_2 = 1 (%)","       31 (  0.0) ","        3 (  0.0) ","        5 (  0.0) ","        4 (  0.0) ","        8 (  0.0) ","       11 (  0.0) "," 0.002",""," 0.006","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        3 (  0.2) ","        5 (  0.6) ","        4 (  0.7) ","        8 (  1.0) ","       11 (  0.9) ","<0.001",""," 0.075"
"CKD_STAGE_3 = 1 (%)","       48 (  0.0) ","        5 (  0.0) ","        6 (  0.0) ","       12 (  0.0) ","       10 (  0.0) ","       15 (  0.0) ","<0.001",""," 0.007","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        5 (  0.4) ","        6 (  0.7) ","       12 (  2.1) ","       10 (  1.3) ","       15 (  1.3) ","<0.001",""," 0.098"
"CKD_STAGE_4 = 1 (%)","       24 (  0.0) ","        2 (  0.0) ","        2 (  0.0) ","        5 (  0.0) ","        3 (  0.0) ","       12 (  0.0) ","<0.001",""," 0.007","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        2 (  0.2) ","        2 (  0.2) ","        5 (  0.9) ","        3 (  0.4) ","       12 (  1.0) ","<0.001",""," 0.068"
"CKD_STAGE_5 = 1 (%)","      107 (  0.0) ","       10 (  0.0) ","        9 (  0.0) ","       12 (  0.0) ","       22 (  0.0) ","       54 (  0.1) ","<0.001",""," 0.015","        2 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        2 (  0.0) ","        8 (  0.0) ","        8 (  0.6) ","        8 (  0.9) ","       12 (  2.1) ","       20 (  2.6) ","       46 (  3.9) ","<0.001",""," 0.134"
"CLINIC = 1 (%)","   185907 ( 27.0) ","    38362 ( 20.4) ","    64686 ( 36.0) ","    30693 ( 27.5) ","    29527 ( 25.7) ","    22639 ( 24.0) ","<0.001",""," 0.156","    37958 ( 20.4) ","    64319 ( 36.0) ","    30512 ( 27.5) ","    29295 ( 25.7) ","    22371 ( 24.1) ","      404 ( 32.0) ","      367 ( 41.5) ","      181 ( 31.0) ","      232 ( 29.9) ","      268 ( 22.5) ","<0.001",""," 0.168"
"COPD = 1 (%)","    37892 (  5.5) ","    10905 (  5.8) ","    11240 (  6.3) ","     6133 (  5.5) ","     5427 (  4.7) ","     4187 (  4.4) ","<0.001",""," 0.042","    10791 (  5.8) ","    11150 (  6.2) ","     6068 (  5.5) ","     5362 (  4.7) ","     4074 (  4.4) ","      114 (  9.0) ","       90 ( 10.2) ","       65 ( 11.1) ","       65 (  8.4) ","      113 (  9.5) ","<0.001",""," 0.111"
"CVA = 1 (%)","      659 (  0.1) ","      245 (  0.1) ","      100 (  0.1) ","       75 (  0.1) ","      100 (  0.1) ","      139 (  0.1) ","<0.001",""," 0.016","      220 (  0.1) ","       94 (  0.1) ","       70 (  0.1) ","       87 (  0.1) ","      129 (  0.1) ","       25 (  2.0) ","        6 (  0.7) ","        5 (  0.9) ","       13 (  1.7) ","       10 (  0.8) ","<0.001",""," 0.092"
"CVD_HOSP = 1 (%)","     6232 (  0.9) ","     3383 (  1.8) ","     1165 (  0.6) ","      515 (  0.5) ","      632 (  0.6) ","      537 (  0.6) ","<0.001",""," 0.054","     3242 (  1.7) ","     1149 (  0.6) ","      501 (  0.5) ","      609 (  0.5) ","      505 (  0.5) ","      141 ( 11.2) ","       16 (  1.8) ","       14 (  2.4) ","       23 (  3.0) ","       32 (  2.7) ","<0.001",""," 0.159"
"DIALYSIS = 1 (%)","      107 (  0.0) ","       10 (  0.0) ","       10 (  0.0) ","       11 (  0.0) ","       23 (  0.0) ","       53 (  0.1) ","<0.001",""," 0.015","        2 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        3 (  0.0) ","        7 (  0.0) ","        8 (  0.6) ","        9 (  1.0) ","       11 (  1.9) ","       20 (  2.6) ","       46 (  3.9) ","<0.001",""," 0.134"
"DM = 1 (%)","     4053 (  0.6) ","      177 (  0.1) ","      499 (  0.3) ","      741 (  0.7) ","     1287 (  1.1) ","     1349 (  1.4) ","<0.001",""," 0.086","      173 (  0.1) ","      491 (  0.3) ","      727 (  0.7) ","     1231 (  1.1) ","     1274 (  1.4) ","        4 (  0.3) ","        8 (  0.9) ","       14 (  2.4) ","       56 (  7.2) ","       75 (  6.3) ","<0.001",""," 0.168"
"DYSRHYTH = 1 (%)","     2464 (  0.4) ","      638 (  0.3) ","      393 (  0.2) ","      329 (  0.3) ","      471 (  0.4) ","      633 (  0.7) ","<0.001",""," 0.032","      595 (  0.3) ","      377 (  0.2) ","      316 (  0.3) ","      452 (  0.4) ","      594 (  0.6) ","       43 (  3.4) ","       16 (  1.8) ","       13 (  2.2) ","       19 (  2.4) ","       39 (  3.3) ","<0.001",""," 0.121"
"ED = 1 (%)","   229819 ( 33.4) ","    76774 ( 40.9) ","    51113 ( 28.5) ","    29090 ( 26.1) ","    33666 ( 29.4) ","    39176 ( 41.6) ","<0.001",""," 0.186","    76069 ( 40.8) ","    50718 ( 28.4) ","    28854 ( 26.0) ","    33267 ( 29.2) ","    38376 ( 41.3) ","      705 ( 55.8) ","      395 ( 44.6) ","      236 ( 40.4) ","      399 ( 51.4) ","      800 ( 67.3) ","<0.001",""," 0.322"
"GI = 1 (%)","     1181 (  0.2) ","      382 (  0.2) ","      114 (  0.1) ","      110 (  0.1) ","      210 (  0.2) ","      365 (  0.4) ","<0.001",""," 0.034","      361 (  0.2) ","      105 (  0.1) ","      106 (  0.1) ","      193 (  0.2) ","      350 (  0.4) ","       21 (  1.7) ","        9 (  1.0) ","        4 (  0.7) ","       17 (  2.2) ","       15 (  1.3) ","<0.001",""," 0.095"
"HOMEHEALTH = 1 (%)","     3367 (  0.5) ","     2256 (  1.2) ","      291 (  0.2) ","      162 (  0.1) ","      262 (  0.2) ","      396 (  0.4) ","<0.001",""," 0.063","     2114 (  1.1) ","      253 (  0.1) ","      138 (  0.1) ","      226 (  0.2) ","      348 (  0.4) ","      142 ( 11.2) ","       38 (  4.3) ","       24 (  4.1) ","       36 (  4.6) ","       48 (  4.0) ","<0.001",""," 0.208"
"HTN = 1 (%)","     2589 (  0.4) ","      216 (  0.1) ","      241 (  0.1) ","      274 (  0.2) ","      702 (  0.6) ","     1156 (  1.2) ","<0.001",""," 0.073","      153 (  0.1) ","      190 (  0.1) ","      220 (  0.2) ","      599 (  0.5) ","      998 (  1.1) ","       63 (  5.0) ","       51 (  5.8) ","       54 (  9.2) ","      103 ( 13.3) ","      158 ( 13.3) ","<0.001",""," 0.284"
"ICDCRTD = 1 (%)","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.0) "," 0.178",""," 0.002","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.700",""," 0.001"
"INF_HOSP = 1 (%)","   188547 ( 27.4) ","    66045 ( 35.2) ","    46086 ( 25.7) ","    22207 ( 19.9) ","    24813 ( 21.6) ","    29396 ( 31.2) ","<0.001",""," 0.182","    65227 ( 35.0) ","    45545 ( 25.5) ","    21910 ( 19.7) ","    24405 ( 21.4) ","    28566 ( 30.7) ","      818 ( 64.7) ","      541 ( 61.1) ","      297 ( 50.9) ","      408 ( 52.5) ","      830 ( 69.8) ","<0.001",""," 0.492"
"LABXRAY = 1 (%)","   342574 ( 49.8) ","    95672 ( 51.0) ","    78355 ( 43.6) ","    48172 ( 43.2) ","    59436 ( 51.8) ","    60939 ( 64.7) ","<0.001",""," 0.209","    94444 ( 50.7) ","    77540 ( 43.4) ","    47629 ( 42.9) ","    58694 ( 51.5) ","    59802 ( 64.3) ","     1228 ( 97.2) ","      815 ( 92.1) ","      543 ( 93.0) ","      742 ( 95.5) ","     1137 ( 95.6) ","<0.001",""," 0.711"
"LIVERDIS = 1 (%)","      672 (  0.1) ","       84 (  0.0) ","       94 (  0.1) ","       88 (  0.1) ","      164 (  0.1) ","      242 (  0.3) ","<0.001",""," 0.028","       73 (  0.0) ","       86 (  0.0) ","       77 (  0.1) ","      151 (  0.1) ","      228 (  0.2) ","       11 (  0.9) ","        8 (  0.9) ","       11 (  1.9) ","       13 (  1.7) ","       14 (  1.2) ","<0.001",""," 0.096"
"NONKIDNEYTX = 1 (%)","      187 (  0.0) ","       29 (  0.0) ","       61 (  0.0) ","       37 (  0.0) ","       29 (  0.0) ","       31 (  0.0) "," 0.004",""," 0.006","       17 (  0.0) ","       50 (  0.0) ","       26 (  0.0) ","       19 (  0.0) ","       21 (  0.0) ","       12 (  0.9) ","       11 (  1.2) ","       11 (  1.9) ","       10 (  1.3) ","       10 (  0.8) ","<0.001",""," 0.096"
"NONPEDCONG = 1 (%)","     1752 (  0.3) ","      518 (  0.3) ","      206 (  0.1) ","      171 (  0.2) ","      307 (  0.3) ","      550 (  0.6) ","<0.001",""," 0.038","      469 (  0.3) ","      188 (  0.1) ","      156 (  0.1) ","      275 (  0.2) ","      496 (  0.5) ","       49 (  3.9) ","       18 (  2.0) ","       15 (  2.6) ","       32 (  4.1) ","       54 (  4.5) ","<0.001",""," 0.155"
"OPHOSPITAL = 1 (%)","   265182 ( 38.6) ","    85504 ( 45.6) ","    59085 ( 32.9) ","    34147 ( 30.6) ","    39330 ( 34.3) ","    47116 ( 50.0) ","<0.001",""," 0.213","    84442 ( 45.3) ","    58423 ( 32.7) ","    33736 ( 30.4) ","    38765 ( 34.0) ","    46099 ( 49.6) ","     1062 ( 84.0) ","      662 ( 74.8) ","      411 ( 70.4) ","      565 ( 72.7) ","     1017 ( 85.5) ","<0.001",""," 0.584"
"OTHCARDIAC = 1 (%)","     6470 (  0.9) ","     2545 (  1.4) ","     1116 (  0.6) ","      624 (  0.6) ","      939 (  0.8) ","     1246 (  1.3) ","<0.001",""," 0.047","     2461 (  1.3) ","     1091 (  0.6) ","      598 (  0.5) ","      908 (  0.8) ","     1176 (  1.3) ","       84 (  6.6) ","       25 (  2.8) ","       26 (  4.5) ","       31 (  4.0) ","       70 (  5.9) ","<0.001",""," 0.158"
"PAD = 1 (%)","       18 (  0.0) ","        3 (  0.0) ","        2 (  0.0) ","        1 (  0.0) ","        1 (  0.0) ","       11 (  0.0) ","<0.001",""," 0.006","        3 (  0.0) ","        2 (  0.0) ","        1 (  0.0) ","        1 (  0.0) ","       11 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","<0.001",""," 0.005"
"PCI = 1 (%)","        2 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.0) "," 0.480",""," 0.003","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) "," 0.939",""," 0.001"
"PEDCKD = 1 (%)","     4699 (  0.7) ","     1264 (  0.7) ","      885 (  0.5) ","      584 (  0.5) ","      777 (  0.7) ","     1189 (  1.3) ","<0.001",""," 0.037","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","     1264 (100.0) ","      885 (100.0) ","      584 (100.0) ","      777 (100.0) ","     1189 (100.0) ","<0.001",""," NaN"
"PEDCONG = 1 (%)","     3745 (  0.5) ","     2298 (  1.2) ","      654 (  0.4) ","      288 (  0.3) ","      298 (  0.3) ","      207 (  0.2) ","<0.001",""," 0.052","     2173 (  1.2) ","      638 (  0.4) ","      281 (  0.3) ","      284 (  0.2) ","      196 (  0.2) ","      125 (  9.9) ","       16 (  1.8) ","        7 (  1.2) ","       14 (  1.8) ","       11 (  0.9) ","<0.001",""," 0.147"
"PHYSICIANF = 1 (%)","   551399 ( 80.2) ","   167951 ( 89.5) ","   139104 ( 77.4) ","    83760 ( 75.0) ","    87558 ( 76.3) ","    73026 ( 77.5) ","<0.001",""," 0.160","   166708 ( 89.4) ","   138277 ( 77.4) ","    83212 ( 74.9) ","    86829 ( 76.2) ","    71893 ( 77.3) ","     1243 ( 98.3) ","      827 ( 93.4) ","      548 ( 93.8) ","      729 ( 93.8) ","     1133 ( 95.3) ","<0.001",""," 0.329"
"PSYCH = 0 (%)","   687771 (100.0) ","   187638 (100.0) ","   179631 (100.0) ","   111633 (100.0) ","   114694 (100.0) ","    94175 (100.0) "," NA","","<0.001","   186374 (100.0) ","   178746 (100.0) ","   111049 (100.0) ","   113917 (100.0) ","    92986 (100.0) ","     1264 (100.0) ","      885 (100.0) ","      584 (100.0) ","      777 (100.0) ","     1189 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","      486 (  0.1) ","      117 (  0.1) ","       49 (  0.0) ","       54 (  0.0) ","       95 (  0.1) ","      171 (  0.2) ","<0.001",""," 0.023","      102 (  0.1) ","       44 (  0.0) ","       46 (  0.0) ","       77 (  0.1) ","      145 (  0.2) ","       15 (  1.2) ","        5 (  0.6) ","        8 (  1.4) ","       18 (  2.3) ","       26 (  2.2) ","<0.001",""," 0.110"
"RCPNT_DLVRY = 1 (%)","    34203 (  5.0) ","    28427 ( 15.1) ","        0 (  0.0) ","        0 (  0.0) ","      295 (  0.3) ","     5481 (  5.8) ","<0.001",""," 0.326","    28053 ( 15.1) ","        0 (  0.0) ","        0 (  0.0) ","      286 (  0.3) ","     5332 (  5.7) ","      374 ( 29.6) ","        0 (  0.0) ","        0 (  0.0) ","        9 (  1.2) ","      149 ( 12.5) ","<0.001",""," 0.379"
"SNF = 0 (%)","   687771 (100.0) ","   187638 (100.0) ","   179631 (100.0) ","   111633 (100.0) ","   114694 (100.0) ","    94175 (100.0) "," NA","","<0.001","   186374 (100.0) ","   178746 (100.0) ","   111049 (100.0) ","   113917 (100.0) ","    92986 (100.0) ","     1264 (100.0) ","      885 (100.0) ","      584 (100.0) ","      777 (100.0) ","     1189 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","       95 (  0.0) ","        2 (  0.0) ","       23 (  0.0) ","       18 (  0.0) ","       21 (  0.0) ","       31 (  0.0) ","<0.001",""," 0.011","        1 (  0.0) ","       10 (  0.0) ","        5 (  0.0) ","        6 (  0.0) ","       10 (  0.0) ","        1 (  0.1) ","       13 (  1.5) ","       13 (  2.2) ","       15 (  1.9) ","       21 (  1.8) ","<0.001",""," 0.111"
"age (mean (sd))","-54668.58 (166.23)","-54863.78 (29.68)","-54742.57 (38.25)","-54615.57 (30.75)","-54504.82 (30.69)","-54400.81 (30.71)","<0.001",""," 7.333","-54863.72 (29.67)","-54742.58 (38.25)","-54615.58 (30.74)","-54504.84 (30.69)","-54400.90 (30.69)","-54872.53 (29.98)","-54740.52 (39.08)","-54613.91 (31.38)","-54501.66 (30.75)","-54393.73 (31.36)","<0.001",""," 6.578"
"died = 0 (%)","   687771 (100.0) ","   187638 (100.0) ","   179631 (100.0) ","   111633 (100.0) ","   114694 (100.0) ","    94175 (100.0) "," NA","","<0.001","   186374 (100.0) ","   178746 (100.0) ","   111049 (100.0) ","   113917 (100.0) ","    92986 (100.0) ","     1264 (100.0) ","      885 (100.0) ","      584 (100.0) ","      777 (100.0) ","     1189 (100.0) "," NA","","<0.001"
