"","Overall","0","1","p","test","0","1","p","test","White","Black","Native American","Asian or PI","Hispanic","NA.","p","test"
"LABXRAY = 1 (%)","   639962 ( 52.7) ","   619295 ( 52.1) ","    20667 ( 80.8) ","<0.001","","   627556 ( 52.4) ","    12406 ( 76.3) ","<0.001","","   382597 ( 52.2) ","   207352 ( 54.2) ","     3968 ( 56.3) ","     7520 ( 45.5) ","    33387 ( 53.8) ","     5138 ( 40.1) ","<0.001",""
"LIVERDIS = 1 (%)","     4917 (  0.4) ","     4215 (  0.4) ","      702 (  2.7) ","<0.001","","     4227 (  0.4) ","      690 (  4.2) ","<0.001","","     2910 (  0.4) ","     1643 (  0.4) ","       38 (  0.5) ","      102 (  0.6) ","      192 (  0.3) ","       32 (  0.2) ","<0.001",""
"NONKIDNEYTX = 1 (%)","      458 (  0.0) ","      329 (  0.0) ","      129 (  0.5) ","<0.001","","      351 (  0.0) ","      107 (  0.7) ","<0.001","","      292 (  0.0) ","      125 (  0.0) ","        2 (  0.0) ","       10 (  0.1) ","       21 (  0.0) ","        8 (  0.1) "," 0.146",""
"NONPEDCONG = 1 (%)","    33465 (  2.8) ","    28415 (  2.4) ","     5050 ( 19.7) ","<0.001","","    29065 (  2.4) ","     4400 ( 27.1) ","<0.001","","    20069 (  2.7) ","    11624 (  3.0) ","      147 (  2.1) ","      604 (  3.7) ","      685 (  1.1) ","      336 (  2.6) ","<0.001",""
"OPHOSPITAL = 1 (%)","   498265 ( 41.1) ","   479069 ( 40.3) ","    19196 ( 75.1) ","<0.001","","   485709 ( 40.6) ","    12556 ( 77.3) ","<0.001","","   289768 ( 39.5) ","   171616 ( 44.9) ","     3575 ( 50.7) ","     5034 ( 30.4) ","    24507 ( 39.5) ","     3765 ( 29.4) ","<0.001",""
"OTHCARDIAC = 1 (%)","    20002 (  1.6) ","    17677 (  1.5) ","     2325 (  9.1) ","<0.001","","    18032 (  1.5) ","     1970 ( 12.1) ","<0.001","","    11918 (  1.6) ","     6728 (  1.8) ","      121 (  1.7) ","      311 (  1.9) ","      741 (  1.2) ","      183 (  1.4) ","<0.001",""
"PAD = 1 (%)","      318 (  0.0) ","      208 (  0.0) ","      110 (  0.4) ","<0.001","","      193 (  0.0) ","      125 (  0.8) ","<0.001","","      191 (  0.0) ","      108 (  0.0) ","        4 (  0.1) ","        2 (  0.0) ","       11 (  0.0) ","        2 (  0.0) "," 0.249",""
"PCI = 1 (%)","      541 (  0.0) ","      432 (  0.0) ","      109 (  0.4) ","<0.001","","      440 (  0.0) ","      101 (  0.6) ","<0.001","","      387 (  0.1) ","      107 (  0.0) ","        6 (  0.1) ","       16 (  0.1) ","       18 (  0.0) ","        7 (  0.1) ","<0.001",""
"PEDCKD = 1 (%)","    25573 (  2.1) ","        0 (  0.0) ","    25573 (100.0) ","<0.001","","    12209 (  1.0) ","    13364 ( 82.2) ","<0.001","","    14788 (  2.0) ","     9197 (  2.4) ","      138 (  2.0) ","      340 (  2.1) ","      892 (  1.4) ","      218 (  1.7) ","<0.001",""
"PEDCONG = 1 (%)","     4621 (  0.4) ","     4345 (  0.4) ","      276 (  1.1) ","<0.001","","     4389 (  0.4) ","      232 (  1.4) ","<0.001","","     2911 (  0.4) ","     1284 (  0.3) ","       34 (  0.5) ","       66 (  0.4) ","      243 (  0.4) ","       83 (  0.6) ","<0.001",""
"PHYSICIANF = 1 (%)","   964602 ( 79.5) ","   941027 ( 79.2) ","    23575 ( 92.2) ","<0.001","","   949673 ( 79.3) ","    14929 ( 91.9) ","<0.001","","   576974 ( 78.7) ","   310042 ( 81.1) ","     5401 ( 76.6) ","    13930 ( 84.2) ","    49253 ( 79.4) ","     9002 ( 70.3) ","<0.001",""
"PSYCH = 0 (%)","  1213765 (100.0) ","  1188192 (100.0) ","    25573 (100.0) "," NA","","  1197512 (100.0) ","    16253 (100.0) "," NA","","   733005 (100.0) ","   382332 (100.0) ","     7048 (100.0) ","    16539 (100.0) ","    62032 (100.0) ","    12809 (100.0) "," NA",""
"PVD = 1 (%)","    10860 (  0.9) ","     8763 (  0.7) ","     2097 (  8.2) ","<0.001","","     9068 (  0.8) ","     1792 ( 11.0) ","<0.001","","     6752 (  0.9) ","     3622 (  0.9) ","       52 (  0.7) ","      120 (  0.7) ","      200 (  0.3) ","      114 (  0.9) ","<0.001",""
"RCPNT_DLVRY = 1 (%)","    52627 (  4.3) ","    51527 (  4.3) ","     1100 (  4.3) "," 0.797","","    51838 (  4.3) ","      789 (  4.9) "," 0.001","","    33733 (  4.6) ","    13842 (  3.6) ","      374 (  5.3) ","      712 (  4.3) ","     3240 (  5.2) ","      726 (  5.7) ","<0.001",""
"SNF = 0 (%)","  1213765 (100.0) ","  1188192 (100.0) ","    25573 (100.0) "," NA","","  1197512 (100.0) ","    16253 (100.0) "," NA","","   733005 (100.0) ","   382332 (100.0) ","     7048 (100.0) ","    16539 (100.0) ","    62032 (100.0) ","    12809 (100.0) "," NA",""
"TRANSPLANT = 1 (%)","      811 (  0.1) ","      440 (  0.0) ","      371 (  1.5) ","<0.001","","      418 (  0.0) ","      393 (  2.4) ","<0.001","","      434 (  0.1) ","      317 (  0.1) ","        1 (  0.0) ","       17 (  0.1) ","       29 (  0.0) ","       13 (  0.1) ","<0.001",""
"age (mean (sd))","-54234.00 (611.46)","-54244.97 (607.04)","-53724.49 (599.28)","<0.001","","-54242.42 (607.49)","-53613.74 (583.81)","<0.001","","-54211.44 (628.07)","-54245.37 (577.13)","-54366.61 (494.49)","-54056.04 (753.96)","-54478.86 (468.73)","-54156.86 (774.94)","<0.001",""
"died = 0 (%)","  1213765 (100.0) ","  1188192 (100.0) ","    25573 (100.0) "," NA","","  1197512 (100.0) ","    16253 (100.0) "," NA","","   733005 (100.0) ","   382332 (100.0) ","     7048 (100.0) ","    16539 (100.0) ","    62032 (100.0) ","    12809 (100.0) "," NA",""
