"","Overall","[0,21)","[21,120)","p","test","SMD","[0,21):0","[21,120):0","[0,21):1","[21,120):1","p","test","SMD"
"DIALYSIS = 1 (%)","   5714 (  0.3) ","   113 (  0.0) ","  5601 (  0.7) ","<0.001",""," 0.116","     1 (  0.0) ","    10 (  0.0) ","  112 (  2.9) "," 5591 ( 16.0) ","<0.001",""," 0.365"
"DM = 1 (%)"," 113849 (  6.6) ","  6002 (  0.6) ","107847 ( 13.6) ","<0.001",""," 0.520","  5832 (  0.6) "," 92732 ( 12.2) ","  170 (  4.5) ","15115 ( 43.3) ","<0.001",""," 0.664"
"DYSRHYTH = 1 (%)","  37367 (  2.2) ","  5047 (  0.5) "," 32320 (  4.1) ","<0.001",""," 0.237","  4852 (  0.5) "," 25606 (  3.4) ","  195 (  5.1) "," 6714 ( 19.2) ","<0.001",""," 0.366"
"ED = 1 (%)"," 704184 ( 40.9) ","360593 ( 38.8) ","343591 ( 43.3) ","<0.001",""," 0.093","358204 ( 38.7) ","322624 ( 42.6) "," 2389 ( 62.8) ","20967 ( 60.1) ","<0.001",""," 0.306"
"GI = 1 (%)","  16021 (  0.9) ","  2668 (  0.3) "," 13353 (  1.7) ","<0.001",""," 0.142","  2574 (  0.3) "," 10610 (  1.4) ","   94 (  2.5) "," 2743 (  7.9) ","<0.001",""," 0.223"
"HOMEHEALTH = 1 (%)","  14176 (  0.8) ","  2649 (  0.3) "," 11527 (  1.5) ","<0.001",""," 0.126","  2410 (  0.3) ","  7965 (  1.1) ","  239 (  6.3) "," 3562 ( 10.2) ","<0.001",""," 0.288"
"HTN = 1 (%)"," 173863 ( 10.1) ","  4635 (  0.5) ","169228 ( 21.3) ","<0.001",""," 0.709","  4188 (  0.5) ","146925 ( 19.4) ","  447 ( 11.7) ","22303 ( 63.9) ","<0.001",""," 0.917"
"ICDCRTD = 1 (%)","    133 (  0.0) ","     3 (  0.0) ","   130 (  0.0) ","<0.001",""," 0.018","     2 (  0.0) ","    68 (  0.0) ","    1 (  0.0) ","   62 (  0.2) ","<0.001",""," 0.035"
"INF_HOSP = 1 (%)"," 643115 ( 37.3) ","350100 ( 37.6) ","293015 ( 37.0) ","<0.001",""," 0.014","347659 ( 37.5) ","271638 ( 35.8) "," 2441 ( 64.1) ","21377 ( 61.2) ","<0.001",""," 0.375"
"LABXRAY = 1 (%)","1142733 ( 66.3) ","583969 ( 62.8) ","558764 ( 70.5) ","<0.001",""," 0.163","580241 ( 62.7) ","530864 ( 70.0) "," 3728 ( 98.0) ","27900 ( 79.9) ","<0.001",""," 0.532"
"LIVERDIS = 1 (%)","  11189 (  0.6) ","   905 (  0.1) "," 10284 (  1.3) ","<0.001",""," 0.145","   839 (  0.1) ","  8322 (  1.1) ","   66 (  1.7) "," 1962 (  5.6) ","<0.001",""," 0.193"
"NONKIDNEYTX = 1 (%)","    795 (  0.0) ","   246 (  0.0) ","   549 (  0.1) ","<0.001",""," 0.020","   194 (  0.0) ","   363 (  0.0) ","   52 (  1.4) ","  186 (  0.5) ","<0.001",""," 0.101"
"NONPEDCONG = 1 (%)","  73529 (  4.3) ","  3759 (  0.4) "," 69770 (  8.8) ","<0.001",""," 0.409","  3569 (  0.4) "," 56162 (  7.4) ","  190 (  5.0) ","13608 ( 39.0) ","<0.001",""," 0.596"
"OPHOSPITAL = 1 (%)"," 826873 ( 48.0) ","428332 ( 46.1) ","398541 ( 50.3) ","<0.001",""," 0.084","425330 ( 45.9) ","375597 ( 49.5) "," 3002 ( 78.9) ","22944 ( 65.7) ","<0.001",""," 0.412"
"OTHCARDIAC = 1 (%)","  51750 (  3.0) "," 15018 (  1.6) "," 36732 (  4.6) ","<0.001",""," 0.174"," 14660 (  1.6) "," 30955 (  4.1) ","  358 (  9.4) "," 5777 ( 16.6) ","<0.001",""," 0.314"
"PAD = 1 (%)","    778 (  0.0) ","    19 (  0.0) ","   759 (  0.1) ","<0.001",""," 0.042","    17 (  0.0) ","   391 (  0.1) ","    2 (  0.1) ","  368 (  1.1) ","<0.001",""," 0.080"
"PCI = 1 (%)","    977 (  0.1) ","     2 (  0.0) ","   975 (  0.1) ","<0.001",""," 0.049","     1 (  0.0) ","   687 (  0.1) ","    1 (  0.0) ","  288 (  0.8) ","<0.001",""," 0.075"
"PEDCKD = 1 (%)","  54988 (  3.2) ","  7896 (  0.8) "," 47092 (  5.9) ","<0.001",""," 0.284","  4461 (  0.5) "," 20371 (  2.7) "," 3435 ( 90.3) ","26721 ( 76.6) ","<0.001",""," 2.199"
"PEDCONG = 1 (%)","   8707 (  0.5) ","  6691 (  0.7) ","  2016 (  0.3) ","<0.001",""," 0.067","  6420 (  0.7) ","  1708 (  0.2) ","  271 (  7.1) ","  308 (  0.9) ","<0.001",""," 0.202"
"PHYSICIANF = 1 (%)","1535639 ( 89.1) ","829926 ( 89.2) ","705713 ( 89.0) ","<0.001",""," 0.008","826163 ( 89.2) ","671284 ( 88.6) "," 3763 ( 98.9) ","34429 ( 98.6) ","<0.001",""," 0.286"
"PSYCH = 0 (%)","1722837 (100.0) ","929899 (100.0) ","792938 (100.0) "," NA","","<0.001","926093 (100.0) ","758035 (100.0) "," 3806 (100.0) ","34903 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","  26663 (  1.5) ","  1043 (  0.1) "," 25620 (  3.2) ","<0.001",""," 0.245","   926 (  0.1) "," 19941 (  2.6) ","  117 (  3.1) "," 5679 ( 16.3) ","<0.001",""," 0.340"
"RCPNT_DLVRY = 1 (%)","  84355 (  4.9) "," 46328 (  5.0) "," 38027 (  4.8) ","<0.001",""," 0.009"," 45719 (  4.9) "," 37138 (  4.9) ","  609 ( 16.0) ","  889 (  2.5) ","<0.001",""," 0.244"
"SNF = 0 (%)","1722837 (100.0) ","929899 (100.0) ","792938 (100.0) "," NA","","<0.001","926093 (100.0) ","758035 (100.0) "," 3806 (100.0) ","34903 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","   1276 (  0.1) ","    95 (  0.0) ","  1181 (  0.1) ","<0.001",""," 0.049","    25 (  0.0) ","   449 (  0.1) ","   70 (  1.8) ","  732 (  2.1) ","<0.001",""," 0.139"
"age (mean (sd))","  25.12 (21.49)","  9.08 (5.67)"," 43.94 (17.61)","<0.001",""," 2.665","  9.08 (5.67)"," 43.40 (17.48)"," 8.49 (6.71)","55.52 (16.21)","<0.001",""," 2.285"
"died = 1 (%)","  11048 (  0.6) ","     2 (  0.0) "," 11046 (  1.4) ","<0.001",""," 0.168","     1 (  0.0) ","  9039 (  1.2) ","    1 (  0.0) "," 2007 (  5.8) ","<0.001",""," 0.213"
