"","Overall","[0,5)","[5,11)","[11,14)","[14,19)","[19,22)","p","test","SMD","[0,5):0","[5,11):0","[11,14):0","[14,19):0","[19,22):0","[0,5):1","[5,11):1","[11,14):1","[14,19):1","[19,22):1","p","test","SMD"
"total_elig_months (mean (sd))"," 10.98 (2.06)"," 10.32 (2.52)"," 11.28 (1.73)"," 11.35 (1.67)"," 11.30 (1.73)","10.38 (2.38)","<0.001",""," 0.283"," 10.32 (2.52)"," 11.28 (1.73)"," 11.35 (1.67)"," 11.30 (1.73)","10.38 (2.39)","9.91 (2.69)","11.49 (1.59)","11.54 (1.46)","11.38 (1.66)","10.79 (2.09)","<0.001",""," 0.315"
"elig_cat (%)","","","","","",""," NaN",""," 0.267","","","","","","","  ","  ","  ","  "," NaN",""," 0.301"
"   0 months","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","   0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   1-3 months","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","   0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   4-6 months"," 67660 (  7.1) "," 29268 ( 13.0) "," 13784 (  4.5) ","  5285 (  4.1) ","  8908 (  4.5) ","10415 ( 10.9) ","","",""," 29033 ( 13.0) "," 13751 (  4.5) ","  5274 (  4.1) ","  8879 (  4.5) ","10362 ( 10.9) "," 235 ( 16.7) ","   33 (  3.9) ","   11 (  3.2) ","   29 (  4.1) ","   53 (  6.9) ","","",""
"   7-9 months"," 93867 (  9.8) "," 32833 ( 14.6) "," 22285 (  7.3) ","  8589 (  6.6) "," 14306 (  7.2) ","15854 ( 16.5) ","","",""," 32568 ( 14.6) "," 22251 (  7.3) ","  8573 (  6.6) "," 14260 (  7.2) ","15746 ( 16.5) "," 265 ( 18.8) ","   34 (  4.0) ","   16 (  4.7) ","   46 (  6.6) ","  108 ( 14.0) ","","",""
"   9-12 months","795228 ( 83.1) ","162502 ( 72.4) ","270751 ( 88.2) ","116515 ( 89.4) ","175747 ( 88.3) ","69713 ( 72.6) ","","","","161592 ( 72.4) ","269962 ( 88.2) ","116200 ( 89.4) ","175123 ( 88.3) ","69101 ( 72.6) "," 910 ( 64.5) ","  789 ( 92.2) ","  315 ( 92.1) ","  624 ( 89.3) ","  612 ( 79.2) ","","",""
"AKI = 1 (%)","   469 (  0.0) ","   139 (  0.1) ","    54 (  0.0) ","    40 (  0.0) ","    96 (  0.0) ","  140 (  0.1) ","<0.001",""," 0.022","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) "," 139 (  9.9) ","   54 (  6.3) ","   40 ( 11.7) ","   96 ( 13.7) ","  140 ( 18.1) ","<0.001",""," 0.325"
"ANEMIA = 1 (%)"," 30484 (  3.2) "," 10177 (  4.5) ","  7574 (  2.5) ","  2640 (  2.0) ","  5522 (  2.8) "," 4571 (  4.8) ","<0.001",""," 0.084"," 10012 (  4.5) ","  7487 (  2.4) ","  2596 (  2.0) ","  5423 (  2.7) "," 4400 (  4.6) "," 165 ( 11.7) ","   87 ( 10.2) ","   44 ( 12.9) ","   99 ( 14.2) ","  171 ( 22.1) ","<0.001",""," 0.268"
"ASHD = 1 (%)","   282 (  0.0) ","    35 (  0.0) ","    28 (  0.0) ","    17 (  0.0) ","    85 (  0.0) ","  117 (  0.1) ","<0.001",""," 0.022","    32 (  0.0) ","    27 (  0.0) ","    17 (  0.0) ","    82 (  0.0) ","  110 (  0.1) ","   3 (  0.2) ","    1 (  0.1) ","    0 (  0.0) ","    3 (  0.4) ","    7 (  0.9) ","<0.001",""," 0.056"
"CABG = 1 (%)","     1 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) "," 0.714",""," 0.001","     0 (  0.0) ","     1 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","   0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) "," 0.989",""," 0.001"
"CANCER = 1 (%)","  1684 (  0.2) ","   174 (  0.1) ","   564 (  0.2) ","   260 (  0.2) ","   409 (  0.2) ","  277 (  0.3) ","<0.001",""," 0.021","   142 (  0.1) ","   496 (  0.2) ","   234 (  0.2) ","   361 (  0.2) ","  256 (  0.3) ","  32 (  2.3) ","   68 (  7.9) ","   26 (  7.6) ","   48 (  6.9) ","   21 (  2.7) ","<0.001",""," 0.212"
"CASCEA = 1 (%)","     1 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    1 (  0.0) "," 0.062",""," 0.002","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    1 (  0.0) ","   0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) "," 0.433",""," 0.001"
"CHF = 1 (%)","   888 (  0.1) ","   329 (  0.1) ","   153 (  0.0) ","    79 (  0.1) ","   175 (  0.1) ","  152 (  0.2) ","<0.001",""," 0.019","   279 (  0.1) ","   143 (  0.0) ","    66 (  0.1) ","   163 (  0.1) ","  140 (  0.1) ","  50 (  3.5) ","   10 (  1.2) ","   13 (  3.8) ","   12 (  1.7) ","   12 (  1.6) ","<0.001",""," 0.136"
"CKD = 1 (%)","  4080 (  0.4) ","  1410 (  0.6) ","   856 (  0.3) ","   342 (  0.3) ","   699 (  0.4) ","  773 (  0.8) ","<0.001",""," 0.041","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","1410 (100.0) ","  856 (100.0) ","  342 (100.0) ","  699 (100.0) ","  773 (100.0) ","<0.001",""," NaN"
"CKD_STAGE_1 = 1 (%)","   106 (  0.0) ","    21 (  0.0) ","    29 (  0.0) ","    10 (  0.0) ","    20 (  0.0) ","   26 (  0.0) ","<0.001",""," 0.006","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","  21 (  1.5) ","   29 (  3.4) ","   10 (  2.9) ","   20 (  2.9) ","   26 (  3.4) ","<0.001",""," 0.145"
"CKD_STAGE_2 = 1 (%)","    75 (  0.0) ","    13 (  0.0) ","    12 (  0.0) ","    15 (  0.0) ","    16 (  0.0) ","   19 (  0.0) ","<0.001",""," 0.007","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","  13 (  0.9) ","   12 (  1.4) ","   15 (  4.4) ","   16 (  2.3) ","   19 (  2.5) ","<0.001",""," 0.140"
"CKD_STAGE_3 = 1 (%)","   111 (  0.0) ","    15 (  0.0) ","    31 (  0.0) ","    14 (  0.0) ","    29 (  0.0) ","   22 (  0.0) "," 0.002",""," 0.006","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","  15 (  1.1) ","   31 (  3.6) ","   14 (  4.1) ","   29 (  4.1) ","   22 (  2.8) ","<0.001",""," 0.159"
"CKD_STAGE_4 = 1 (%)","    52 (  0.0) ","    13 (  0.0) ","    11 (  0.0) ","     5 (  0.0) ","    15 (  0.0) ","    8 (  0.0) "," 0.222",""," 0.003","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","  13 (  0.9) ","   11 (  1.3) ","    5 (  1.5) ","   15 (  2.1) ","    8 (  1.0) ","<0.001",""," 0.102"
"CKD_STAGE_5 = 1 (%)","   117 (  0.0) ","    15 (  0.0) ","    22 (  0.0) ","    13 (  0.0) ","    37 (  0.0) ","   30 (  0.0) ","<0.001",""," 0.009","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","  15 (  1.1) ","   22 (  2.6) ","   13 (  3.8) ","   37 (  5.3) ","   30 (  3.9) ","<0.001",""," 0.167"
"CLINIC = 1 (%)","240891 ( 25.2) "," 52019 ( 23.2) ","104997 ( 34.2) "," 26004 ( 19.9) "," 38905 ( 19.6) ","18966 ( 19.8) ","<0.001",""," 0.151"," 51676 ( 23.2) ","104669 ( 34.2) "," 25924 ( 19.9) "," 38777 ( 19.6) ","18796 ( 19.7) "," 343 ( 24.3) ","  328 ( 38.3) ","   80 ( 23.4) ","  128 ( 18.3) ","  170 ( 22.0) ","<0.001",""," 0.161"
"COPD = 1 (%)"," 79238 (  8.3) "," 17120 (  7.6) "," 29102 (  9.5) "," 11098 (  8.5) "," 15170 (  7.6) "," 6748 (  7.0) ","<0.001",""," 0.042"," 16974 (  7.6) "," 28970 (  9.5) "," 11052 (  8.5) "," 15069 (  7.6) "," 6627 (  7.0) "," 146 ( 10.4) ","  132 ( 15.4) ","   46 ( 13.5) ","  101 ( 14.4) ","  121 ( 15.7) ","<0.001",""," 0.130"
"CVA = 1 (%)","  1150 (  0.1) ","   407 (  0.2) ","   263 (  0.1) ","    98 (  0.1) ","   209 (  0.1) ","  173 (  0.2) ","<0.001",""," 0.017","   373 (  0.2) ","   253 (  0.1) ","    92 (  0.1) ","   200 (  0.1) ","  162 (  0.2) ","  34 (  2.4) ","   10 (  1.2) ","    6 (  1.8) ","    9 (  1.3) ","   11 (  1.4) ","<0.001",""," 0.102"
"CVD_HOSP = 1 (%)"," 10649 (  1.1) ","  5126 (  2.3) ","  2564 (  0.8) ","   769 (  0.6) ","  1436 (  0.7) ","  754 (  0.8) ","<0.001",""," 0.061","  4912 (  2.2) ","  2526 (  0.8) ","   757 (  0.6) ","  1416 (  0.7) ","  721 (  0.8) "," 214 ( 15.2) ","   38 (  4.4) ","   12 (  3.5) ","   20 (  2.9) ","   33 (  4.3) ","<0.001",""," 0.196"
"DIALYSIS = 1 (%)","   121 (  0.0) ","    16 (  0.0) ","    22 (  0.0) ","    14 (  0.0) ","    37 (  0.0) ","   32 (  0.0) ","<0.001",""," 0.010","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","    0 (  0.0) ","  16 (  1.1) ","   22 (  2.6) ","   14 (  4.1) ","   36 (  5.2) ","   32 (  4.1) ","<0.001",""," 0.169"
"DM = 1 (%)","  6660 (  0.7) ","   155 (  0.1) ","  1002 (  0.3) ","   993 (  0.8) ","  2586 (  1.3) "," 1924 (  2.0) ","<0.001",""," 0.105","   146 (  0.1) ","   989 (  0.3) ","   981 (  0.8) ","  2524 (  1.3) "," 1818 (  1.9) ","   9 (  0.6) ","   13 (  1.5) ","   12 (  3.5) ","   62 (  8.9) ","  106 ( 13.7) ","<0.001",""," 0.223"
"DYSRHYTH = 1 (%)","  5438 (  0.6) ","  1236 (  0.6) ","  1004 (  0.3) ","   523 (  0.4) ","  1510 (  0.8) "," 1165 (  1.2) ","<0.001",""," 0.051","  1150 (  0.5) ","   983 (  0.3) ","   505 (  0.4) ","  1476 (  0.7) "," 1106 (  1.2) ","  86 (  6.1) ","   21 (  2.5) ","   18 (  5.3) ","   34 (  4.9) ","   59 (  7.6) ","<0.001",""," 0.186"
"ED = 1 (%)","374704 ( 39.2) ","112003 ( 49.9) ","110474 ( 36.0) "," 38629 ( 29.6) "," 67798 ( 34.1) ","45800 ( 47.7) ","<0.001",""," 0.224","111135 ( 49.8) ","109972 ( 35.9) "," 38436 ( 29.6) "," 67352 ( 34.0) ","45191 ( 47.5) "," 868 ( 61.6) ","  502 ( 58.6) ","  193 ( 56.4) ","  446 ( 63.8) ","  609 ( 78.8) ","<0.001",""," 0.388"
"GI = 1 (%)","  2877 (  0.3) ","  1002 (  0.4) ","   434 (  0.1) ","   212 (  0.2) ","   579 (  0.3) ","  650 (  0.7) ","<0.001",""," 0.045","   956 (  0.4) ","   418 (  0.1) ","   207 (  0.2) ","   567 (  0.3) ","  629 (  0.7) ","  46 (  3.3) ","   16 (  1.9) ","    5 (  1.5) ","   12 (  1.7) ","   21 (  2.7) ","<0.001",""," 0.115"
"HOMEHEALTH = 1 (%)","  2758 (  0.3) ","  1782 (  0.8) ","   313 (  0.1) ","   123 (  0.1) ","   255 (  0.1) ","  285 (  0.3) ","<0.001",""," 0.052","  1637 (  0.7) ","   283 (  0.1) ","   110 (  0.1) ","   230 (  0.1) ","  247 (  0.3) "," 145 ( 10.3) ","   30 (  3.5) ","   13 (  3.8) ","   25 (  3.6) ","   38 (  4.9) ","<0.001",""," 0.205"
"HTN = 1 (%)","  5323 (  0.6) ","   285 (  0.1) ","   475 (  0.2) ","   474 (  0.4) ","  2045 (  1.0) "," 2044 (  2.1) ","<0.001",""," 0.103","   215 (  0.1) ","   398 (  0.1) ","   424 (  0.3) ","  1889 (  1.0) "," 1899 (  2.0) ","  70 (  5.0) ","   77 (  9.0) ","   50 ( 14.6) ","  156 ( 22.3) ","  145 ( 18.8) ","<0.001",""," 0.367"
"ICDCRTD = 1 (%)","     4 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     2 (  0.0) ","     1 (  0.0) ","    1 (  0.0) "," 0.134",""," 0.003","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","     1 (  0.0) ","    1 (  0.0) ","   0 (  0.0) ","    0 (  0.0) ","    1 (  0.3) ","    0 (  0.0) ","    0 (  0.0) ","<0.001",""," 0.017"
"INF_HOSP = 1 (%)","360795 ( 37.7) ","108246 ( 48.2) ","116860 ( 38.1) "," 37621 ( 28.9) "," 61204 ( 30.8) ","36864 ( 38.4) ","<0.001",""," 0.194","107334 ( 48.1) ","116297 ( 38.0) "," 37422 ( 28.8) "," 60781 ( 30.7) ","36319 ( 38.1) "," 912 ( 64.7) ","  563 ( 65.8) ","  199 ( 58.2) ","  423 ( 60.5) ","  545 ( 70.5) ","<0.001",""," 0.389"
"LABXRAY = 1 (%)","604689 ( 63.2) ","149721 ( 66.7) ","178070 ( 58.0) "," 74823 ( 57.4) ","130567 ( 65.6) ","71508 ( 74.5) ","<0.001",""," 0.182","148333 ( 66.5) ","177230 ( 57.9) "," 74490 ( 57.3) ","129887 ( 65.5) ","70759 ( 74.3) ","1388 ( 98.4) ","  840 ( 98.1) ","  333 ( 97.4) ","  680 ( 97.3) ","  749 ( 96.9) ","<0.001",""," 0.574"
"LIVERDIS = 1 (%)","  1010 (  0.1) ","   114 (  0.1) ","   137 (  0.0) ","   123 (  0.1) ","   325 (  0.2) ","  311 (  0.3) ","<0.001",""," 0.034","    96 (  0.0) ","   124 (  0.0) ","   116 (  0.1) ","   307 (  0.2) ","  294 (  0.3) ","  18 (  1.3) ","   13 (  1.5) ","    7 (  2.0) ","   18 (  2.6) ","   17 (  2.2) ","<0.001",""," 0.117"
"NONKIDNEYTX = 1 (%)","   255 (  0.0) ","    28 (  0.0) ","    87 (  0.0) ","    43 (  0.0) ","    74 (  0.0) ","   23 (  0.0) ","<0.001",""," 0.007","    17 (  0.0) ","    72 (  0.0) ","    30 (  0.0) ","    63 (  0.0) ","   21 (  0.0) ","  11 (  0.8) ","   15 (  1.8) ","   13 (  3.8) ","   11 (  1.6) ","    2 (  0.3) ","<0.001",""," 0.121"
"NONPEDCONG = 1 (%)","  4112 (  0.4) ","  1151 (  0.5) ","   678 (  0.2) ","   291 (  0.2) ","  1001 (  0.5) ","  991 (  1.0) ","<0.001",""," 0.052","  1066 (  0.5) ","   658 (  0.2) ","   277 (  0.2) ","   966 (  0.5) ","  930 (  1.0) ","  85 (  6.0) ","   20 (  2.3) ","   14 (  4.1) ","   35 (  5.0) ","   61 (  7.9) ","<0.001",""," 0.192"
"OPHOSPITAL = 1 (%)","443826 ( 46.4) ","127539 ( 56.8) ","135112 ( 44.0) "," 48394 ( 37.1) "," 81961 ( 41.2) ","50820 ( 52.9) ","<0.001",""," 0.207","126452 ( 56.7) ","134441 ( 43.9) "," 48134 ( 37.0) "," 81398 ( 41.1) ","50161 ( 52.7) ","1087 ( 77.1) ","  671 ( 78.4) ","  260 ( 76.0) ","  563 ( 80.5) ","  659 ( 85.3) ","<0.001",""," 0.482"
"OTHCARDIAC = 1 (%)"," 15811 (  1.7) ","  5690 (  2.5) ","  3422 (  1.1) ","  1251 (  1.0) ","  3056 (  1.5) "," 2392 (  2.5) ","<0.001",""," 0.069","  5540 (  2.5) ","  3371 (  1.1) ","  1225 (  0.9) ","  2988 (  1.5) "," 2305 (  2.4) "," 150 ( 10.6) ","   51 (  6.0) ","   26 (  7.6) ","   68 (  9.7) ","   87 ( 11.3) ","<0.001",""," 0.219"
"PAD = 1 (%)","    20 (  0.0) ","     6 (  0.0) ","     4 (  0.0) ","     0 (  0.0) ","     7 (  0.0) ","    3 (  0.0) "," 0.169",""," 0.004","     6 (  0.0) ","     4 (  0.0) ","     0 (  0.0) ","     5 (  0.0) ","    3 (  0.0) ","   0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    2 (  0.3) ","    0 (  0.0) ","<0.001",""," 0.018"
"PCI = 1 (%)","     3 (  0.0) ","     2 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    1 (  0.0) "," 0.199",""," 0.003","     1 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    1 (  0.0) ","   1 (  0.1) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","<0.001",""," 0.009"
"PEDCKD = 1 (%)","  8425 (  0.9) ","  2000 (  0.9) ","  2061 (  0.7) ","   898 (  0.7) ","  1925 (  1.0) "," 1541 (  1.6) ","<0.001",""," 0.042","   694 (  0.3) ","  1259 (  0.4) ","   586 (  0.5) ","  1309 (  0.7) ","  927 (  1.0) ","1306 ( 92.6) ","  802 ( 93.7) ","  312 ( 91.2) ","  616 ( 88.1) ","  614 ( 79.4) ","<0.001",""," 2.365"
"PEDCONG = 1 (%)","  6771 (  0.7) ","  3781 (  1.7) ","  1440 (  0.5) ","   457 (  0.4) ","   768 (  0.4) ","  325 (  0.3) ","<0.001",""," 0.058","  3567 (  1.6) ","  1411 (  0.5) ","   448 (  0.3) ","   759 (  0.4) ","  314 (  0.3) "," 214 ( 15.2) ","   29 (  3.4) ","    9 (  2.6) ","    9 (  1.3) ","   11 (  1.4) ","<0.001",""," 0.189"
"PHYSICIANF = 1 (%)","853109 ( 89.2) ","213312 ( 95.0) ","268590 ( 87.5) ","113467 ( 87.0) ","173672 ( 87.3) ","84068 ( 87.6) ","<0.001",""," 0.114","211910 ( 94.9) ","267750 ( 87.5) ","113131 ( 87.0) ","172981 ( 87.2) ","83303 ( 87.5) ","1402 ( 99.4) ","  840 ( 98.1) ","  336 ( 98.2) ","  691 ( 98.9) ","  765 ( 99.0) ","<0.001",""," 0.268"
"PSYCH = 0 (%)","956755 (100.0) ","224603 (100.0) ","306820 (100.0) ","130389 (100.0) ","198961 (100.0) ","95982 (100.0) "," NA","","<0.001","223193 (100.0) ","305964 (100.0) ","130047 (100.0) ","198262 (100.0) ","95209 (100.0) ","1410 (100.0) ","  856 (100.0) ","  342 (100.0) ","  699 (100.0) ","  773 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","  1128 (  0.1) ","   259 (  0.1) ","   189 (  0.1) ","    88 (  0.1) ","   332 (  0.2) ","  260 (  0.3) ","<0.001",""," 0.027","   210 (  0.1) ","   170 (  0.1) ","    82 (  0.1) ","   303 (  0.2) ","  234 (  0.2) ","  49 (  3.5) ","   19 (  2.2) ","    6 (  1.8) ","   29 (  4.1) ","   26 (  3.4) ","<0.001",""," 0.150"
"RCPNT_DLVRY = 1 (%)"," 49087 (  5.1) "," 42090 ( 18.7) ","     2 (  0.0) ","     1 (  0.0) ","  1058 (  0.5) "," 5936 (  6.2) ","<0.001",""," 0.364"," 41586 ( 18.6) ","     2 (  0.0) ","     1 (  0.0) ","  1039 (  0.5) "," 5777 (  6.1) "," 504 ( 35.7) ","    0 (  0.0) ","    0 (  0.0) ","   19 (  2.7) ","  159 ( 20.6) ","<0.001",""," 0.446"
"SNF = 0 (%)","956755 (100.0) ","224603 (100.0) ","306820 (100.0) ","130389 (100.0) ","198961 (100.0) ","95982 (100.0) "," NA","","<0.001","223193 (100.0) ","305964 (100.0) ","130047 (100.0) ","198262 (100.0) ","95209 (100.0) ","1410 (100.0) ","  856 (100.0) ","  342 (100.0) ","  699 (100.0) ","  773 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","   103 (  0.0) ","     7 (  0.0) ","    18 (  0.0) ","    13 (  0.0) ","    34 (  0.0) ","   31 (  0.0) ","<0.001",""," 0.011","     3 (  0.0) ","     4 (  0.0) ","     1 (  0.0) ","     8 (  0.0) ","   13 (  0.0) ","   4 (  0.3) ","   14 (  1.6) ","   12 (  3.5) ","   26 (  3.7) ","   18 (  2.3) ","<0.001",""," 0.143"
"age (mean (sd))","  9.40 (5.90)","  2.04 (1.08)","  6.86 (1.71)"," 11.50 (0.86)"," 15.43 (1.44)","19.39 (0.85)","<0.001",""," 7.537","  2.04 (1.08)","  6.86 (1.71)"," 11.50 (0.86)"," 15.43 (1.44)","19.39 (0.85)","1.56 (1.02)"," 6.67 (1.68)","11.39 (0.89)","15.72 (1.44)","19.58 (0.86)","<0.001",""," 6.910"
"died = 1 (%)","     4 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","    3 (  0.0) "," 0.001",""," 0.004","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    3 (  0.0) ","   0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    1 (  0.1) ","    0 (  0.0) ","<0.001",""," 0.012"
