"","Overall","[0,5)","[5,10)","[10,14)","[14,18)","[18,22)","p","test","SMD","[0,5):0","[5,10):0","[10,14):0","[14,18):0","[18,22):0","[0,5):1","[5,10):1","[10,14):1","[14,18):1","[18,22):1","p","test","SMD"
"   7-9 months"," 93867 (  9.8) "," 32833 ( 14.6) "," 19410 (  7.4) "," 11464 (  6.5) "," 11167 (  6.9) "," 18993 ( 14.3) ","","",""," 32497 ( 14.6) "," 19324 (  7.4) "," 11405 (  6.6) "," 11095 (  6.9) "," 18754 ( 14.3) ","  336 ( 16.8) ","   86 (  4.9) ","   59 (  4.9) ","   72 (  4.9) ","  239 ( 12.0) ","","",""
"   9-12 months","795228 ( 83.1) ","162502 ( 72.4) ","230642 ( 88.0) ","156624 ( 89.4) ","143481 ( 88.8) ","101979 ( 76.5) ","","","","161129 ( 72.4) ","229015 ( 88.0) ","155524 ( 89.4) ","142118 ( 88.7) ","100344 ( 76.4) "," 1373 ( 68.7) "," 1627 ( 92.1) "," 1100 ( 92.2) "," 1363 ( 92.2) "," 1635 ( 82.3) ","","",""
"AKI = 1 (%)","   469 (  0.0) ","   139 (  0.1) ","    50 (  0.0) ","    44 (  0.0) ","    66 (  0.0) ","   170 (  0.1) ","<0.001",""," 0.020","    76 (  0.0) ","    22 (  0.0) ","    20 (  0.0) ","    31 (  0.0) ","    96 (  0.1) ","   63 (  3.1) ","   28 (  1.6) ","   24 (  2.0) ","   35 (  2.4) ","   74 (  3.7) ","<0.001",""," 0.143"
"ANEMIA = 1 (%)"," 30484 (  3.2) "," 10177 (  4.5) ","  6725 (  2.6) ","  3489 (  2.0) ","  4273 (  2.6) ","  5820 (  4.4) ","<0.001",""," 0.077","  9973 (  4.5) ","  6583 (  2.5) ","  3405 (  2.0) ","  4148 (  2.6) ","  5525 (  4.2) ","  204 ( 10.2) ","  142 (  8.0) ","   84 (  7.0) ","  125 (  8.5) ","  295 ( 14.8) ","<0.001",""," 0.191"
"ASHD = 1 (%)","   282 (  0.0) ","    35 (  0.0) ","    25 (  0.0) ","    20 (  0.0) ","    66 (  0.0) ","   136 (  0.1) ","<0.001",""," 0.020","    31 (  0.0) ","    24 (  0.0) ","    20 (  0.0) ","    65 (  0.0) ","   130 (  0.1) ","    4 (  0.2) ","    1 (  0.1) ","    0 (  0.0) ","    1 (  0.1) ","    6 (  0.3) ","<0.001",""," 0.034"
"CABG = 1 (%)","     1 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) "," 0.618",""," 0.001","     0 (  0.0) ","     1 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) "," 0.976",""," 0.001"
"CANCER = 1 (%)","  1684 (  0.2) ","   174 (  0.1) ","   470 (  0.2) ","   354 (  0.2) ","   320 (  0.2) ","   366 (  0.3) ","<0.001",""," 0.020","   132 (  0.1) ","   389 (  0.1) ","   307 (  0.2) ","   275 (  0.2) ","   318 (  0.2) ","   42 (  2.1) ","   81 (  4.6) ","   47 (  3.9) ","   45 (  3.0) ","   48 (  2.4) ","<0.001",""," 0.152"
"CASCEA = 1 (%)","     1 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) "," 0.186",""," 0.002","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    1 (  0.1) ","<0.001",""," 0.006"
"CHF = 1 (%)","   888 (  0.1) ","   329 (  0.1) ","   133 (  0.1) ","    99 (  0.1) ","   138 (  0.1) ","   189 (  0.1) ","<0.001",""," 0.018","   286 (  0.1) ","   124 (  0.0) ","    84 (  0.0) ","   124 (  0.1) ","   171 (  0.1) ","   43 (  2.1) ","    9 (  0.5) ","   15 (  1.3) ","   14 (  0.9) ","   18 (  0.9) ","<0.001",""," 0.091"
"CKD = 1 (%)","  4080 (  0.4) ","  1410 (  0.6) ","   755 (  0.3) ","   443 (  0.3) ","   510 (  0.3) ","   962 (  0.7) ","<0.001",""," 0.037","   104 (  0.0) ","    49 (  0.0) ","    35 (  0.0) ","    57 (  0.0) ","   185 (  0.1) "," 1306 ( 65.3) ","  706 ( 40.0) ","  408 ( 34.2) ","  453 ( 30.6) ","  777 ( 39.1) ","<0.001",""," 0.760"
"CKD_STAGE_1 = 1 (%)","   106 (  0.0) ","    21 (  0.0) ","    24 (  0.0) ","    15 (  0.0) ","    16 (  0.0) ","    30 (  0.0) "," 0.001",""," 0.005","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   21 (  1.0) ","   24 (  1.4) ","   15 (  1.3) ","   16 (  1.1) ","   30 (  1.5) ","<0.001",""," 0.093"
"CKD_STAGE_2 = 1 (%)","    75 (  0.0) ","    13 (  0.0) ","    12 (  0.0) ","    15 (  0.0) ","    11 (  0.0) ","    24 (  0.0) ","<0.001",""," 0.006","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   13 (  0.6) ","   12 (  0.7) ","   15 (  1.3) ","   11 (  0.7) ","   24 (  1.2) ","<0.001",""," 0.082"
"CKD_STAGE_3 = 1 (%)","   111 (  0.0) ","    15 (  0.0) ","    27 (  0.0) ","    18 (  0.0) ","    24 (  0.0) ","    27 (  0.0) "," 0.004",""," 0.006","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   15 (  0.8) ","   27 (  1.5) ","   18 (  1.5) ","   24 (  1.6) ","   27 (  1.4) ","<0.001",""," 0.099"
"CKD_STAGE_4 = 1 (%)","    52 (  0.0) ","    13 (  0.0) ","    11 (  0.0) ","     5 (  0.0) ","     8 (  0.0) ","    15 (  0.0) "," 0.023",""," 0.005","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   13 (  0.6) ","   11 (  0.6) ","    5 (  0.4) ","    8 (  0.5) ","   15 (  0.8) ","<0.001",""," 0.065"
"CKD_STAGE_5 = 1 (%)","   117 (  0.0) ","    15 (  0.0) ","    22 (  0.0) ","    13 (  0.0) ","    22 (  0.0) ","    45 (  0.0) ","<0.001",""," 0.009","     2 (  0.0) ","     3 (  0.0) ","     2 (  0.0) ","     4 (  0.0) ","     8 (  0.0) ","   13 (  0.6) ","   19 (  1.1) ","   11 (  0.9) ","   18 (  1.2) ","   37 (  1.9) ","<0.001",""," 0.095"
"CLINIC = 1 (%)","240891 ( 25.2) "," 52019 ( 23.2) "," 96375 ( 36.8) "," 34626 ( 19.8) "," 31369 ( 19.4) "," 26502 ( 19.9) ","<0.001",""," 0.174"," 51545 ( 23.2) "," 95734 ( 36.8) "," 34364 ( 19.8) "," 31083 ( 19.4) "," 26081 ( 19.9) ","  474 ( 23.7) ","  641 ( 36.3) ","  262 ( 22.0) ","  286 ( 19.3) ","  421 ( 21.2) ","<0.001",""," 0.155"
"COPD = 1 (%)"," 79238 (  8.3) "," 17120 (  7.6) "," 25094 (  9.6) "," 15106 (  8.6) "," 12570 (  7.8) ","  9348 (  7.0) ","<0.001",""," 0.045"," 16913 (  7.6) "," 24849 (  9.5) "," 14955 (  8.6) "," 12377 (  7.7) ","  9114 (  6.9) ","  207 ( 10.3) ","  245 ( 13.9) ","  151 ( 12.7) ","  193 ( 13.0) ","  234 ( 11.8) ","<0.001",""," 0.100"
"CVA = 1 (%)","  1150 (  0.1) ","   407 (  0.2) ","   223 (  0.1) ","   138 (  0.1) ","   151 (  0.1) ","   231 (  0.2) ","<0.001",""," 0.016","   378 (  0.2) ","   209 (  0.1) ","   127 (  0.1) ","   141 (  0.1) ","   212 (  0.2) ","   29 (  1.4) ","   14 (  0.8) ","   11 (  0.9) ","   10 (  0.7) ","   19 (  1.0) ","<0.001",""," 0.075"
"CVD_HOSP = 1 (%)"," 10649 (  1.1) ","  5126 (  2.3) ","  2287 (  0.9) ","  1046 (  0.6) ","  1182 (  0.7) ","  1008 (  0.8) ","<0.001",""," 0.061","  4901 (  2.2) ","  2237 (  0.9) ","  1012 (  0.6) ","  1149 (  0.7) ","   953 (  0.7) ","  225 ( 11.2) ","   50 (  2.8) ","   34 (  2.8) ","   33 (  2.2) ","   55 (  2.8) ","<0.001",""," 0.151"
"DIALYSIS = 1 (%)","   121 (  0.0) ","    16 (  0.0) ","    22 (  0.0) ","    14 (  0.0) ","    21 (  0.0) ","    48 (  0.0) ","<0.001",""," 0.009","     2 (  0.0) ","     3 (  0.0) ","     2 (  0.0) ","     4 (  0.0) ","     9 (  0.0) ","   14 (  0.7) ","   19 (  1.1) ","   12 (  1.0) ","   17 (  1.1) ","   39 (  2.0) ","<0.001",""," 0.096"
"DM = 1 (%)","  6660 (  0.7) ","   155 (  0.1) ","   725 (  0.3) ","  1270 (  0.7) ","  2038 (  1.3) ","  2472 (  1.9) ","<0.001",""," 0.102","   146 (  0.1) ","   707 (  0.3) ","  1245 (  0.7) ","  1951 (  1.2) ","  2307 (  1.8) ","    9 (  0.4) ","   18 (  1.0) ","   25 (  2.1) ","   87 (  5.9) ","  165 (  8.3) ","<0.001",""," 0.172"
"DYSRHYTH = 1 (%)","  5438 (  0.6) ","  1236 (  0.6) ","   847 (  0.3) ","   680 (  0.4) ","  1155 (  0.7) ","  1520 (  1.1) ","<0.001",""," 0.048","  1152 (  0.5) ","   818 (  0.3) ","   651 (  0.4) ","  1118 (  0.7) ","  1430 (  1.1) ","   84 (  4.2) ","   29 (  1.6) ","   29 (  2.4) ","   37 (  2.5) ","   90 (  4.5) ","<0.001",""," 0.130"
"ED = 1 (%)","374704 ( 39.2) ","112003 ( 49.9) "," 96419 ( 36.8) "," 52684 ( 30.1) "," 53646 ( 33.2) "," 59952 ( 45.0) ","<0.001",""," 0.213","110775 ( 49.8) "," 95471 ( 36.7) "," 52129 ( 30.0) "," 52874 ( 33.0) "," 58555 ( 44.6) "," 1228 ( 61.4) ","  948 ( 53.7) ","  555 ( 46.5) ","  772 ( 52.2) "," 1397 ( 70.3) ","<0.001",""," 0.311"
"GI = 1 (%)","  2877 (  0.3) ","  1002 (  0.4) ","   379 (  0.1) ","   267 (  0.2) ","   394 (  0.2) ","   835 (  0.6) ","<0.001",""," 0.043","   941 (  0.4) ","   356 (  0.1) ","   258 (  0.1) ","   383 (  0.2) ","   797 (  0.6) ","   61 (  3.0) ","   23 (  1.3) ","    9 (  0.8) ","   11 (  0.7) ","   38 (  1.9) ","<0.001",""," 0.097"
"HOMEHEALTH = 1 (%)","  2758 (  0.3) ","  1782 (  0.8) ","   278 (  0.1) ","   158 (  0.1) ","   205 (  0.1) ","   335 (  0.3) ","<0.001",""," 0.051","  1615 (  0.7) ","   239 (  0.1) ","   134 (  0.1) ","   168 (  0.1) ","   277 (  0.2) ","  167 (  8.3) ","   39 (  2.2) ","   24 (  2.0) ","   37 (  2.5) ","   58 (  2.9) ","<0.001",""," 0.169"
"HTN = 1 (%)","  5323 (  0.6) ","   285 (  0.1) ","   373 (  0.1) ","   576 (  0.3) ","  1516 (  0.9) ","  2573 (  1.9) ","<0.001",""," 0.097","   206 (  0.1) ","   298 (  0.1) ","   508 (  0.3) ","  1352 (  0.8) ","  2327 (  1.8) ","   79 (  4.0) ","   75 (  4.2) ","   68 (  5.7) ","  164 ( 11.1) ","  246 ( 12.4) ","<0.001",""," 0.251"
"ICDCRTD = 1 (%)","     4 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     2 (  0.0) ","     1 (  0.0) ","     1 (  0.0) "," 0.315",""," 0.003","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","     1 (  0.0) ","     1 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    1 (  0.1) ","    0 (  0.0) ","    0 (  0.0) ","<0.001",""," 0.010"
"INF_HOSP = 1 (%)","360795 ( 37.7) ","108246 ( 48.2) ","102352 ( 39.1) "," 52129 ( 29.8) "," 48197 ( 29.8) "," 49871 ( 37.4) ","<0.001",""," 0.192","106948 ( 48.0) ","101190 ( 38.9) "," 51473 ( 29.6) "," 47356 ( 29.6) "," 48473 ( 36.9) "," 1298 ( 64.9) "," 1162 ( 65.8) ","  656 ( 55.0) ","  841 ( 56.9) "," 1398 ( 70.4) ","<0.001",""," 0.384"
"LABXRAY = 1 (%)","604689 ( 63.2) ","149721 ( 66.7) ","153378 ( 58.5) "," 99515 ( 56.8) ","104176 ( 64.4) "," 97899 ( 73.5) ","<0.001",""," 0.175","147776 ( 66.4) ","151670 ( 58.3) "," 98361 ( 56.5) ","102733 ( 64.1) "," 95956 ( 73.1) "," 1945 ( 97.2) "," 1708 ( 96.7) "," 1154 ( 96.7) "," 1443 ( 97.6) "," 1943 ( 97.8) ","<0.001",""," 0.566"
"LIVERDIS = 1 (%)","  1010 (  0.1) ","   114 (  0.1) ","   105 (  0.0) ","   155 (  0.1) ","   247 (  0.2) ","   389 (  0.3) ","<0.001",""," 0.032","    99 (  0.0) ","    94 (  0.0) ","   141 (  0.1) ","   230 (  0.1) ","   352 (  0.3) ","   15 (  0.8) ","   11 (  0.6) ","   14 (  1.2) ","   17 (  1.1) ","   37 (  1.9) ","<0.001",""," 0.088"
"NONKIDNEYTX = 1 (%)","   255 (  0.0) ","    28 (  0.0) ","    73 (  0.0) ","    57 (  0.0) ","    57 (  0.0) ","    40 (  0.0) ","<0.001",""," 0.006","    20 (  0.0) ","    60 (  0.0) ","    39 (  0.0) ","    46 (  0.0) ","    33 (  0.0) ","    8 (  0.4) ","   13 (  0.7) ","   18 (  1.5) ","   11 (  0.7) ","    7 (  0.4) ","<0.001",""," 0.077"
"NONPEDCONG = 1 (%)","  4112 (  0.4) ","  1151 (  0.5) ","   573 (  0.2) ","   396 (  0.2) ","   737 (  0.5) ","  1255 (  0.9) ","<0.001",""," 0.048","  1060 (  0.5) ","   541 (  0.2) ","   375 (  0.2) ","   700 (  0.4) ","  1157 (  0.9) ","   91 (  4.5) ","   32 (  1.8) ","   21 (  1.8) ","   37 (  2.5) ","   98 (  4.9) ","<0.001",""," 0.142"
"OPHOSPITAL = 1 (%)","443826 ( 46.4) ","127539 ( 56.8) ","117497 ( 44.8) "," 66009 ( 37.7) "," 65279 ( 40.4) "," 67502 ( 50.6) ","<0.001",""," 0.196","125970 ( 56.6) ","116186 ( 44.6) "," 65232 ( 37.5) "," 64270 ( 40.1) "," 65918 ( 50.2) "," 1569 ( 78.5) "," 1311 ( 74.2) ","  777 ( 65.1) "," 1009 ( 68.2) "," 1584 ( 79.7) ","<0.001",""," 0.411"
"OTHCARDIAC = 1 (%)"," 15811 (  1.7) ","  5690 (  2.5) ","  2981 (  1.1) ","  1692 (  1.0) ","  2363 (  1.5) ","  3085 (  2.3) ","<0.001",""," 0.066","  5533 (  2.5) ","  2906 (  1.1) ","  1639 (  0.9) ","  2283 (  1.4) ","  2924 (  2.2) ","  157 (  7.8) ","   75 (  4.2) ","   53 (  4.4) ","   80 (  5.4) ","  161 (  8.1) ","<0.001",""," 0.161"
"PAD = 1 (%)","    20 (  0.0) ","     6 (  0.0) ","     3 (  0.0) ","     1 (  0.0) ","     4 (  0.0) ","     6 (  0.0) "," 0.124",""," 0.004","     6 (  0.0) ","     2 (  0.0) ","     1 (  0.0) ","     3 (  0.0) ","     5 (  0.0) ","    0 (  0.0) ","    1 (  0.1) ","    0 (  0.0) ","    1 (  0.1) ","    1 (  0.1) ","<0.001",""," 0.018"
"PCI = 1 (%)","     3 (  0.0) ","     2 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) "," 0.280",""," 0.002","     2 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) "," 0.820",""," 0.001"
"PEDCKD = 1 (%)","  8425 (  0.9) ","  2000 (  0.9) ","  1766 (  0.7) ","  1193 (  0.7) ","  1479 (  0.9) ","  1987 (  1.5) ","<0.001",""," 0.037","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) "," 2000 (100.0) "," 1766 (100.0) "," 1193 (100.0) "," 1479 (100.0) "," 1987 (100.0) ","<0.001",""," NaN"
"PEDCONG = 1 (%)","  6771 (  0.7) ","  3781 (  1.7) ","  1251 (  0.5) ","   646 (  0.4) ","   621 (  0.4) ","   472 (  0.4) ","<0.001",""," 0.057","  3542 (  1.6) ","  1214 (  0.5) ","   623 (  0.4) ","   603 (  0.4) ","   454 (  0.3) ","  239 ( 11.9) ","   37 (  2.1) ","   23 (  1.9) ","   18 (  1.2) ","   18 (  0.9) ","<0.001",""," 0.155"
"PHYSICIANF = 1 (%)","853109 ( 89.2) ","213312 ( 95.0) ","229662 ( 87.6) ","152395 ( 87.0) ","140932 ( 87.2) ","116808 ( 87.6) ","<0.001",""," 0.115","211325 ( 94.9) ","227940 ( 87.6) ","151255 ( 86.9) ","139507 ( 87.1) ","114865 ( 87.5) "," 1987 ( 99.4) "," 1722 ( 97.5) "," 1140 ( 95.6) "," 1425 ( 96.3) "," 1943 ( 97.8) ","<0.001",""," 0.238"
"PSYCH = 0 (%)","956755 (100.0) ","224603 (100.0) ","262050 (100.0) ","175159 (100.0) ","161661 (100.0) ","133282 (100.0) "," NA","","<0.001","222603 (100.0) ","260284 (100.0) ","173966 (100.0) ","160182 (100.0) ","131295 (100.0) "," 2000 (100.0) "," 1766 (100.0) "," 1193 (100.0) "," 1479 (100.0) "," 1987 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","  1128 (  0.1) ","   259 (  0.1) ","   155 (  0.1) ","   122 (  0.1) ","   245 (  0.2) ","   347 (  0.3) ","<0.001",""," 0.026","   212 (  0.1) ","   132 (  0.1) ","   104 (  0.1) ","   224 (  0.1) ","   302 (  0.2) ","   47 (  2.4) ","   23 (  1.3) ","   18 (  1.5) ","   21 (  1.4) ","   45 (  2.3) ","<0.001",""," 0.110"
"RCPNT_DLVRY = 1 (%)"," 49087 (  5.1) "," 42090 ( 18.7) ","     2 (  0.0) ","     1 (  0.0) ","   459 (  0.3) ","  6535 (  4.9) ","<0.001",""," 0.355"," 41436 ( 18.6) ","     2 (  0.0) ","     1 (  0.0) ","   444 (  0.3) ","  6325 (  4.8) ","  654 ( 32.7) ","    0 (  0.0) ","    0 (  0.0) ","   15 (  1.0) ","  210 ( 10.6) ","<0.001",""," 0.399"
"SNF = 0 (%)","956755 (100.0) ","224603 (100.0) ","262050 (100.0) ","175159 (100.0) ","161661 (100.0) ","133282 (100.0) "," NA","","<0.001","222603 (100.0) ","260284 (100.0) ","173966 (100.0) ","160182 (100.0) ","131295 (100.0) "," 2000 (100.0) "," 1766 (100.0) "," 1193 (100.0) "," 1479 (100.0) "," 1987 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","   103 (  0.0) ","     7 (  0.0) ","    18 (  0.0) ","    13 (  0.0) ","    22 (  0.0) ","    43 (  0.0) ","<0.001",""," 0.011","     3 (  0.0) ","     1 (  0.0) ","     0 (  0.0) ","     7 (  0.0) ","    11 (  0.0) ","    4 (  0.2) ","   17 (  1.0) ","   13 (  1.1) ","   15 (  1.0) ","   32 (  1.6) ","<0.001",""," 0.091"
"age (mean (sd))","  9.40 (5.90)","  2.04 (1.08)","  6.41 (1.42)"," 10.99 (1.16)"," 14.96 (1.16)"," 18.86 (1.13)","<0.001",""," 7.182","  2.04 (1.08)","  6.41 (1.42)"," 10.99 (1.16)"," 14.96 (1.16)"," 18.86 (1.13)"," 1.69 (1.07)"," 6.38 (1.40)","11.02 (1.17)","15.10 (1.14)","19.06 (1.16)","<0.001",""," 6.491"
"died = 1 (%)","     4 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","     3 (  0.0) "," 0.009",""," 0.003","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","     2 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    1 (  0.1) ","<0.001",""," 0.008"
