"","Overall","0","1","p","test","SMD","White","Black","Native American","Asian or PI","Hispanic","NA.","p","test","SMD"
"CKD_STAGE_2 = 1 (%)","      661 (  0.0) ","        0 (  0.0) ","      661 (  2.9) ","<0.001",""," 0.246","      269 (  0.0) ","      363 (  0.1) ","        0 (  0.0) ","        8 (  0.0) ","       12 (  0.0) ","        9 (  0.0) ","<0.001",""," 0.018"
"CKD_STAGE_3 = 1 (%)","     2413 (  0.2) ","        0 (  0.0) ","     2413 ( 10.7) ","<0.001",""," 0.490","     1155 (  0.1) ","     1130 (  0.2) ","        1 (  0.0) ","       45 (  0.2) ","       56 (  0.1) ","       26 (  0.1) ","<0.001",""," 0.030"
"CKD_STAGE_4 = 1 (%)","     1232 (  0.1) ","        0 (  0.0) ","     1232 (  5.5) ","<0.001",""," 0.340","      558 (  0.1) ","      594 (  0.1) ","        2 (  0.0) ","       29 (  0.1) ","       36 (  0.0) ","       13 (  0.1) ","<0.001",""," 0.019"
"CKD_STAGE_5 = 1 (%)","     5429 (  0.4) ","        0 (  0.0) ","     5429 ( 24.1) ","<0.001",""," 0.796","     1928 (  0.2) ","     3175 (  0.7) ","       16 (  0.2) ","       98 (  0.5) ","      155 (  0.2) ","       57 (  0.3) ","<0.001",""," 0.034"
"CLINIC = 1 (%)","   301369 ( 20.6) ","   297533 ( 20.6) ","     3836 ( 17.0) ","<0.001",""," 0.093","   186222 ( 21.4) ","    82951 ( 17.5) ","     3044 ( 39.1) ","     2654 ( 12.9) ","    21469 ( 28.7) ","     5029 ( 27.1) ","<0.001",""," 0.270"
"COPD = 1 (%)","   133831 (  9.1) ","   128849 (  8.9) ","     4982 ( 22.1) ","<0.001",""," 0.370","    76671 (  8.8) ","    49005 ( 10.3) ","      603 (  7.7) ","     1455 (  7.1) ","     4860 (  6.5) ","     1237 (  6.7) ","<0.001",""," 0.064"
"CVA = 1 (%)","    18070 (  1.2) ","    15689 (  1.1) ","     2381 ( 10.6) ","<0.001",""," 0.413","     9949 (  1.1) ","     7114 (  1.5) ","       57 (  0.7) ","      347 (  1.7) ","      338 (  0.5) ","      265 (  1.4) ","<0.001",""," 0.057"
"CVD_HOSP = 1 (%)","    15341 (  1.0) ","    14352 (  1.0) ","      989 (  4.4) ","<0.001",""," 0.211","     8861 (  1.0) ","     5187 (  1.1) ","       91 (  1.2) ","      160 (  0.8) ","      786 (  1.1) ","      256 (  1.4) ","<0.001",""," 0.023"
"DIALYSIS = 1 (%)","     5290 (  0.4) ","       10 (  0.0) ","     5280 ( 23.4) ","<0.001",""," 0.782","     1881 (  0.2) ","     3090 (  0.7) ","       16 (  0.2) ","       94 (  0.5) ","      153 (  0.2) ","       56 (  0.3) ","<0.001",""," 0.033"
"DM = 1 (%)","    82274 (  5.6) ","    74347 (  5.2) ","     7927 ( 35.1) ","<0.001",""," 0.806","    46437 (  5.3) ","    30172 (  6.4) ","      363 (  4.7) ","     1686 (  8.2) ","     2890 (  3.9) ","      726 (  3.9) ","<0.001",""," 0.085"
"DYSRHYTH = 1 (%)","    23631 (  1.6) ","    20099 (  1.4) ","     3532 ( 15.7) ","<0.001",""," 0.528","    14156 (  1.6) ","     8196 (  1.7) ","       78 (  1.0) ","      370 (  1.8) ","      524 (  0.7) ","      307 (  1.7) ","<0.001",""," 0.046"
"ED = 1 (%)","   582284 ( 39.7) ","   568770 ( 39.4) ","    13514 ( 59.9) ","<0.001",""," 0.419","   315620 ( 36.3) ","   224942 ( 47.4) ","     3063 ( 39.3) ","     4607 ( 22.3) ","    29386 ( 39.3) ","     4666 ( 25.2) ","<0.001",""," 0.246"
"GI = 1 (%)","    11892 (  0.8) ","    10284 (  0.7) ","     1608 (  7.1) ","<0.001",""," 0.335","     6885 (  0.8) ","     4238 (  0.9) ","       54 (  0.7) ","      219 (  1.1) ","      383 (  0.5) ","      113 (  0.6) ","<0.001",""," 0.028"
"HOMEHEALTH = 1 (%)","    13795 (  0.9) ","    11180 (  0.8) ","     2615 ( 11.6) ","<0.001",""," 0.461","     7446 (  0.9) ","     5147 (  1.1) ","       47 (  0.6) ","      198 (  1.0) ","      636 (  0.9) ","      321 (  1.7) ","<0.001",""," 0.041"
"HTN = 1 (%)","   109779 (  7.5) ","    98564 (  6.8) ","    11215 ( 49.7) ","<0.001",""," 1.083","    52521 (  6.0) ","    51353 ( 10.8) ","      347 (  4.5) ","     1912 (  9.3) ","     2658 (  3.6) ","      988 (  5.3) ","<0.001",""," 0.136"
"ICDCRTD = 1 (%)","       96 (  0.0) ","       56 (  0.0) ","       40 (  0.2) ","<0.001",""," 0.058","       49 (  0.0) ","       44 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        2 (  0.0) ","        1 (  0.0) "," 0.073",""," 0.007"
"INF_HOSP = 1 (%)","   538775 ( 36.8) ","   525819 ( 36.5) ","    12956 ( 57.4) ","<0.001",""," 0.430","   325067 ( 37.4) ","   171670 ( 36.2) ","     2919 ( 37.5) ","     6502 ( 31.5) ","    27472 ( 36.8) ","     5145 ( 27.8) ","<0.001",""," 0.095"
"LABXRAY = 1 (%)","   951122 ( 64.9) ","   932814 ( 64.7) ","    18308 ( 81.2) ","<0.001",""," 0.378","   553735 ( 63.7) ","   320266 ( 67.5) ","     5069 ( 65.1) ","    11825 ( 57.3) ","    50091 ( 67.0) ","    10136 ( 54.7) ","<0.001",""," 0.131"
"LIVERDIS = 1 (%)","     9486 (  0.6) ","     8336 (  0.6) ","     1150 (  5.1) ","<0.001",""," 0.275","     5516 (  0.6) ","     3271 (  0.7) ","       45 (  0.6) ","      207 (  1.0) ","      352 (  0.5) ","       95 (  0.5) ","<0.001",""," 0.026"
"NONKIDNEYTX = 1 (%)","      519 (  0.0) ","      390 (  0.0) ","      129 (  0.6) ","<0.001",""," 0.100","      339 (  0.0) ","      136 (  0.0) ","        2 (  0.0) ","       10 (  0.0) ","       24 (  0.0) ","        8 (  0.0) "," 0.051",""," 0.006"
"NONPEDCONG = 1 (%)","    53526 (  3.7) ","    46076 (  3.2) ","     7450 ( 33.0) ","<0.001",""," 0.840","    31038 (  3.6) ","    19559 (  4.1) ","      167 (  2.1) ","     1026 (  5.0) ","     1064 (  1.4) ","      672 (  3.6) ","<0.001",""," 0.092"
"OPHOSPITAL = 1 (%)","   676633 ( 46.2) ","   659514 ( 45.7) ","    17119 ( 75.9) ","<0.001",""," 0.650","   377947 ( 43.5) ","   249115 ( 52.5) ","     3610 ( 46.4) ","     6412 ( 31.1) ","    33636 ( 45.0) ","     5913 ( 31.9) ","<0.001",""," 0.209"
"OTHCARDIAC = 1 (%)","    37526 (  2.6) ","    33809 (  2.3) ","     3717 ( 16.5) ","<0.001",""," 0.499","    21765 (  2.5) ","    13258 (  2.8) ","      163 (  2.1) ","      540 (  2.6) ","     1360 (  1.8) ","      440 (  2.4) ","<0.001",""," 0.029"
"PAD = 1 (%)","      358 (  0.0) ","      198 (  0.0) ","      160 (  0.7) ","<0.001",""," 0.116","      210 (  0.0) ","      122 (  0.0) ","        4 (  0.1) ","        6 (  0.0) ","        7 (  0.0) ","        9 (  0.0) "," 0.014",""," 0.011"
"PCI = 1 (%)","      471 (  0.0) ","      376 (  0.0) ","       95 (  0.4) ","<0.001",""," 0.084","      342 (  0.0) ","      102 (  0.0) ","        1 (  0.0) ","        6 (  0.0) ","       13 (  0.0) ","        7 (  0.0) ","<0.001",""," 0.008"
"PEDCKD = 1 (%)","    39406 (  2.7) ","    20802 (  1.4) ","    18604 ( 82.5) ","<0.001",""," 2.878","    22967 (  2.6) ","    14045 (  3.0) ","      150 (  1.9) ","      572 (  2.8) ","     1243 (  1.7) ","      429 (  2.3) ","<0.001",""," 0.042"
"PEDCONG = 1 (%)","     6845 (  0.5) ","     6463 (  0.4) ","      382 (  1.7) ","<0.001",""," 0.121","     4378 (  0.5) ","     1810 (  0.4) ","       39 (  0.5) ","       80 (  0.4) ","      377 (  0.5) ","      161 (  0.9) ","<0.001",""," 0.024"
"PHYSICIANF = 1 (%)","  1274226 ( 87.0) ","  1252550 ( 86.8) ","    21676 ( 96.1) ","<0.001",""," 0.337","   745114 ( 85.8) ","   424883 ( 89.6) ","     6134 ( 78.8) ","    18644 ( 90.3) ","    64885 ( 86.8) ","    14566 ( 78.6) ","<0.001",""," 0.172"
"PSYCH = 0 (%)","  1464868 (100.0) ","  1442315 (100.0) ","    22553 (100.0) "," NA","","<0.001","   868821 (100.0) ","   474367 (100.0) ","     7787 (100.0) ","    20637 (100.0) ","    74720 (100.0) ","    18536 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","    18371 (  1.3) ","    15220 (  1.1) ","     3151 ( 14.0) ","<0.001",""," 0.505","    10879 (  1.3) ","     6666 (  1.4) ","       61 (  0.8) ","      232 (  1.1) ","      323 (  0.4) ","      210 (  1.1) ","<0.001",""," 0.044"
"RCPNT_DLVRY = 1 (%)","    54928 (  3.7) ","    53975 (  3.7) ","      953 (  4.2) ","<0.001",""," 0.025","    34915 (  4.0) ","    14746 (  3.1) ","      326 (  4.2) ","      804 (  3.9) ","     3130 (  4.2) ","     1007 (  5.4) ","<0.001",""," 0.042"
"SNF = 0 (%)","  1464868 (100.0) ","  1442315 (100.0) ","    22553 (100.0) "," NA","","<0.001","   868821 (100.0) ","   474367 (100.0) ","     7787 (100.0) ","    20637 (100.0) ","    74720 (100.0) ","    18536 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","     1037 (  0.1) ","      476 (  0.0) ","      561 (  2.5) ","<0.001",""," 0.221","      562 (  0.1) ","      398 (  0.1) ","        1 (  0.0) ","       25 (  0.1) ","       39 (  0.1) ","       12 (  0.1) ","<0.001",""," 0.017"
"age (mean (sd))","-54277.67 (603.43)","-54287.29 (598.80)","-53662.24 (579.10)","<0.001",""," 1.061","-54255.27 (624.01)","-54288.35 (567.76)","-54394.83 (484.88)","-54115.08 (733.16)","-54502.16 (450.44)","-54281.01 (703.78)","<0.001",""," 0.267"
"died = 0 (%)","  1464868 (100.0) ","  1442315 (100.0) ","    22553 (100.0) "," NA","","<0.001","   868821 (100.0) ","   474367 (100.0) ","     7787 (100.0) ","    20637 (100.0) ","    74720 (100.0) ","    18536 (100.0) "," NA","","<0.001"
