"","Overall","[0,22)","[22,120)","p","test","SMD","[0,22):0","[22,120):0","[0,22):1","[22,120):1","p","test","SMD"
"CASCEA = 1 (%)","       93 (  0.0) ","        0 (  0.0) ","       93 (  0.0) ","<0.001",""," 0.017","        0 (  0.0) ","       65 (  0.0) ","        0 (  0.0) ","       28 (  0.1) ","<0.001",""," 0.031"
"CHF = 1 (%)","    21594 (  1.5) ","      888 (  0.1) ","    20706 (  3.3) ","<0.001",""," 0.251","      795 (  0.1) ","    15970 (  2.7) ","       93 (  2.9) ","     4736 ( 24.5) ","<0.001",""," 0.434"
"CKD = 1 (%)","    22553 (  1.5) ","     3220 (  0.4) ","    19333 (  3.1) ","<0.001",""," 0.210","        0 (  0.0) ","        0 (  0.0) ","     3220 (100.0) ","    19333 (100.0) ","<0.001",""," NaN"
"CKD_STAGE_1 = 1 (%)","      351 (  0.0) ","       49 (  0.0) ","      302 (  0.0) ","<0.001",""," 0.026","        0 (  0.0) ","        0 (  0.0) ","       49 (  1.5) ","      302 (  1.6) ","<0.001",""," 0.119"
"CKD_STAGE_2 = 1 (%)","      661 (  0.0) ","       52 (  0.0) ","      609 (  0.1) ","<0.001",""," 0.040","        0 (  0.0) ","        0 (  0.0) ","       52 (  1.6) ","      609 (  3.2) ","<0.001",""," 0.162"
"CKD_STAGE_3 = 1 (%)","     2413 (  0.2) ","       73 (  0.0) ","     2340 (  0.4) ","<0.001",""," 0.084","        0 (  0.0) ","        0 (  0.0) ","       73 (  2.3) ","     2340 ( 12.1) ","<0.001",""," 0.311"
"CKD_STAGE_4 = 1 (%)","     1232 (  0.1) ","       30 (  0.0) ","     1202 (  0.2) ","<0.001",""," 0.061","        0 (  0.0) ","        0 (  0.0) ","       30 (  0.9) ","     1202 (  6.2) ","<0.001",""," 0.215"
"CKD_STAGE_5 = 1 (%)","     5429 (  0.4) ","      126 (  0.0) ","     5303 (  0.9) ","<0.001",""," 0.128","        0 (  0.0) ","        0 (  0.0) ","      126 (  3.9) ","     5303 ( 27.4) ","<0.001",""," 0.499"
"CLINIC = 1 (%)","   301369 ( 20.6) ","   211055 ( 25.0) ","    90311 ( 14.6) ","<0.001",""," 0.262","   210045 ( 24.9) ","    87485 ( 14.6) ","     1010 ( 31.4) ","     2826 ( 14.6) ","<0.001",""," 0.247"
"COPD = 1 (%)","   133831 (  9.1) ","    63803 (  7.5) ","    70027 ( 11.3) ","<0.001",""," 0.129","    63384 (  7.5) ","    65464 ( 10.9) ","      419 ( 13.0) ","     4563 ( 23.6) ","<0.001",""," 0.239"
"CVA = 1 (%)","    18070 (  1.2) ","     1075 (  0.1) ","    16995 (  2.7) ","<0.001",""," 0.221","     1001 (  0.1) ","    14688 (  2.4) ","       74 (  2.3) ","     2307 ( 11.9) ","<0.001",""," 0.281"
"CVD_HOSP = 1 (%)","    15341 (  1.0) ","     9500 (  1.1) ","     5841 (  0.9) ","<0.001",""," 0.018","     9255 (  1.1) ","     5097 (  0.8) ","      245 (  7.6) ","      744 (  3.8) ","<0.001",""," 0.205"
"DIALYSIS = 1 (%)","     5290 (  0.4) ","      124 (  0.0) ","     5166 (  0.8) ","<0.001",""," 0.126","        2 (  0.0) ","        8 (  0.0) ","      122 (  3.8) ","     5158 ( 26.7) ","<0.001",""," 0.491"
"DM = 1 (%)","    82274 (  5.6) ","     6622 (  0.8) ","    75652 ( 12.2) ","<0.001",""," 0.477","     6471 (  0.8) ","    67876 ( 11.3) ","      151 (  4.7) ","     7776 ( 40.2) ","<0.001",""," 0.617"
"DYSRHYTH = 1 (%)","    23631 (  1.6) ","     4251 (  0.5) ","    19380 (  3.1) ","<0.001",""," 0.198","     4085 (  0.5) ","    16014 (  2.7) ","      166 (  5.2) ","     3366 ( 17.4) ","<0.001",""," 0.352"
"ED = 1 (%)","   582284 ( 39.7) ","   334011 ( 39.5) ","   248271 ( 40.1) ","<0.001",""," 0.013","   331972 ( 39.4) ","   236796 ( 39.5) ","     2039 ( 63.3) ","    11475 ( 59.4) ","<0.001",""," 0.313"
"GI = 1 (%)","    11892 (  0.8) ","     2448 (  0.3) ","     9444 (  1.5) ","<0.001",""," 0.131","     2380 (  0.3) ","     7904 (  1.3) ","       68 (  2.1) ","     1540 (  8.0) ","<0.001",""," 0.222"
"HOMEHEALTH = 1 (%)","    13795 (  0.9) ","     3979 (  0.5) ","     9816 (  1.6) ","<0.001",""," 0.111","     3754 (  0.4) ","     7426 (  1.2) ","      225 (  7.0) ","     2390 ( 12.4) ","<0.001",""," 0.311"
"HTN = 1 (%)","   109779 (  7.5) ","     5499 (  0.7) ","   104280 ( 16.8) ","<0.001",""," 0.598","     5030 (  0.6) ","    93534 ( 15.6) ","      469 ( 14.6) ","    10746 ( 55.6) ","<0.001",""," 0.761"
"ICDCRTD = 1 (%)","       96 (  0.0) ","        5 (  0.0) ","       91 (  0.0) ","<0.001",""," 0.016","        5 (  0.0) ","       51 (  0.0) ","        0 (  0.0) ","       40 (  0.2) ","<0.001",""," 0.036"
"INF_HOSP = 1 (%)","   538775 ( 36.8) ","   320384 ( 37.9) ","   218388 ( 35.3) ","<0.001",""," 0.054","   318210 ( 37.8) ","   207606 ( 34.6) ","     2174 ( 67.5) ","    10782 ( 55.8) ","<0.001",""," 0.405"
"LABXRAY = 1 (%)","   951122 ( 64.9) ","   534764 ( 63.2) ","   416354 ( 67.3) ","<0.001",""," 0.085","   531634 ( 63.1) ","   401176 ( 66.9) ","     3130 ( 97.2) ","    15178 ( 78.5) ","<0.001",""," 0.515"
"LIVERDIS = 1 (%)","     9486 (  0.6) ","     1150 (  0.1) ","     8336 (  1.3) ","<0.001",""," 0.141","     1093 (  0.1) ","     7243 (  1.2) ","       57 (  1.8) ","     1093 (  5.7) ","<0.001",""," 0.189"
"NONKIDNEYTX = 1 (%)","      519 (  0.0) ","      196 (  0.0) ","      323 (  0.1) ","<0.001",""," 0.015","      160 (  0.0) ","      230 (  0.0) ","       36 (  1.1) ","       93 (  0.5) ","<0.001",""," 0.092"
"NONPEDCONG = 1 (%)","    53526 (  3.7) ","     3215 (  0.4) ","    50311 (  8.1) ","<0.001",""," 0.391","     2988 (  0.4) ","    43088 (  7.2) ","      227 (  7.0) ","     7223 ( 37.4) ","<0.001",""," 0.561"
"OPHOSPITAL = 1 (%)","   676633 ( 46.2) ","   383987 ( 45.4) ","   292644 ( 47.3) ","<0.001",""," 0.038","   381273 ( 45.3) ","   278239 ( 46.4) ","     2714 ( 84.3) ","    14405 ( 74.5) ","<0.001",""," 0.543"
"OTHCARDIAC = 1 (%)","    37526 (  2.6) ","    11310 (  1.3) ","    26216 (  4.2) ","<0.001",""," 0.177","    11058 (  1.3) ","    22751 (  3.8) ","      252 (  7.8) ","     3465 ( 17.9) ","<0.001",""," 0.334"
"PAD = 1 (%)","      358 (  0.0) ","       19 (  0.0) ","      339 (  0.1) ","<0.001",""," 0.031","       17 (  0.0) ","      181 (  0.0) ","        2 (  0.1) ","      158 (  0.8) ","<0.001",""," 0.072"
"PCI = 1 (%)","      471 (  0.0) ","        3 (  0.0) ","      468 (  0.1) ","<0.001",""," 0.039","        3 (  0.0) ","      373 (  0.1) ","        0 (  0.0) ","       95 (  0.5) ","<0.001",""," 0.059"
"PEDCKD = 1 (%)","    39406 (  2.7) ","     7771 (  0.9) ","    31635 (  5.1) ","<0.001",""," 0.247","     4817 (  0.6) ","    15985 (  2.7) ","     2954 ( 91.7) ","    15650 ( 80.9) ","<0.001",""," 2.400"
"PEDCONG = 1 (%)","     6845 (  0.5) ","     5273 (  0.6) ","     1572 (  0.3) ","<0.001",""," 0.056","     5070 (  0.6) ","     1393 (  0.2) ","      203 (  6.3) ","      179 (  0.9) ","<0.001",""," 0.190"
"PHYSICIANF = 1 (%)","  1274226 ( 87.0) ","   743472 ( 87.9) ","   530748 ( 85.7) ","<0.001",""," 0.064","   740305 ( 87.9) ","   512239 ( 85.4) ","     3167 ( 98.4) ","    18509 ( 95.7) ","<0.001",""," 0.298"
"PSYCH = 0 (%)","  1464868 (100.0) ","   845788 (100.0) ","   619072 (100.0) "," NA","","<0.001","   842568 (100.0) ","   599739 (100.0) ","     3220 (100.0) ","    19333 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","    18371 (  1.3) ","      824 (  0.1) ","    17547 (  2.8) ","<0.001",""," 0.229","      743 (  0.1) ","    14477 (  2.4) ","       81 (  2.5) ","     3070 ( 15.9) ","<0.001",""," 0.333"
"RCPNT_DLVRY = 1 (%)","    54928 (  3.7) ","    33709 (  4.0) ","    21216 (  3.4) ","<0.001",""," 0.030","    33231 (  3.9) ","    20741 (  3.5) ","      478 ( 14.8) ","      475 (  2.5) ","<0.001",""," 0.234"
"SNF = 0 (%)","  1464868 (100.0) ","   845788 (100.0) ","   619072 (100.0) "," NA","","<0.001","   842568 (100.0) ","   599739 (100.0) ","     3220 (100.0) ","    19333 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","     1037 (  0.1) ","      110 (  0.0) ","      927 (  0.1) ","<0.001",""," 0.048","       30 (  0.0) ","      446 (  0.1) ","       80 (  2.5) ","      481 (  2.5) ","<0.001",""," 0.153"
"age (mean (sd))","-54277.67 (603.43)","-54688.17 (165.49)","-53717.53 (492.00)","<0.001",""," 2.644","-54688.20 (165.34)","-53724.78 (492.22)","-54681.00 (200.78)","-53492.56 (427.59)","<0.001",""," 2.159"
"died = 0 (%)","  1464868 (100.0) ","   845788 (100.0) ","   619072 (100.0) "," NA","","<0.001","   842568 (100.0) ","   599739 (100.0) ","     3220 (100.0) ","    19333 (100.0) "," NA","","<0.001"
