"","Overall","[0,22)","[22,120)","p","test","SMD","[0,22):0","[22,120):0","[0,22):1","[22,120):1","p","test","SMD"
"total_elig_months (mean (sd))","  10.94 (2.11)"," 11.06 (2.00)"," 10.79 (2.23)","<0.001",""," 0.125"," 11.06 (2.00)"," 10.79 (2.23)","10.96 (2.05)","10.91 (2.14)","<0.001",""," 0.068"
"elig_cat (%)","","",""," NaN",""," 0.120","",""," ",""," NaN",""," 0.071"
"   0 months","      0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   1-3 months","      0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   4-6 months"," 131563 (  7.6) "," 65045 (  6.7) "," 66518 (  8.9) ","","",""," 64773 (  6.6) "," 64454 (  8.9) ","  272 (  6.9) "," 2064 (  8.0) ","","",""
"   7-9 months"," 169393 (  9.8) "," 85827 (  8.8) "," 83566 ( 11.1) ","","",""," 85416 (  8.8) "," 80896 ( 11.2) ","  411 ( 10.4) "," 2670 ( 10.4) ","","",""
"   9-12 months","1427445 ( 82.6) ","827171 ( 84.6) ","600274 ( 80.0) ","","","","823889 ( 84.6) ","579233 ( 79.9) "," 3282 ( 82.8) ","21041 ( 81.6) ","","",""
"AKI = 1 (%)","   8239 (  0.5) ","   359 (  0.0) ","  7880 (  1.1) ","<0.001",""," 0.138","     0 (  0.0) ","     0 (  0.0) ","  359 (  9.1) "," 7880 ( 30.6) ","<0.001",""," 0.555"
"ANEMIA = 1 (%)","  93812 (  5.4) "," 33479 (  3.4) "," 60333 (  8.0) ","<0.001",""," 0.200"," 32923 (  3.4) "," 49400 (  6.8) ","  556 ( 14.0) ","10933 ( 42.4) ","<0.001",""," 0.567"
"ASHD = 1 (%)","  29618 (  1.7) ","   411 (  0.0) "," 29207 (  3.9) ","<0.001",""," 0.280","   391 (  0.0) "," 23723 (  3.3) ","   20 (  0.5) "," 5484 ( 21.3) ","<0.001",""," 0.427"
"CABG = 1 (%)","    422 (  0.0) ","     1 (  0.0) ","   421 (  0.1) ","<0.001",""," 0.033","     0 (  0.0) ","   273 (  0.0) ","    1 (  0.0) ","  148 (  0.6) ","<0.001",""," 0.060"
"CANCER = 1 (%)","  20435 (  1.2) ","  1640 (  0.2) "," 18795 (  2.5) ","<0.001",""," 0.205","  1468 (  0.2) "," 16421 (  2.3) ","  172 (  4.3) "," 2374 (  9.2) ","<0.001",""," 0.255"
"CASCEA = 1 (%)","    180 (  0.0) ","     0 (  0.0) ","   180 (  0.0) ","<0.001",""," 0.022","     0 (  0.0) ","   138 (  0.0) ","    0 (  0.0) ","   42 (  0.2) ","<0.001",""," 0.034"
"CHF = 1 (%)","  27448 (  1.6) ","   873 (  0.1) "," 26575 (  3.5) ","<0.001",""," 0.261","   790 (  0.1) "," 20140 (  2.8) ","   83 (  2.1) "," 6435 ( 25.0) ","<0.001",""," 0.444"
"CKD = 1 (%)","  29740 (  1.7) ","  3965 (  0.4) "," 25775 (  3.4) ","<0.001",""," 0.222","     0 (  0.0) ","     0 (  0.0) "," 3965 (100.0) ","25775 (100.0) ","<0.001",""," NaN"
"CKD_STAGE_1 = 1 (%)","    511 (  0.0) ","    79 (  0.0) ","   432 (  0.1) ","<0.001",""," 0.027","     0 (  0.0) ","     0 (  0.0) ","   79 (  2.0) ","  432 (  1.7) ","<0.001",""," 0.133"
"CKD_STAGE_2 = 1 (%)","   1070 (  0.1) ","    70 (  0.0) ","  1000 (  0.1) ","<0.001",""," 0.048","     0 (  0.0) ","     0 (  0.0) ","   70 (  1.8) "," 1000 (  3.9) ","<0.001",""," 0.179"
"CKD_STAGE_3 = 1 (%)","   3665 (  0.2) ","    97 (  0.0) ","  3568 (  0.5) ","<0.001",""," 0.095","     0 (  0.0) ","     0 (  0.0) ","   97 (  2.4) "," 3568 ( 13.8) ","<0.001",""," 0.335"
"CKD_STAGE_4 = 1 (%)","   1608 (  0.1) ","    46 (  0.0) ","  1562 (  0.2) ","<0.001",""," 0.062","     0 (  0.0) ","     0 (  0.0) ","   46 (  1.2) "," 1562 (  6.1) ","<0.001",""," 0.215"
"CKD_STAGE_5 = 1 (%)","   5461 (  0.3) ","   140 (  0.0) ","  5321 (  0.7) ","<0.001",""," 0.116","     0 (  0.0) ","     0 (  0.0) ","  140 (  3.5) "," 5321 ( 20.6) ","<0.001",""," 0.421"
"CLINIC = 1 (%)"," 349046 ( 20.2) ","219514 ( 22.4) ","129532 ( 17.3) ","<0.001",""," 0.130","218582 ( 22.4) ","126103 ( 17.4) ","  932 ( 23.5) "," 3429 ( 13.3) ","<0.001",""," 0.154"
"COPD = 1 (%)"," 168072 (  9.7) "," 79102 (  8.1) "," 88970 ( 11.9) ","<0.001",""," 0.126"," 78586 (  8.1) "," 82047 ( 11.3) ","  516 ( 13.0) "," 6923 ( 26.9) ","<0.001",""," 0.265"
"CVA = 1 (%)","  19275 (  1.1) ","  1281 (  0.1) "," 17994 (  2.4) ","<0.001",""," 0.204","  1214 (  0.1) "," 15141 (  2.1) ","   67 (  1.7) "," 2853 ( 11.1) ","<0.001",""," 0.272"
"CVD_HOSP = 1 (%)","  17675 (  1.0) "," 11036 (  1.1) ","  6639 (  0.9) ","<0.001",""," 0.024"," 10765 (  1.1) ","  5630 (  0.8) ","  271 (  6.8) "," 1009 (  3.9) ","<0.001",""," 0.195"
"DIALYSIS = 1 (%)","   5306 (  0.3) ","   138 (  0.0) ","  5168 (  0.7) ","<0.001",""," 0.114","     1 (  0.0) ","    11 (  0.0) ","  137 (  3.5) "," 5157 ( 20.0) ","<0.001",""," 0.414"
"DM = 1 (%)"," 100666 (  5.8) ","  7603 (  0.8) "," 93063 ( 12.4) ","<0.001",""," 0.482","  7385 (  0.8) "," 82431 ( 11.4) ","  218 (  5.5) ","10632 ( 41.2) ","<0.001",""," 0.624"
"DYSRHYTH = 1 (%)","  31156 (  1.8) ","  5960 (  0.6) "," 25196 (  3.4) ","<0.001",""," 0.198","  5756 (  0.6) "," 20359 (  2.8) ","  204 (  5.1) "," 4837 ( 18.8) ","<0.001",""," 0.363"
"ED = 1 (%)"," 708455 ( 41.0) ","392623 ( 40.1) ","315832 ( 42.1) ","<0.001",""," 0.040","390056 ( 40.0) ","299766 ( 41.4) "," 2567 ( 64.7) ","16066 ( 62.3) ","<0.001",""," 0.326"
"GI = 1 (%)","  14346 (  0.8) ","  2987 (  0.3) "," 11359 (  1.5) ","<0.001",""," 0.128","  2909 (  0.3) ","  9258 (  1.3) ","   78 (  2.0) "," 2101 (  8.2) ","<0.001",""," 0.223"
"HOMEHEALTH = 1 (%)","  15296 (  0.9) ","  3892 (  0.4) "," 11404 (  1.5) ","<0.001",""," 0.115","  3636 (  0.4) ","  8260 (  1.1) ","  256 (  6.5) "," 3144 ( 12.2) ","<0.001",""," 0.311"
"HTN = 1 (%)"," 138204 (  8.0) ","  6107 (  0.6) ","132097 ( 17.6) ","<0.001",""," 0.617","  5542 (  0.6) ","116764 ( 16.1) ","  565 ( 14.2) ","15333 ( 59.5) ","<0.001",""," 0.820"
"ICDCRTD = 1 (%)","    161 (  0.0) ","    12 (  0.0) ","   149 (  0.0) ","<0.001",""," 0.018","    12 (  0.0) ","    89 (  0.0) ","    0 (  0.0) ","   60 (  0.2) ","<0.001",""," 0.039"
"INF_HOSP = 1 (%)"," 662600 ( 38.3) ","395273 ( 40.4) ","267327 ( 35.6) ","<0.001",""," 0.099","392627 ( 40.3) ","251646 ( 34.7) "," 2646 ( 66.7) ","15681 ( 60.8) ","<0.001",""," 0.404"
"LABXRAY = 1 (%)","1163576 ( 67.3) ","639471 ( 65.4) ","524105 ( 69.8) ","<0.001",""," 0.096","635598 ( 65.3) ","502369 ( 69.3) "," 3873 ( 97.7) ","21736 ( 84.3) ","<0.001",""," 0.521"
"LIVERDIS = 1 (%)","  10708 (  0.6) ","  1162 (  0.1) ","  9546 (  1.3) ","<0.001",""," 0.139","  1093 (  0.1) ","  7953 (  1.1) ","   69 (  1.7) "," 1593 (  6.2) ","<0.001",""," 0.201"
"NONKIDNEYTX = 1 (%)","    642 (  0.0) ","   236 (  0.0) ","   406 (  0.1) ","<0.001",""," 0.015","   189 (  0.0) ","   264 (  0.0) ","   47 (  1.2) ","  142 (  0.6) ","<0.001",""," 0.095"
"NONPEDCONG = 1 (%)","  58752 (  3.4) ","  4383 (  0.4) "," 54369 (  7.2) ","<0.001",""," 0.359","  4163 (  0.4) "," 44852 (  6.2) ","  220 (  5.5) "," 9517 ( 36.9) ","<0.001",""," 0.559"
"OPHOSPITAL = 1 (%)"," 813260 ( 47.1) ","447673 ( 45.8) ","365587 ( 48.7) ","<0.001",""," 0.059","444471 ( 45.6) ","346412 ( 47.8) "," 3202 ( 80.8) ","19175 ( 74.4) ","<0.001",""," 0.482"
"OTHCARDIAC = 1 (%)","  45757 (  2.6) "," 14613 (  1.5) "," 31144 (  4.2) ","<0.001",""," 0.161"," 14320 (  1.5) "," 26877 (  3.7) ","  293 (  7.4) "," 4267 ( 16.6) ","<0.001",""," 0.310"
"PAD = 1 (%)","    702 (  0.0) ","    24 (  0.0) ","   678 (  0.1) ","<0.001",""," 0.041","    20 (  0.0) ","   387 (  0.1) ","    4 (  0.1) ","  291 (  1.1) ","<0.001",""," 0.086"
"PCI = 1 (%)","    946 (  0.1) ","     0 (  0.0) ","   946 (  0.1) ","<0.001",""," 0.050","     0 (  0.0) ","   670 (  0.1) ","    0 (  0.0) ","  276 (  1.1) ","<0.001",""," 0.085"
"PEDCKD = 1 (%)","  47766 (  2.8) ","  9140 (  0.9) "," 38626 (  5.1) ","<0.001",""," 0.247","  5523 (  0.6) "," 18688 (  2.6) "," 3617 ( 91.2) ","19938 ( 77.4) ","<0.001",""," 2.285"
"PEDCONG = 1 (%)","   8758 (  0.5) ","  6974 (  0.7) ","  1784 (  0.2) ","<0.001",""," 0.069","  6702 (  0.7) ","  1547 (  0.2) ","  272 (  6.9) ","  237 (  0.9) ","<0.001",""," 0.199"
"PHYSICIANF = 1 (%)","1515602 ( 87.7) ","874083 ( 89.4) ","641519 ( 85.5) ","<0.001",""," 0.117","870175 ( 89.3) ","617169 ( 85.2) "," 3908 ( 98.6) ","24350 ( 94.5) ","<0.001",""," 0.292"
"PSYCH = 0 (%)","1728401 (100.0) ","978043 (100.0) ","750358 (100.0) "," NA","","<0.001","974078 (100.0) ","724583 (100.0) "," 3965 (100.0) ","25775 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","  21846 (  1.3) ","  1068 (  0.1) "," 20778 (  2.8) ","<0.001",""," 0.225","   958 (  0.1) "," 16655 (  2.3) ","  110 (  2.8) "," 4123 ( 16.0) ","<0.001",""," 0.338"
"RCPNT_DLVRY = 1 (%)","  86303 (  5.0) "," 50799 (  5.2) "," 35504 (  4.7) ","<0.001",""," 0.021"," 50114 (  5.1) "," 34642 (  4.8) ","  685 ( 17.3) ","  862 (  3.3) ","<0.001",""," 0.241"
"SNF = 0 (%)","1728401 (100.0) ","978043 (100.0) ","750358 (100.0) "," NA","","<0.001","974078 (100.0) ","724583 (100.0) "," 3965 (100.0) ","25775 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","   1188 (  0.1) ","   121 (  0.0) ","  1067 (  0.1) ","<0.001",""," 0.047","    35 (  0.0) ","   565 (  0.1) ","   86 (  2.2) ","  502 (  1.9) ","<0.001",""," 0.141"
"age (mean (sd))","  24.33 (20.88)","  9.50 (6.01)"," 43.65 (17.23)","<0.001",""," 2.647","  9.50 (6.00)"," 43.33 (17.20)"," 9.82 (7.27)","52.81 (15.40)","<0.001",""," 2.178"
"died = 1 (%)","   9296 (  0.5) ","     3 (  0.0) ","  9293 (  1.2) ","<0.001",""," 0.158","     0 (  0.0) ","  8268 (  1.1) ","    3 (  0.1) "," 1025 (  4.0) ","<0.001",""," 0.179"
