"","Overall","0","1","p","test","SMD","White","Black","Native American","Asian or PI","Hispanic","NH PI","NA.","p","test","SMD"
"   9-12 months","1674215 ( 78.2) ","1403122 ( 82.6) ","24323 ( 81.8) ","","",""," 966508 ( 77.2) ","524884 ( 81.9) "," 9789 ( 75.1) ","25631 ( 77.2) "," 89116 ( 74.9) "," 2497 ( 82.2) ","55790 ( 68.5) ","","",""
"AKI = 1 (%)","   8239 (  0.5) ","      0 (  0.0) "," 8239 ( 27.7) ","<0.001",""," 0.875","   3812 (  0.4) ","  3664 (  0.7) ","   33 (  0.3) ","   98 (  0.4) ","   173 (  0.2) ","   30 (  1.2) ","  429 (  0.6) ","<0.001",""," 0.051"
"ANEMIA = 1 (%)","  93812 (  5.4) ","  82323 (  4.8) ","11489 ( 38.6) ","<0.001",""," 0.898","  43698 (  4.3) "," 39117 (  7.6) ","  373 (  3.5) "," 1853 (  7.3) ","  4683 (  5.2) ","  205 (  8.5) "," 3883 (  5.7) ","<0.001",""," 0.095"
"ASHD = 1 (%)","  29618 (  1.7) ","  24114 (  1.4) "," 5504 ( 18.5) ","<0.001",""," 0.595","  17132 (  1.7) ","  9877 (  1.9) ","  158 (  1.5) ","  536 (  2.1) ","   547 (  0.6) ","  103 (  4.3) "," 1265 (  1.9) ","<0.001",""," 0.082"
"CABG = 1 (%)","    422 (  0.0) ","    273 (  0.0) ","  149 (  0.5) ","<0.001",""," 0.096","    275 (  0.0) ","    89 (  0.0) ","    2 (  0.0) ","   12 (  0.0) ","     8 (  0.0) ","    3 (  0.1) ","   33 (  0.0) ","<0.001",""," 0.018"
"CANCER = 1 (%)","  20435 (  1.2) ","  17889 (  1.1) "," 2546 (  8.6) ","<0.001",""," 0.357","  12249 (  1.2) ","  6078 (  1.2) ","  105 (  1.0) ","  276 (  1.1) ","   456 (  0.5) ","   41 (  1.7) "," 1230 (  1.8) ","<0.001",""," 0.048"
"CASCEA = 1 (%)","    180 (  0.0) ","    138 (  0.0) ","   42 (  0.1) ","<0.001",""," 0.049","    132 (  0.0) ","    31 (  0.0) ","    2 (  0.0) ","    1 (  0.0) ","     3 (  0.0) ","    1 (  0.0) ","   10 (  0.0) ","<0.001",""," 0.011"
"CHF = 1 (%)","  27448 (  1.6) ","  20930 (  1.2) "," 6518 ( 21.9) ","<0.001",""," 0.683","  15530 (  1.5) ","  9804 (  1.9) ","  117 (  1.1) ","  284 (  1.1) ","   484 (  0.5) ","   71 (  2.9) "," 1158 (  1.7) ","<0.001",""," 0.072"
"CKD = 1 (%)","  29740 (  1.7) ","      0 (  0.0) ","29740 (100.0) ","<0.001",""," NaN","  14797 (  1.5) "," 11826 (  2.3) ","  154 (  1.5) ","  410 (  1.6) ","   935 (  1.0) ","   99 (  4.1) "," 1519 (  2.2) ","<0.001",""," 0.074"
"CKD_STAGE_1 = 1 (%)","    511 (  0.0) ","      0 (  0.0) ","  511 (  1.7) ","<0.001",""," 0.187","    236 (  0.0) ","   217 (  0.0) ","    2 (  0.0) ","   12 (  0.0) ","    12 (  0.0) ","    1 (  0.0) ","   31 (  0.0) ","<0.001",""," 0.009"
"CKD_STAGE_2 = 1 (%)","   1070 (  0.1) ","      0 (  0.0) "," 1070 (  3.6) ","<0.001",""," 0.273","    421 (  0.0) ","   564 (  0.1) ","    3 (  0.0) ","   17 (  0.1) ","    21 (  0.0) ","    5 (  0.2) ","   39 (  0.1) ","<0.001",""," 0.023"
"CKD_STAGE_3 = 1 (%)","   3665 (  0.2) ","      0 (  0.0) "," 3665 ( 12.3) ","<0.001",""," 0.530","   1766 (  0.2) ","  1569 (  0.3) ","   16 (  0.2) ","   59 (  0.2) ","    63 (  0.1) ","   14 (  0.6) ","  178 (  0.3) ","<0.001",""," 0.035"
"CKD_STAGE_4 = 1 (%)","   1608 (  0.1) ","      0 (  0.0) "," 1608 (  5.4) ","<0.001",""," 0.338","    713 (  0.1) ","   740 (  0.1) ","   13 (  0.1) ","   17 (  0.1) ","    41 (  0.0) ","    5 (  0.2) ","   79 (  0.1) ","<0.001",""," 0.020"
"CKD_STAGE_5 = 1 (%)","   5461 (  0.3) ","      0 (  0.0) "," 5461 ( 18.4) ","<0.001",""," 0.671","   1868 (  0.2) ","  3066 (  0.6) ","   31 (  0.3) ","   79 (  0.3) ","   161 (  0.2) ","   26 (  1.1) ","  230 (  0.3) ","<0.001",""," 0.047"
"CLINIC = 1 (%)"," 349046 ( 20.2) "," 344685 ( 20.3) "," 4361 ( 14.7) ","<0.001",""," 0.149"," 226440 ( 22.3) "," 72795 ( 14.1) "," 5212 ( 49.5) "," 3229 ( 12.7) "," 27468 ( 30.4) ","  306 ( 12.6) ","13596 ( 20.0) ","<0.001",""," 0.349"
"COPD = 1 (%)"," 168072 (  9.7) "," 160633 (  9.5) "," 7439 ( 25.0) ","<0.001",""," 0.421","  92883 (  9.2) "," 59959 ( 11.6) ","  937 (  8.9) "," 1872 (  7.4) ","  6073 (  6.7) ","  239 (  9.9) "," 6109 (  9.0) ","<0.001",""," 0.066"
"CVA = 1 (%)","  19275 (  1.1) ","  16355 (  1.0) "," 2920 (  9.8) ","<0.001",""," 0.400","  10239 (  1.0) ","  7216 (  1.4) ","   93 (  0.9) ","  307 (  1.2) ","   410 (  0.5) ","   45 (  1.9) ","  965 (  1.4) ","<0.001",""," 0.052"
"CVD_HOSP = 1 (%)","  17675 (  1.0) ","  16395 (  1.0) "," 1280 (  4.3) ","<0.001",""," 0.210","   9604 (  0.9) ","  5159 (  1.0) ","  129 (  1.2) ","  208 (  0.8) ","   808 (  0.9) ","   21 (  0.9) "," 1746 (  2.6) ","<0.001",""," 0.047"
"DIALYSIS = 1 (%)","   5306 (  0.3) ","     12 (  0.0) "," 5294 ( 17.8) ","<0.001",""," 0.658","   1818 (  0.2) ","  2978 (  0.6) ","   31 (  0.3) ","   77 (  0.3) ","   157 (  0.2) ","   26 (  1.1) ","  219 (  0.3) ","<0.001",""," 0.047"
"DM = 1 (%)"," 100666 (  5.8) ","  89816 (  5.3) ","10850 ( 36.5) ","<0.001",""," 0.831","  55702 (  5.5) "," 34854 (  6.7) ","  635 (  6.0) "," 2228 (  8.8) ","  3512 (  3.9) ","  305 ( 12.6) "," 3430 (  5.0) ","<0.001",""," 0.126"
"DYSRHYTH = 1 (%)","  31156 (  1.8) ","  26115 (  1.5) "," 5041 ( 17.0) ","<0.001",""," 0.552","  18072 (  1.8) "," 10014 (  1.9) ","  178 (  1.7) ","  414 (  1.6) ","   747 (  0.8) ","   68 (  2.8) "," 1663 (  2.4) ","<0.001",""," 0.056"
"ED = 1 (%)"," 708455 ( 41.0) "," 689822 ( 40.6) ","18633 ( 62.7) ","<0.001",""," 0.452"," 383631 ( 37.8) ","251406 ( 48.6) "," 4476 ( 42.5) "," 5987 ( 23.6) "," 36318 ( 40.2) ","  682 ( 28.1) ","25955 ( 38.1) ","<0.001",""," 0.215"
"GI = 1 (%)","  14346 (  0.8) ","  12167 (  0.7) "," 2179 (  7.3) ","<0.001",""," 0.341","   8154 (  0.8) ","  4668 (  0.9) ","  107 (  1.0) ","  181 (  0.7) ","   478 (  0.5) ","   27 (  1.1) ","  731 (  1.1) ","<0.001",""," 0.028"
"HOMEHEALTH = 1 (%)","  15296 (  0.9) ","  11896 (  0.7) "," 3400 ( 11.4) ","<0.001",""," 0.461","   7690 (  0.8) ","  5106 (  1.0) ","   86 (  0.8) ","  186 (  0.7) ","   588 (  0.7) ","   32 (  1.3) "," 1608 (  2.4) ","<0.001",""," 0.054"
"HTN = 1 (%)"," 138204 (  8.0) "," 122306 (  7.2) ","15898 ( 53.5) ","<0.001",""," 1.164","  65579 (  6.5) "," 61301 ( 11.9) ","  641 (  6.1) "," 2216 (  8.7) ","  3098 (  3.4) ","  278 ( 11.5) "," 5091 (  7.5) ","<0.001",""," 0.138"
"ICDCRTD = 1 (%)","    161 (  0.0) ","    101 (  0.0) ","   60 (  0.2) ","<0.001",""," 0.061","     74 (  0.0) ","    72 (  0.0) ","    1 (  0.0) ","    0 (  0.0) ","     5 (  0.0) ","    0 (  0.0) ","    9 (  0.0) "," 0.002",""," 0.009"
"INF_HOSP = 1 (%)"," 662600 ( 38.3) "," 644273 ( 37.9) ","18327 ( 61.6) ","<0.001",""," 0.488"," 392694 ( 38.7) ","196187 ( 37.9) "," 3930 ( 37.3) "," 8326 ( 32.8) "," 34260 ( 37.9) ","  743 ( 30.7) ","26460 ( 38.8) ","<0.001",""," 0.074"
"LABXRAY = 1 (%)","1163576 ( 67.3) ","1137967 ( 67.0) ","25609 ( 86.1) ","<0.001",""," 0.463"," 673857 ( 66.4) ","360275 ( 69.7) "," 7179 ( 68.2) ","15449 ( 60.9) "," 61959 ( 68.6) "," 1462 ( 60.3) ","43395 ( 63.7) ","<0.001",""," 0.096"
"LIVERDIS = 1 (%)","  10708 (  0.6) ","   9046 (  0.5) "," 1662 (  5.6) ","<0.001",""," 0.297","   6233 (  0.6) ","  3243 (  0.6) ","   80 (  0.8) ","  191 (  0.8) ","   413 (  0.5) ","   33 (  1.4) ","  515 (  0.8) ","<0.001",""," 0.033"
"NONKIDNEYTX = 1 (%)","    642 (  0.0) ","    453 (  0.0) ","  189 (  0.6) ","<0.001",""," 0.106","    362 (  0.0) ","   167 (  0.0) ","    6 (  0.1) ","   11 (  0.0) ","    28 (  0.0) ","    1 (  0.0) ","   67 (  0.1) ","<0.001",""," 0.010"
"NONPEDCONG = 1 (%)","  58752 (  3.4) ","  49015 (  2.9) "," 9737 ( 32.7) ","<0.001",""," 0.847","  33098 (  3.3) "," 20169 (  3.9) ","  305 (  2.9) ","  993 (  3.9) ","  1185 (  1.3) ","  167 (  6.9) "," 2835 (  4.2) ","<0.001",""," 0.100"
"OPHOSPITAL = 1 (%)"," 813260 ( 47.1) "," 790883 ( 46.6) ","22377 ( 75.2) ","<0.001",""," 0.615"," 443676 ( 43.7) ","282939 ( 54.7) "," 5036 ( 47.8) "," 8217 ( 32.4) "," 41121 ( 45.5) ","  850 ( 35.1) ","31421 ( 46.1) ","<0.001",""," 0.185"
"OTHCARDIAC = 1 (%)","  45757 (  2.6) ","  41197 (  2.4) "," 4560 ( 15.3) ","<0.001",""," 0.466","  25823 (  2.5) "," 14909 (  2.9) ","  290 (  2.8) ","  691 (  2.7) ","  1554 (  1.7) ","   83 (  3.4) "," 2407 (  3.5) ","<0.001",""," 0.043"
"PAD = 1 (%)","    702 (  0.0) ","    407 (  0.0) ","  295 (  1.0) ","<0.001",""," 0.136","    402 (  0.0) ","   227 (  0.0) ","    8 (  0.1) ","    3 (  0.0) ","    16 (  0.0) ","    0 (  0.0) ","   46 (  0.1) ","<0.001",""," 0.019"
"PCI = 1 (%)","    946 (  0.1) ","    670 (  0.0) ","  276 (  0.9) ","<0.001",""," 0.128","    630 (  0.1) ","   208 (  0.0) ","    8 (  0.1) ","   29 (  0.1) ","    16 (  0.0) ","    2 (  0.1) ","   53 (  0.1) ","<0.001",""," 0.015"
"PEDCKD = 1 (%)","  47766 (  2.8) ","  24211 (  1.4) ","23555 ( 79.2) ","<0.001",""," 2.602","  27164 (  2.7) "," 15770 (  3.0) ","  238 (  2.3) ","  647 (  2.5) ","  1623 (  1.8) ","  117 (  4.8) "," 2207 (  3.2) ","<0.001",""," 0.064"
"PEDCONG = 1 (%)","   8758 (  0.5) ","   8249 (  0.5) ","  509 (  1.7) ","<0.001",""," 0.118","   4758 (  0.5) ","  2052 (  0.4) ","   48 (  0.5) ","   87 (  0.3) ","   432 (  0.5) ","    9 (  0.4) "," 1372 (  2.0) ","<0.001",""," 0.049"
"PHYSICIANF = 1 (%)","1515602 ( 87.7) ","1487344 ( 87.6) ","28258 ( 95.0) ","<0.001",""," 0.267"," 878103 ( 86.6) ","466435 ( 90.2) "," 8200 ( 77.9) ","23115 ( 91.1) "," 76983 ( 85.2) "," 2150 ( 88.7) ","60616 ( 89.0) ","<0.001",""," 0.142"
"PSYCH = 0 (%)","1728401 (100.0) ","1698661 (100.0) ","29740 (100.0) "," NA","","<0.001","1014352 (100.0) ","517221 (100.0) ","10529 (100.0) ","25379 (100.0) "," 90383 (100.0) "," 2423 (100.0) ","68114 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","  21846 (  1.3) ","  17613 (  1.0) "," 4233 ( 14.2) ","<0.001",""," 0.513","  12502 (  1.2) ","  7499 (  1.4) ","  119 (  1.1) ","  233 (  0.9) ","   429 (  0.5) ","   42 (  1.7) "," 1022 (  1.5) ","<0.001",""," 0.048"
"RCPNT_DLVRY = 1 (%)","  86303 (  5.0) ","  84756 (  5.0) "," 1547 (  5.2) "," 0.099",""," 0.010","  42162 (  4.2) "," 24950 (  4.8) ","  502 (  4.8) "," 1088 (  4.3) ","  4826 (  5.3) ","   78 (  3.2) ","12697 ( 18.6) ","<0.001",""," 0.161"
"SNF = 0 (%)","1728401 (100.0) ","1698661 (100.0) ","29740 (100.0) "," NA","","<0.001","1014352 (100.0) ","517221 (100.0) ","10529 (100.0) ","25379 (100.0) "," 90383 (100.0) "," 2423 (100.0) ","68114 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","   1188 (  0.1) ","    600 (  0.0) ","  588 (  2.0) ","<0.001",""," 0.195","    611 (  0.1) ","   455 (  0.1) ","    2 (  0.0) ","   23 (  0.1) ","    45 (  0.0) ","    8 (  0.3) ","   44 (  0.1) ","<0.001",""," 0.027"
"age (mean (sd))","  24.33 (20.88)","  23.93 (20.66)","47.08 (20.64)","<0.001",""," 1.121","  25.22 (21.19)"," 24.51 (20.04)","22.83 (18.72)","29.67 (25.99)"," 16.48 (16.21)","37.68 (27.02)","17.78 (22.05)","<0.001",""," 0.384"
"died = 1 (%)","   9296 (  0.5) ","   8268 (  0.5) "," 1028 (  3.5) ","<0.001",""," 0.215","   6843 (  0.7) ","  1959 (  0.4) ","   27 (  0.3) ","   84 (  0.3) ","    91 (  0.1) ","   30 (  1.2) ","  262 (  0.4) ","<0.001",""," 0.056"
