"","Overall","[0,5)","[5,10)","[10,14)","[14,18)","[18,22)","p","test","SMD","[0,5):0","[5,10):0","[10,14):0","[14,18):0","[18,22):0","[0,5):1","[5,10):1","[10,14):1","[14,18):1","[18,22):1","p","test","SMD"
"total_elig_months (mean (sd))"," 11.06 (2.00)"," 10.46 (2.46)"," 11.34 (1.69)"," 11.41 (1.61)"," 11.37 (1.67)"," 10.76 (2.18)","<0.001",""," 0.247"," 10.46 (2.46)"," 11.34 (1.69)"," 11.41 (1.61)"," 11.36 (1.67)"," 10.76 (2.19)","10.31 (2.48)","11.59 (1.32)","11.64 (1.22)","11.56 (1.35)","11.16 (1.79)","<0.001",""," 0.287"
"elig_cat (%)","","","","","",""," NaN",""," 0.229","","","","",""," "," "," "," "," "," NaN",""," 0.265"
"   0 months","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   1-3 months","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   4-6 months"," 65045 (  6.7) "," 28265 ( 12.1) "," 11132 (  4.3) ","  6713 (  3.8) ","  6624 (  4.1) "," 12311 (  8.3) ","","",""," 28017 ( 12.1) "," 11090 (  4.3) ","  6688 (  3.8) ","  6581 (  4.1) "," 12210 (  8.3) ","  248 ( 12.0) ","   42 (  2.3) ","   25 (  2.0) ","   43 (  2.6) ","  101 (  4.4) ","","",""
"   7-9 months"," 85827 (  8.8) "," 30396 ( 13.1) "," 16593 (  6.4) "," 10294 (  5.8) "," 10154 (  6.3) "," 18390 ( 12.4) ","","",""," 30061 ( 13.0) "," 16510 (  6.4) "," 10241 (  5.8) "," 10080 (  6.3) "," 18163 ( 12.4) ","  335 ( 16.2) ","   83 (  4.5) ","   53 (  4.2) ","   74 (  4.5) ","  227 (  9.9) ","","",""
"   9-12 months","827171 ( 84.6) ","174062 ( 74.8) ","231817 ( 89.3) ","159394 ( 90.4) ","143865 ( 89.6) ","118033 ( 79.4) ","","","","172579 ( 74.8) ","230088 ( 89.3) ","158198 ( 90.3) ","142336 ( 89.5) ","116061 ( 79.3) "," 1483 ( 71.8) "," 1729 ( 93.3) "," 1196 ( 93.9) "," 1529 ( 92.9) "," 1972 ( 85.7) ","","",""
"AKI = 1 (%)","   359 (  0.0) ","    85 (  0.0) ","    30 (  0.0) ","    27 (  0.0) ","    45 (  0.0) ","   172 (  0.1) ","<0.001",""," 0.020","    32 (  0.0) ","    12 (  0.0) ","     9 (  0.0) ","    12 (  0.0) ","    91 (  0.1) ","   53 (  2.6) ","   18 (  1.0) ","   18 (  1.4) ","   33 (  2.0) ","   81 (  3.5) ","<0.001",""," 0.133"
"ANEMIA = 1 (%)"," 33479 (  3.4) "," 10785 (  4.6) ","  7292 (  2.8) ","  3761 (  2.1) ","  4647 (  2.9) ","  6994 (  4.7) ","<0.001",""," 0.076"," 10575 (  4.6) ","  7160 (  2.8) ","  3664 (  2.1) ","  4497 (  2.8) ","  6610 (  4.5) ","  210 ( 10.2) ","  132 (  7.1) ","   97 (  7.6) ","  150 (  9.1) ","  384 ( 16.7) ","<0.001",""," 0.196"
"ASHD = 1 (%)","   411 (  0.0) ","    26 (  0.0) ","    28 (  0.0) ","    36 (  0.0) ","   110 (  0.1) ","   211 (  0.1) ","<0.001",""," 0.026","    25 (  0.0) ","    26 (  0.0) ","    34 (  0.0) ","   105 (  0.1) ","   194 (  0.1) ","    1 (  0.0) ","    2 (  0.1) ","    2 (  0.2) ","    5 (  0.3) ","   17 (  0.7) ","<0.001",""," 0.046"
"CABG = 1 (%)","     1 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) "," 0.597",""," 0.001","     0 (  0.0) ","     1 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) "," 0.972",""," 0.001"
"CANCER = 1 (%)","  1640 (  0.2) ","   201 (  0.1) ","   430 (  0.2) ","   286 (  0.2) ","   307 (  0.2) ","   416 (  0.3) ","<0.001",""," 0.020","   150 (  0.1) ","   370 (  0.1) ","   245 (  0.1) ","   263 (  0.2) ","   360 (  0.2) ","   51 (  2.5) ","   60 (  3.2) ","   41 (  3.2) ","   44 (  2.7) ","   56 (  2.4) ","<0.001",""," 0.133"
"CASCEA = 0 (%)","978043 (100.0) ","232723 (100.0) ","259542 (100.0) ","176401 (100.0) ","160643 (100.0) ","148734 (100.0) "," NA","","<0.001","230657 (100.0) ","257688 (100.0) ","175127 (100.0) ","158997 (100.0) ","146434 (100.0) "," 2066 (100.0) "," 1854 (100.0) "," 1274 (100.0) "," 1646 (100.0) "," 2300 (100.0) "," NA","","<0.001"
"CHF = 1 (%)","   873 (  0.1) ","   307 (  0.1) ","   103 (  0.0) ","    96 (  0.1) ","   148 (  0.1) ","   219 (  0.1) ","<0.001",""," 0.019","   266 (  0.1) ","    95 (  0.0) ","    85 (  0.0) ","   138 (  0.1) ","   193 (  0.1) ","   41 (  2.0) ","    8 (  0.4) ","   11 (  0.9) ","   10 (  0.6) ","   26 (  1.1) ","<0.001",""," 0.086"
"CKD = 1 (%)","  3965 (  0.4) ","  1288 (  0.6) ","   717 (  0.3) ","   409 (  0.2) ","   492 (  0.3) ","  1059 (  0.7) ","<0.001",""," 0.037","    63 (  0.0) ","    31 (  0.0) ","    15 (  0.0) ","    38 (  0.0) ","   201 (  0.1) "," 1225 ( 59.3) ","  686 ( 37.0) ","  394 ( 30.9) ","  454 ( 27.6) ","  858 ( 37.3) ","<0.001",""," 0.702"
"CKD_STAGE_1 = 1 (%)","    79 (  0.0) ","    16 (  0.0) ","     7 (  0.0) ","     7 (  0.0) ","    13 (  0.0) ","    36 (  0.0) ","<0.001",""," 0.009","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   16 (  0.8) ","    7 (  0.4) ","    7 (  0.5) ","   13 (  0.8) ","   36 (  1.6) ","<0.001",""," 0.081"
"CKD_STAGE_2 = 1 (%)","    70 (  0.0) ","     9 (  0.0) ","    11 (  0.0) ","    12 (  0.0) ","    13 (  0.0) ","    25 (  0.0) ","<0.001",""," 0.006","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    9 (  0.4) ","   11 (  0.6) ","   12 (  0.9) ","   13 (  0.8) ","   25 (  1.1) ","<0.001",""," 0.077"
"CKD_STAGE_3 = 1 (%)","    97 (  0.0) ","    19 (  0.0) ","    15 (  0.0) ","    12 (  0.0) ","    23 (  0.0) ","    28 (  0.0) ","<0.001",""," 0.006","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   19 (  0.9) ","   15 (  0.8) ","   12 (  0.9) ","   23 (  1.4) ","   28 (  1.2) ","<0.001",""," 0.087"
"CKD_STAGE_4 = 1 (%)","    46 (  0.0) ","    13 (  0.0) ","     3 (  0.0) ","     2 (  0.0) ","    13 (  0.0) ","    15 (  0.0) ","<0.001",""," 0.007","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","   13 (  0.6) ","    3 (  0.2) ","    2 (  0.2) ","   13 (  0.8) ","   15 (  0.7) ","<0.001",""," 0.064"
"CKD_STAGE_5 = 1 (%)","   140 (  0.0) ","    23 (  0.0) ","    17 (  0.0) ","    12 (  0.0) ","    28 (  0.0) ","    60 (  0.0) ","<0.001",""," 0.011","     4 (  0.0) ","     3 (  0.0) ","     0 (  0.0) ","     5 (  0.0) ","     7 (  0.0) ","   19 (  0.9) ","   14 (  0.8) ","   12 (  0.9) ","   23 (  1.4) ","   53 (  2.3) ","<0.001",""," 0.101"
"CLINIC = 1 (%)","219514 ( 22.4) "," 50907 ( 21.9) "," 86392 ( 33.3) "," 28659 ( 16.2) "," 26849 ( 16.7) "," 26707 ( 18.0) ","<0.001",""," 0.187"," 50424 ( 21.9) "," 85756 ( 33.3) "," 28401 ( 16.2) "," 26491 ( 16.7) "," 26275 ( 17.9) ","  483 ( 23.4) ","  636 ( 34.3) ","  258 ( 20.3) ","  358 ( 21.7) ","  432 ( 18.8) ","<0.001",""," 0.166"
"COPD = 1 (%)"," 79102 (  8.1) "," 18586 (  8.0) "," 24257 (  9.3) "," 14732 (  8.4) "," 11771 (  7.3) ","  9756 (  6.6) ","<0.001",""," 0.049"," 18345 (  8.0) "," 24009 (  9.3) "," 14556 (  8.3) "," 11592 (  7.3) ","  9504 (  6.5) ","  241 ( 11.7) ","  248 ( 13.4) ","  176 ( 13.8) ","  179 ( 10.9) ","  252 ( 11.0) ","<0.001",""," 0.101"
"CVA = 1 (%)","  1281 (  0.1) ","   406 (  0.2) ","   245 (  0.1) ","   160 (  0.1) ","   187 (  0.1) ","   283 (  0.2) ","<0.001",""," 0.015","   376 (  0.2) ","   234 (  0.1) ","   149 (  0.1) ","   180 (  0.1) ","   246 (  0.2) ","   30 (  1.5) ","   11 (  0.6) ","   11 (  0.9) ","    7 (  0.4) ","   37 (  1.6) ","<0.001",""," 0.079"
"CVD_HOSP = 1 (%)"," 11036 (  1.1) ","  5300 (  2.3) ","  2287 (  0.9) ","  1045 (  0.6) ","  1186 (  0.7) ","  1218 (  0.8) ","<0.001",""," 0.061","  5035 (  2.2) ","  2232 (  0.9) ","  1021 (  0.6) ","  1154 (  0.7) ","  1157 (  0.8) ","  265 ( 12.8) ","   55 (  3.0) ","   24 (  1.9) ","   32 (  1.9) ","   61 (  2.7) ","<0.001",""," 0.157"
"DIALYSIS = 1 (%)","   138 (  0.0) ","    24 (  0.0) ","    18 (  0.0) ","    11 (  0.0) ","    26 (  0.0) ","    59 (  0.0) ","<0.001",""," 0.011","     4 (  0.0) ","     4 (  0.0) ","     0 (  0.0) ","     5 (  0.0) ","     7 (  0.0) ","   20 (  1.0) ","   14 (  0.8) ","   11 (  0.9) ","   21 (  1.3) ","   52 (  2.3) ","<0.001",""," 0.099"
"DM = 1 (%)","  7603 (  0.8) ","   248 (  0.1) ","   826 (  0.3) ","  1438 (  0.8) ","  2146 (  1.3) ","  2945 (  2.0) ","<0.001",""," 0.102","   231 (  0.1) ","   807 (  0.3) ","  1399 (  0.8) ","  2066 (  1.3) ","  2794 (  1.9) ","   17 (  0.8) ","   19 (  1.0) ","   39 (  3.1) ","   80 (  4.9) ","  151 (  6.6) ","<0.001",""," 0.154"
"DYSRHYTH = 1 (%)","  5960 (  0.6) ","  1224 (  0.5) ","   878 (  0.3) ","   830 (  0.5) ","  1252 (  0.8) ","  1776 (  1.2) ","<0.001",""," 0.048","  1128 (  0.5) ","   839 (  0.3) ","   796 (  0.5) ","  1203 (  0.8) ","  1673 (  1.1) ","   96 (  4.6) ","   39 (  2.1) ","   34 (  2.7) ","   49 (  3.0) ","  103 (  4.5) ","<0.001",""," 0.135"
"ED = 1 (%)","392623 ( 40.1) ","116853 ( 50.2) "," 96648 ( 37.2) "," 54660 ( 31.0) "," 54989 ( 34.2) "," 69473 ( 46.7) ","<0.001",""," 0.210","115579 ( 50.1) "," 95668 ( 37.1) "," 54072 ( 30.9) "," 54154 ( 34.1) "," 67842 ( 46.3) "," 1274 ( 61.7) ","  980 ( 52.9) ","  588 ( 46.2) ","  835 ( 50.7) "," 1631 ( 70.9) ","<0.001",""," 0.301"
"GI = 1 (%)","  2987 (  0.3) ","   884 (  0.4) ","   385 (  0.1) ","   309 (  0.2) ","   409 (  0.3) ","  1000 (  0.7) ","<0.001",""," 0.041","   846 (  0.4) ","   375 (  0.1) ","   294 (  0.2) ","   386 (  0.2) ","   941 (  0.6) ","   38 (  1.8) ","   10 (  0.5) ","   15 (  1.2) ","   23 (  1.4) ","   59 (  2.6) ","<0.001",""," 0.094"
"HOMEHEALTH = 1 (%)","  3892 (  0.4) ","  2615 (  1.1) ","   363 (  0.1) ","   214 (  0.1) ","   235 (  0.1) ","   465 (  0.3) ","<0.001",""," 0.060","  2407 (  1.0) ","   319 (  0.1) ","   175 (  0.1) ","   203 (  0.1) ","   388 (  0.3) ","  208 ( 10.1) ","   44 (  2.4) ","   39 (  3.1) ","   32 (  1.9) ","   77 (  3.3) ","<0.001",""," 0.184"
"HTN = 1 (%)","  6107 (  0.6) ","   317 (  0.1) ","   433 (  0.2) ","   636 (  0.4) ","  1588 (  1.0) ","  3133 (  2.1) ","<0.001",""," 0.101","   222 (  0.1) ","   361 (  0.1) ","   556 (  0.3) ","  1417 (  0.9) ","  2842 (  1.9) ","   95 (  4.6) ","   72 (  3.9) ","   80 (  6.3) ","  171 ( 10.4) ","  291 ( 12.7) ","<0.001",""," 0.252"
"ICDCRTD = 1 (%)","    12 (  0.0) ","     1 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","     6 (  0.0) ","     4 (  0.0) "," 0.003",""," 0.005","     1 (  0.0) ","     0 (  0.0) ","     1 (  0.0) ","     6 (  0.0) ","     4 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) "," 0.063",""," 0.004"
"INF_HOSP = 1 (%)","395273 ( 40.4) ","117869 ( 50.6) ","109732 ( 42.3) "," 56854 ( 32.2) "," 51417 ( 32.0) "," 59401 ( 39.9) ","<0.001",""," 0.195","116447 ( 50.5) ","108456 ( 42.1) "," 56127 ( 32.0) "," 50525 ( 31.8) "," 57745 ( 39.4) "," 1422 ( 68.8) "," 1276 ( 68.8) ","  727 ( 57.1) ","  892 ( 54.2) "," 1656 ( 72.0) ","<0.001",""," 0.381"
"LABXRAY = 1 (%)","639471 ( 65.4) ","156621 ( 67.3) ","159468 ( 61.4) ","104667 ( 59.3) ","106931 ( 66.6) ","111784 ( 75.2) ","<0.001",""," 0.161","154609 ( 67.0) ","157663 ( 61.2) ","103431 ( 59.1) ","105329 ( 66.2) ","109538 ( 74.8) "," 2012 ( 97.4) "," 1805 ( 97.4) "," 1236 ( 97.0) "," 1602 ( 97.3) "," 2246 ( 97.7) ","<0.001",""," 0.537"
"LIVERDIS = 1 (%)","  1162 (  0.1) ","   134 (  0.1) ","   113 (  0.0) ","   143 (  0.1) ","   266 (  0.2) ","   506 (  0.3) ","<0.001",""," 0.035","   115 (  0.0) ","    99 (  0.0) ","   130 (  0.1) ","   249 (  0.2) ","   468 (  0.3) ","   19 (  0.9) ","   14 (  0.8) ","   13 (  1.0) ","   17 (  1.0) ","   38 (  1.7) ","<0.001",""," 0.083"
"NONKIDNEYTX = 1 (%)","   236 (  0.0) ","    38 (  0.0) ","    68 (  0.0) ","    48 (  0.0) ","    48 (  0.0) ","    34 (  0.0) "," 0.053",""," 0.004","    28 (  0.0) ","    56 (  0.0) ","    37 (  0.0) ","    36 (  0.0) ","    21 (  0.0) ","   10 (  0.5) ","   12 (  0.6) ","   11 (  0.9) ","   12 (  0.7) ","   13 (  0.6) ","<0.001",""," 0.067"
"NONPEDCONG = 1 (%)","  4383 (  0.4) ","  1141 (  0.5) ","   555 (  0.2) ","   407 (  0.2) ","   787 (  0.5) ","  1493 (  1.0) ","<0.001",""," 0.050","  1058 (  0.5) ","   522 (  0.2) ","   385 (  0.2) ","   750 (  0.5) ","  1382 (  0.9) ","   83 (  4.0) ","   33 (  1.8) ","   22 (  1.7) ","   37 (  2.2) ","  111 (  4.8) ","<0.001",""," 0.136"
"OPHOSPITAL = 1 (%)","447673 ( 45.8) ","129147 ( 55.5) ","113323 ( 43.7) "," 65280 ( 37.0) "," 63674 ( 39.6) "," 76249 ( 51.3) ","<0.001",""," 0.197","127515 ( 55.3) ","111997 ( 43.5) "," 64479 ( 36.8) "," 62607 ( 39.4) "," 74415 ( 50.8) "," 1632 ( 79.0) "," 1326 ( 71.5) ","  801 ( 62.9) "," 1067 ( 64.8) "," 1834 ( 79.7) ","<0.001",""," 0.408"
"OTHCARDIAC = 1 (%)"," 14613 (  1.5) ","  4766 (  2.0) ","  2594 (  1.0) ","  1556 (  0.9) ","  2223 (  1.4) ","  3474 (  2.3) ","<0.001",""," 0.064","  4586 (  2.0) ","  2534 (  1.0) ","  1507 (  0.9) ","  2154 (  1.4) ","  3300 (  2.3) ","  180 (  8.7) ","   60 (  3.2) ","   49 (  3.8) ","   69 (  4.2) ","  174 (  7.6) ","<0.001",""," 0.160"
"PAD = 1 (%)","    24 (  0.0) ","     8 (  0.0) ","     5 (  0.0) ","     2 (  0.0) ","     2 (  0.0) ","     7 (  0.0) "," 0.165",""," 0.004","     7 (  0.0) ","     5 (  0.0) ","     1 (  0.0) ","     0 (  0.0) ","     5 (  0.0) ","    1 (  0.0) ","    0 (  0.0) ","    1 (  0.1) ","    2 (  0.1) ","    2 (  0.1) ","<0.001",""," 0.024"
"PCI = 0 (%)","978043 (100.0) ","232723 (100.0) ","259542 (100.0) ","176401 (100.0) ","160643 (100.0) ","148734 (100.0) "," NA","","<0.001","230657 (100.0) ","257688 (100.0) ","175127 (100.0) ","158997 (100.0) ","146434 (100.0) "," 2066 (100.0) "," 1854 (100.0) "," 1274 (100.0) "," 1646 (100.0) "," 2300 (100.0) "," NA","","<0.001"
"PEDCKD = 1 (%)","  9140 (  0.9) ","  2066 (  0.9) ","  1854 (  0.7) ","  1274 (  0.7) ","  1646 (  1.0) ","  2300 (  1.5) ","<0.001",""," 0.038","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) "," 2066 (100.0) "," 1854 (100.0) "," 1274 (100.0) "," 1646 (100.0) "," 2300 (100.0) ","<0.001",""," NaN"
"PEDCONG = 1 (%)","  6974 (  0.7) ","  3869 (  1.7) ","  1291 (  0.5) ","   704 (  0.4) ","   652 (  0.4) ","   458 (  0.3) ","<0.001",""," 0.059","  3618 (  1.6) ","  1246 (  0.5) ","   682 (  0.4) ","   625 (  0.4) ","   427 (  0.3) ","  251 ( 12.1) ","   45 (  2.4) ","   22 (  1.7) ","   27 (  1.6) ","   31 (  1.3) ","<0.001",""," 0.159"
"PHYSICIANF = 1 (%)","874083 ( 89.4) ","220542 ( 94.8) ","229822 ( 88.5) ","153767 ( 87.2) ","139863 ( 87.1) ","130089 ( 87.5) ","<0.001",""," 0.117","218501 ( 94.7) ","228018 ( 88.5) ","152562 ( 87.1) ","138294 ( 87.0) ","127851 ( 87.3) "," 2041 ( 98.8) "," 1804 ( 97.3) "," 1205 ( 94.6) "," 1569 ( 95.3) "," 2238 ( 97.3) ","<0.001",""," 0.219"
"PSYCH = 0 (%)","978043 (100.0) ","232723 (100.0) ","259542 (100.0) ","176401 (100.0) ","160643 (100.0) ","148734 (100.0) "," NA","","<0.001","230657 (100.0) ","257688 (100.0) ","175127 (100.0) ","158997 (100.0) ","146434 (100.0) "," 2066 (100.0) "," 1854 (100.0) "," 1274 (100.0) "," 1646 (100.0) "," 2300 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","  1068 (  0.1) ","   244 (  0.1) ","   111 (  0.0) ","   109 (  0.1) ","   222 (  0.1) ","   382 (  0.3) ","<0.001",""," 0.028","   201 (  0.1) ","    94 (  0.0) ","    91 (  0.1) ","   203 (  0.1) ","   313 (  0.2) ","   43 (  2.1) ","   17 (  0.9) ","   18 (  1.4) ","   19 (  1.2) ","   69 (  3.0) ","<0.001",""," 0.115"
"RCPNT_DLVRY = 1 (%)"," 50799 (  5.2) "," 42129 ( 18.1) ","     2 (  0.0) ","     4 (  0.0) ","   545 (  0.3) ","  8119 (  5.5) ","<0.001",""," 0.353"," 41513 ( 18.0) ","     2 (  0.0) ","     4 (  0.0) ","   528 (  0.3) ","  7812 (  5.3) ","  616 ( 29.8) ","    0 (  0.0) ","    0 (  0.0) ","   17 (  1.0) ","  307 ( 13.3) ","<0.001",""," 0.393"
"SNF = 0 (%)","978043 (100.0) ","232723 (100.0) ","259542 (100.0) ","176401 (100.0) ","160643 (100.0) ","148734 (100.0) "," NA","","<0.001","230657 (100.0) ","257688 (100.0) ","175127 (100.0) ","158997 (100.0) ","146434 (100.0) "," 2066 (100.0) "," 1854 (100.0) "," 1274 (100.0) "," 1646 (100.0) "," 2300 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","   121 (  0.0) ","     9 (  0.0) ","    13 (  0.0) ","    18 (  0.0) ","    31 (  0.0) ","    50 (  0.0) ","<0.001",""," 0.012","     3 (  0.0) ","     5 (  0.0) ","     5 (  0.0) ","    10 (  0.0) ","     9 (  0.0) ","    6 (  0.3) ","    8 (  0.4) ","   13 (  1.0) ","   21 (  1.3) ","   41 (  1.8) ","<0.001",""," 0.092"
"age (mean (sd))","  9.50 (6.01)","  2.05 (1.08)","  6.37 (1.43)"," 11.00 (1.15)"," 14.97 (1.16)"," 18.92 (1.14)","<0.001",""," 7.180","  2.06 (1.08)","  6.37 (1.43)"," 10.99 (1.15)"," 14.97 (1.16)"," 18.92 (1.14)"," 1.77 (1.09)"," 6.27 (1.43)","11.08 (1.14)","15.08 (1.14)","19.13 (1.13)","<0.001",""," 6.498"
"died = 1 (%)","     3 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     3 (  0.0) "," 0.002",""," 0.003","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    3 (  0.1) ","<0.001",""," 0.010"
