"","Overall","0","1","p","test","0","1","p","test","White","Black","Native American","Asian or PI","Hispanic","NH PI","NA.","p","test"
"NONPEDCONG = 1 (%)","  4383 (  0.4) ","  4097 (  0.4) ","  286 (  3.1) ","<0.001","","  4163 (  0.4) ","  220 (  5.5) ","<0.001","","  2278 (  0.4) ","  1308 (  0.5) ","   27 (  0.4) ","   69 (  0.5) ","  177 (  0.3) ","    2 (  0.2) ","  522 (  1.1) ","<0.001",""
"OPHOSPITAL = 1 (%)","447730 ( 45.8) ","441067 ( 45.5) "," 6663 ( 72.9) ","<0.001","","444526 ( 45.6) "," 3204 ( 80.8) ","<0.001","","235954 ( 42.7) ","152949 ( 53.1) "," 2698 ( 43.8) "," 4208 ( 31.0) ","28975 ( 42.8) ","  345 ( 36.3) ","22601 ( 46.3) ","<0.001",""
"OTHCARDIAC = 1 (%)"," 14615 (  1.5) "," 14082 (  1.5) ","  533 (  5.8) ","<0.001",""," 14321 (  1.5) ","  294 (  7.4) ","<0.001","","  8042 (  1.5) ","  4166 (  1.4) ","  106 (  1.7) ","  180 (  1.3) ","  860 (  1.3) ","   11 (  1.2) "," 1250 (  2.6) ","<0.001",""
"PAD = 1 (%)","    24 (  0.0) ","    18 (  0.0) ","    6 (  0.1) ","<0.001","","    20 (  0.0) ","    4 (  0.1) ","<0.001","","    10 (  0.0) ","     8 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    1 (  0.0) ","    0 (  0.0) ","    5 (  0.0) "," 0.031",""
"PCI = 0 (%)","978131 (100.0) ","968988 (100.0) "," 9143 (100.0) "," NA","","974164 (100.0) "," 3967 (100.0) "," NA","","552671 (100.0) ","288224 (100.0) "," 6162 (100.0) ","13559 (100.0) ","67708 (100.0) ","  950 (100.0) ","48857 (100.0) "," NA",""
"PEDCKD = 1 (%)","  9143 (  0.9) ","     0 (  0.0) "," 9143 (100.0) ","<0.001","","  5525 (  0.6) "," 3618 ( 91.2) ","<0.001","","  5324 (  1.0) ","  2226 (  0.8) ","   41 (  0.7) ","   93 (  0.7) ","  578 (  0.9) ","    9 (  0.9) ","  872 (  1.8) ","<0.001",""
"PEDCONG = 1 (%)","  6974 (  0.7) ","  6598 (  0.7) ","  376 (  4.1) ","<0.001","","  6702 (  0.7) ","  272 (  6.9) ","<0.001","","  3633 (  0.7) ","  1537 (  0.5) ","   36 (  0.6) ","   61 (  0.4) ","  388 (  0.6) ","    6 (  0.6) "," 1313 (  2.7) ","<0.001",""
"PHYSICIANF = 1 (%)","874160 ( 89.4) ","865300 ( 89.3) "," 8860 ( 96.9) ","<0.001","","870250 ( 89.3) "," 3910 ( 98.6) ","<0.001","","491992 ( 89.0) ","261826 ( 90.8) "," 4698 ( 76.2) ","12584 ( 92.8) ","57478 ( 84.9) ","  857 ( 90.2) ","44725 ( 91.5) ","<0.001",""
"PSYCH = 0 (%)","978131 (100.0) ","968988 (100.0) "," 9143 (100.0) "," NA","","974164 (100.0) "," 3967 (100.0) "," NA","","552671 (100.0) ","288224 (100.0) "," 6162 (100.0) ","13559 (100.0) ","67708 (100.0) ","  950 (100.0) ","48857 (100.0) "," NA",""
"PVD = 1 (%)","  1068 (  0.1) ","   902 (  0.1) ","  166 (  1.8) ","<0.001","","   958 (  0.1) ","  110 (  2.8) ","<0.001","","   623 (  0.1) ","   247 (  0.1) ","    7 (  0.1) ","   10 (  0.1) ","   35 (  0.1) ","    0 (  0.0) ","  146 (  0.3) ","<0.001",""
"RCPNT_DLVRY = 1 (%)"," 50814 (  5.2) "," 49873 (  5.1) ","  941 ( 10.3) ","<0.001",""," 50128 (  5.1) ","  686 ( 17.3) ","<0.001",""," 20299 (  3.7) "," 14333 (  5.0) ","  262 (  4.3) ","  453 (  3.3) "," 3299 (  4.9) ","   40 (  4.2) ","12128 ( 24.8) ","<0.001",""
"SNF = 0 (%)","978131 (100.0) ","968988 (100.0) "," 9143 (100.0) "," NA","","974164 (100.0) "," 3967 (100.0) "," NA","","552671 (100.0) ","288224 (100.0) "," 6162 (100.0) ","13559 (100.0) ","67708 (100.0) ","  950 (100.0) ","48857 (100.0) "," NA",""
"TRANSPLANT = 1 (%)","   121 (  0.0) ","    32 (  0.0) ","   89 (  1.0) ","<0.001","","    35 (  0.0) ","   86 (  2.2) ","<0.001","","    51 (  0.0) ","    38 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    8 (  0.0) ","    0 (  0.0) ","   24 (  0.0) ","<0.001",""
"age (mean (sd))","  9.50 (6.01)","  9.49 (6.00)","10.75 (6.69)","<0.001","","  9.50 (6.00)"," 9.82 (7.27)"," 0.001","","  9.64 (5.86)"," 10.00 (6.11)"," 9.94 (5.90)"," 9.61 (5.84)"," 8.75 (5.64)"," 9.99 (5.79)"," 5.84 (6.21)","<0.001",""
"died = 1 (%)","     3 (  0.0) ","     0 (  0.0) ","    3 (  0.0) ","<0.001","","     0 (  0.0) ","    3 (  0.1) ","<0.001","","     3 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) "," 0.889",""
